"SandSavesfrom_RANKTHISWEEK_2012","SandSavesfrom_RANKLASTWEEK_2012","SandSavesfrom_PLAYERNAME_2012","SandSavesfrom_ROUNDS_2012","SandSavesfrom_Pct_2012","SandSavesfrom_OFSAVES_2012","SandSavesfrom_OFBUNKERS_2012","stat_name","year"
1,1,"Stuart Appleby",75,100,5,5,"SandSavesfrom",2012
1,1,"Daniel Chopra",55,100,2,2,"SandSavesfrom",2012
1,1,"Martin Flores",95,100,5,5,"SandSavesfrom",2012
1,1,"Mathew Goggin",65,100,1,1,"SandSavesfrom",2012
1,1,"Nathan Green",73,100,3,3,"SandSavesfrom",2012
1,1,"Derek Lamely",64,100,2,2,"SandSavesfrom",2012
1,1,"Edward Loar",59,100,3,3,"SandSavesfrom",2012
1,1,"Graeme McDowell",55,100,2,2,"SandSavesfrom",2012
1,1,"Rory McIlroy",60,100,1,1,"SandSavesfrom",2012
1,1,"Rocco Mediate",70,100,6,6,"SandSavesfrom",2012
1,1,"Kevin Stadler",85,100,3,3,"SandSavesfrom",2012
1,1,"Kyle Thompson",51,100,1,1,"SandSavesfrom",2012
1,1,"Michael Thompson",80,100,6,6,"SandSavesfrom",2012
1,1,"Jhonattan Vegas",77,100,3,3,"SandSavesfrom",2012
1,1,"Mark Wilson",84,100,1,1,"SandSavesfrom",2012
16,16,"Camilo Villegas",79,90,9,10,"SandSavesfrom",2012
17,17,"Dustin Johnson",70,87.5,7,8,"SandSavesfrom",2012
17,17,"Marc Leishman",84,87.5,7,8,"SandSavesfrom",2012
17,17,"David Mathis",83,87.5,7,8,"SandSavesfrom",2012
20,20,"Kevin Na",80,85.71,6,7,"SandSavesfrom",2012
20,20,"Sean OHair",84,85.71,6,7,"SandSavesfrom",2012
20,20,"Tom Pernice Jr",62,85.71,6,7,"SandSavesfrom",2012
20,20,"Rory Sabbatini",84,85.71,6,7,"SandSavesfrom",2012
20,20,"Steve Stricker",73,85.71,6,7,"SandSavesfrom",2012
25,25,"Roberto Castro",92,83.33,5,6,"SandSavesfrom",2012
25,25,"Gavin Coles",72,83.33,5,6,"SandSavesfrom",2012
25,25,"Bob Estes",78,83.33,5,6,"SandSavesfrom",2012
25,25,"Matt Every",80,83.33,5,6,"SandSavesfrom",2012
25,25,"Bobby Gates",87,83.33,5,6,"SandSavesfrom",2012
25,25,"Kyle Stanley",86,83.33,5,6,"SandSavesfrom",2012
25,25,"Daniel Summerhays",81,83.33,10,12,"SandSavesfrom",2012
25,25,"Bo Van Pelt",84,83.33,5,6,"SandSavesfrom",2012
25,25,"Tiger Woods",69,83.33,5,6,"SandSavesfrom",2012
