"Puttingfrom1520_RANKTHISWEEK_2006","Puttingfrom1520_RANKLASTWEEK_2006","Puttingfrom1520_PLAYERNAME_2006","Puttingfrom1520_ROUNDS_2006","Puttingfrom1520_PctMADE_2006","Puttingfrom1520_ATTEMPTS_2006","Puttingfrom1520_PUTTSMADE_2006","stat_name","year"
1,1,"Shane Bertsch",104,30.06,173,52,"Puttingfrom1520",2006
2,2,"Daniel Chopra",110,27.39,157,43,"Puttingfrom1520",2006
3,3,"Mark Calcavecchia",94,26.52,132,35,"Puttingfrom1520",2006
4,4,"Michael Allen",84,26.47,136,36,"Puttingfrom1520",2006
5,5,"Brent Geiberger",99,26.17,149,39,"Puttingfrom1520",2006
6,6,"Tiger Woods",55,25.76,66,17,"Puttingfrom1520",2006
7,7,"Doug Barron",74,25.64,117,30,"Puttingfrom1520",2006
8,8,"Chris Riley",86,25.23,111,28,"Puttingfrom1520",2006
9,9,"Arjun Atwal",97,25.15,167,42,"Puttingfrom1520",2006
10,10,"Jerry Kelly",100,24.85,169,42,"Puttingfrom1520",2006
11,11,"Luke Donald",66,24.68,77,19,"Puttingfrom1520",2006
12,12,"Stephen Leaney",84,24.2,157,38,"Puttingfrom1520",2006
13,13,"Bob May",65,23.85,109,26,"Puttingfrom1520",2006
14,14,"Kent Jones",103,23.84,172,41,"Puttingfrom1520",2006
15,15,"Ben Crane",85,23.81,126,30,"Puttingfrom1520",2006
15,15,"Frank Lickliter II",99,23.81,168,40,"Puttingfrom1520",2006
15,15,"Wes Short Jr",96,23.81,168,40,"Puttingfrom1520",2006
18,18,"Robert Damron",91,23.78,164,39,"Puttingfrom1520",2006
19,19,"Sean OHair",100,23.58,123,29,"Puttingfrom1520",2006
20,20,"Sergio Garcia",59,23.29,73,17,"Puttingfrom1520",2006
21,21,"Len Mattiace",59,23.08,91,21,"Puttingfrom1520",2006
22,22,"Tom Pernice Jr",108,22.99,187,43,"Puttingfrom1520",2006
23,23,"Craig Barlow",77,22.86,105,24,"Puttingfrom1520",2006
23,23,"DA Points",82,22.86,140,32,"Puttingfrom1520",2006
25,25,"David Duval",71,22.77,101,23,"Puttingfrom1520",2006
26,26,"Jason Gore",86,22.76,145,33,"Puttingfrom1520",2006
27,27,"David Toms",76,22.69,119,27,"Puttingfrom1520",2006
