"FinalRoundScoringAverage_RANKTHISWEEK_2007","FinalRoundScoringAverage_RANKLASTWEEK_2007","FinalRoundScoringAverage_PLAYERNAME_2007","FinalRoundScoringAverage__2007","FinalRoundScoringAverage_AVG_2007","FinalRoundScoringAverage_TOTALSTROKES_2007","FinalRoundScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",NA,68.8,1032,15,"FinalRoundScoringAverage",2007
2,2,"Alex Cejka",NA,69.56,1113,16,"FinalRoundScoringAverage",2007
3,3,"Bo Van Pelt",NA,69.68,1533,22,"FinalRoundScoringAverage",2007
4,4,"Jonathan Byrd",NA,69.69,906,13,"FinalRoundScoringAverage",2007
5,5,"Rory Sabbatini",NA,69.71,1185,17,"FinalRoundScoringAverage",2007
6,6,"Ernie Els",NA,69.79,977,14,"FinalRoundScoringAverage",2007
7,7,"Anthony Kim",NA,69.8,1396,20,"FinalRoundScoringAverage",2007
8,8,"Heath Slocum",NA,69.82,1536,22,"FinalRoundScoringAverage",2007
9,9,"Pat Perez",NA,69.94,1119,16,"FinalRoundScoringAverage",2007
10,10,"Jim Furyk",NA,69.95,1329,19,"FinalRoundScoringAverage",2007
11,11,"Ian Poulter",NA,70,910,13,"FinalRoundScoringAverage",2007
12,12,"Brandt Snedeker",NA,70.09,1612,23,"FinalRoundScoringAverage",2007
13,13,"Billy Mayfair",NA,70.11,1262,18,"FinalRoundScoringAverage",2007
13,13,"Chris Stroud",NA,70.11,631,9,"FinalRoundScoringAverage",2007
15,15,"Jeff Sluman",NA,70.13,561,8,"FinalRoundScoringAverage",2007
16,16,"Jeff Overton",NA,70.18,772,11,"FinalRoundScoringAverage",2007
17,17,"Tom Byrum",NA,70.2,351,5,"FinalRoundScoringAverage",2007
18,18,"Marco Dawson",NA,70.23,913,13,"FinalRoundScoringAverage",2007
19,19,"Joe Ogilvie",NA,70.26,1335,19,"FinalRoundScoringAverage",2007
20,20,"Robert Allenby",NA,70.29,1195,17,"FinalRoundScoringAverage",2007
21,21,"Darron Stiles",NA,70.38,563,8,"FinalRoundScoringAverage",2007
22,22,"David Toms",NA,70.39,1267,18,"FinalRoundScoringAverage",2007
23,23,"Phil Mickelson",NA,70.4,1056,15,"FinalRoundScoringAverage",2007
24,24,"Brett Wetterich",NA,70.44,1127,16,"FinalRoundScoringAverage",2007
25,25,"Vijay Singh",NA,70.46,1691,24,"FinalRoundScoringAverage",2007
26,26,"Mark Calcavecchia",NA,70.47,1339,19,"FinalRoundScoringAverage",2007
27,27,"KJ Choi",NA,70.5,1269,18,"FinalRoundScoringAverage",2007
27,27,"Davis Love III",NA,70.5,846,12,"FinalRoundScoringAverage",2007
29,29,"Sergio Garcia",NA,70.53,1058,15,"FinalRoundScoringAverage",2007
29,29,"Ryan Moore",NA,70.53,1199,17,"FinalRoundScoringAverage",2007
31,31,"John Senden",NA,70.57,1482,21,"FinalRoundScoringAverage",2007
32,32,"Mathew Goggin",NA,70.58,1341,19,"FinalRoundScoringAverage",2007
33,33,"JJ Henry",NA,70.59,1200,17,"FinalRoundScoringAverage",2007
33,33,"Camilo Villegas",NA,70.59,1200,17,"FinalRoundScoringAverage",2007
35,35,"Dicky Pride",NA,70.6,706,10,"FinalRoundScoringAverage",2007
36,36,"Rocco Mediate",NA,70.64,989,14,"FinalRoundScoringAverage",2007
37,37,"Freddie Jacobson",NA,70.67,1060,15,"FinalRoundScoringAverage",2007
37,37,"Steve Stricker",NA,70.67,1272,18,"FinalRoundScoringAverage",2007
39,39,"Hunter Mahan",NA,70.72,1273,18,"FinalRoundScoringAverage",2007
40,40,"Matt Kuchar",NA,70.75,1132,16,"FinalRoundScoringAverage",2007
41,41,"Justin Leonard",NA,70.76,1203,17,"FinalRoundScoringAverage",2007
42,42,"Bart Bryant",NA,70.78,1274,18,"FinalRoundScoringAverage",2007
42,42,"Doug LaBelle II",NA,70.78,1274,18,"FinalRoundScoringAverage",2007
44,44,"Stephen Leaney",NA,70.8,1062,15,"FinalRoundScoringAverage",2007
44,44,"Tim Petrovic",NA,70.8,1416,20,"FinalRoundScoringAverage",2007
46,46,"Boo Weekley",NA,70.85,1417,20,"FinalRoundScoringAverage",2007
47,47,"Frank Lickliter II",NA,70.89,1276,18,"FinalRoundScoringAverage",2007
48,48,"Bob Heintz",NA,70.93,1064,15,"FinalRoundScoringAverage",2007
49,49,"Zach Johnson",NA,70.94,1206,17,"FinalRoundScoringAverage",2007
50,50,"Stewart Cink",NA,70.95,1419,20,"FinalRoundScoringAverage",2007
51,51,"Tim Clark",NA,71,994,14,"FinalRoundScoringAverage",2007
51,51,"Luke Donald",NA,71,994,14,"FinalRoundScoringAverage",2007
51,51,"Jason Gore",NA,71,1136,16,"FinalRoundScoringAverage",2007
51,51,"Padraig Harrington",NA,71,994,14,"FinalRoundScoringAverage",2007
