"ScoringAverage_RANKTHISWEEK_2006","ScoringAverage_RANKLASTWEEK_2006","ScoringAverage_PLAYERNAME_2006","ScoringAverage_ROUNDS_2006","ScoringAverage_AVG_2006","ScoringAverage_TOTALSTROKES_2006","ScoringAverage_TOTALADJUSTMENT_2006","ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,68.115,3574,NA,52,"ScoringAverage",2006
2,2,"Jim Furyk",89,68.865,6112,NA,88,"ScoringAverage",2006
3,3,"Adam Scott",70,68.946,4761,NA,68,"ScoringAverage",2006
4,4,"Luke Donald",66,69.166,4414,NA,63,"ScoringAverage",2006
5,5,"Steve Stricker",64,69.372,4312,NA,62,"ScoringAverage",2006
6,6,"Phil Mickelson",74,69.5,4835,NA,69,"ScoringAverage",2006
7,7,"Trevor Immelman",86,69.507,6014,NA,86,"ScoringAverage",2006
8,8,"Vijay Singh",103,69.619,7021,NA,100,"ScoringAverage",2006
9,9,"Stewart Cink",93,69.66,6186,NA,88,"ScoringAverage",2006
10,10,"Ernie Els",69,69.756,4520,NA,64,"ScoringAverage",2006
11,11,"Arron Oberholser",82,69.858,5559,NA,79,"ScoringAverage",2006
12,12,"Robert Allenby",79,69.99,5427,NA,77,"ScoringAverage",2006
13,13,"Brett Quigley",109,70.025,7383,NA,105,"ScoringAverage",2006
14,14,"David Toms",76,70.089,4869,NA,69,"ScoringAverage",2006
15,15,"Jose Maria Olazabal",62,70.183,4123,NA,58,"ScoringAverage",2006
16,16,"Jonathan Byrd",66,70.19,4618,14.55,66,"ScoringAverage",2006
17,17,"Ian Poulter",53,70.208,3694,NA,52,"ScoringAverage",2006
18,18,"KJ Choi",93,70.213,6500,NA,92,"ScoringAverage",2006
19,19,"Stuart Appleby",83,70.251,5528,NA,78,"ScoringAverage",2006
20,20,"Mike Weir",88,70.255,6015,NA,85,"ScoringAverage",2006
21,21,"Lucas Glover",105,70.263,7127,NA,101,"ScoringAverage",2006
22,22,"Retief Goosen",68,70.291,4259,NA,60,"ScoringAverage",2006
23,23,"Rory Sabbatini",84,70.292,5876,NA,83,"ScoringAverage",2006
24,24,"Geoff Ogilvy",76,70.295,4983,NA,70,"ScoringAverage",2006
25,25,"Tom Pernice Jr",108,70.321,7348,NA,104,"ScoringAverage",2006
26,26,"Padraig Harrington",54,70.334,3546,NA,50,"ScoringAverage",2006
27,27,"Justin Rose",98,70.401,6683,5.053,95,"ScoringAverage",2006
28,28,"Zach Johnson",98,70.42,6235,NA,88,"ScoringAverage",2006
29,29,"Stephen Ames",63,70.436,4389,NA,62,"ScoringAverage",2006
30,30,"Rod Pampling",89,70.443,5962,NA,84,"ScoringAverage",2006
31,31,"Vaughn Taylor",88,70.457,6236,NA,88,"ScoringAverage",2006
32,32,"John Senden",96,70.478,6557,NA,93,"ScoringAverage",2006
33,33,"Kenny Perry",73,70.485,5108,NA,72,"ScoringAverage",2006
34,34,"JJ Henry",96,70.528,6588,NA,93,"ScoringAverage",2006
34,34,"Frank Lickliter II",99,70.528,6836,5.204,97,"ScoringAverage",2006
36,36,"Brian Gay",107,70.529,7524,22.645,107,"ScoringAverage",2006
37,37,"Fred Funk",106,70.556,7444,NA,105,"ScoringAverage",2006
38,38,"Jason Bohn",104,70.557,7365,NA,104,"ScoringAverage",2006
39,39,"Sergio Garcia",59,70.567,3930,NA,55,"ScoringAverage",2006
40,40,"Tim Clark",80,70.577,5612,NA,79,"ScoringAverage",2006
40,40,"Bo Van Pelt",102,70.577,7221,NA,102,"ScoringAverage",2006
42,42,"Briny Baird",81,70.579,5429,5.593,77,"ScoringAverage",2006
43,43,"Chad Campbell",91,70.585,6168,NA,87,"ScoringAverage",2006
44,44,"Charley Hoffman",100,70.631,6921,0.828,98,"ScoringAverage",2006
45,45,"Shaun Micheel",96,70.636,6595,NA,93,"ScoringAverage",2006
46,46,"Jesper Parnevik",84,70.639,5934,NA,84,"ScoringAverage",2006
47,47,"Shigeki Maruyama",94,70.651,6506,NA,92,"ScoringAverage",2006
48,48,"Carl Pettersson",95,70.654,6632,NA,93,"ScoringAverage",2006
49,49,"Scott Verplank",88,70.67,6069,8.608,86,"ScoringAverage",2006
49,49,"Dean Wilson",115,70.67,7849,NA,111,"ScoringAverage",2006
51,51,"Charles Warren",93,70.675,6362,NA,90,"ScoringAverage",2006
52,52,"Bob Estes",85,70.676,6008,NA,85,"ScoringAverage",2006
53,53,"Corey Pavin",74,70.683,4964,NA,70,"ScoringAverage",2006
54,54,"Hunter Mahan",98,70.684,6929,NA,98,"ScoringAverage",2006
55,55,"Brett Wetterich",82,70.725,5796,3.426,82,"ScoringAverage",2006
56,56,"Richard Johnson",94,70.732,6660,NA,94,"ScoringAverage",2006
57,57,"Bart Bryant",87,70.745,6127,NA,86,"ScoringAverage",2006
58,58,"Camilo Villegas",95,70.749,6610,NA,93,"ScoringAverage",2006
59,59,"Billy Mayfair",94,70.762,6674,NA,94,"ScoringAverage",2006
60,60,"Joe Durant",101,70.773,7146,2.061,101,"ScoringAverage",2006
61,61,"Ryuji Imada",105,70.781,7218,1.621,102,"ScoringAverage",2006
62,62,"Davis Love III",85,70.785,5404,NA,76,"ScoringAverage",2006
63,63,"Chris DiMarco",83,70.787,5541,NA,78,"ScoringAverage",2006
64,64,"Fred Couples",52,70.789,3586,NA,50,"ScoringAverage",2006
65,65,"Tom Lehman",70,70.797,4296,NA,60,"ScoringAverage",2006
66,66,"Justin Leonard",83,70.807,5631,NA,79,"ScoringAverage",2006
