"PuttsMadePerEventOver20_RANKTHISWEEK_2008","PuttsMadePerEventOver20_RANKLASTWEEK_2008","PuttsMadePerEventOver20_PLAYERNAME_2008","PuttsMadePerEventOver20_ROUNDS_2008","PuttsMadePerEventOver20_PUTTSMADE_2008","stat_name","year"
1,1,"Hunter Mahan",87,2.2,"PuttsMadePerEventOver20",2008
2,2,"Woody Austin",109,2.1,"PuttsMadePerEventOver20",2008
3,3,"KJ Choi",74,1.9,"PuttsMadePerEventOver20",2008
3,3,"Steve Marino",119,1.9,"PuttsMadePerEventOver20",2008
3,3,"Corey Pavin",69,1.9,"PuttsMadePerEventOver20",2008
3,3,"Pat Perez",93,1.9,"PuttsMadePerEventOver20",2008
7,7,"Chad Campbell",94,1.8,"PuttsMadePerEventOver20",2008
7,7,"Ben Crane",86,1.8,"PuttsMadePerEventOver20",2008
7,7,"Steve Elkington",84,1.8,"PuttsMadePerEventOver20",2008
7,7,"Tim Herron",97,1.8,"PuttsMadePerEventOver20",2008
7,7,"Patrick Sheehan",124,1.8,"PuttsMadePerEventOver20",2008
7,7,"Steve Stricker",75,1.8,"PuttsMadePerEventOver20",2008
7,7,"Camilo Villegas",79,1.8,"PuttsMadePerEventOver20",2008
7,7,"Mark Wilson",107,1.8,"PuttsMadePerEventOver20",2008
15,15,"Stuart Appleby",87,1.7,"PuttsMadePerEventOver20",2008
15,15,"Stewart Cink",87,1.7,"PuttsMadePerEventOver20",2008
15,15,"Sergio Garcia",72,1.7,"PuttsMadePerEventOver20",2008
15,15,"Parker McLachlin",88,1.7,"PuttsMadePerEventOver20",2008
15,15,"Jeff Quinney",87,1.7,"PuttsMadePerEventOver20",2008
20,20,"Robert Allenby",108,1.6,"PuttsMadePerEventOver20",2008
20,20,"Bart Bryant",81,1.6,"PuttsMadePerEventOver20",2008
20,20,"Jonathan Byrd",88,1.6,"PuttsMadePerEventOver20",2008
20,20,"Ben Curtis",80,1.6,"PuttsMadePerEventOver20",2008
20,20,"Zach Johnson",85,1.6,"PuttsMadePerEventOver20",2008
20,20,"Matt Jones",95,1.6,"PuttsMadePerEventOver20",2008
