"StrokesGainedPutting_RANKTHISWEEK_2012","StrokesGainedPutting_RANKLASTWEEK_2012","StrokesGainedPutting_PLAYERNAME_2012","StrokesGainedPutting_ROUNDS_2012","StrokesGainedPutting_AVERAGE_2012","StrokesGainedPutting_TOTALPUTTSGAINED_2012","StrokesGainedPutting_MEASUREDROUNDS_2012","stat_name","year"
1,1,"Brandt Snedeker",81,0.86,55.872,65,"StrokesGainedPutting",2012
2,2,"Jonas Blixt",72,0.839,53.675,64,"StrokesGainedPutting",2012
3,3,"Luke Donald",63,0.804,38.573,48,"StrokesGainedPutting",2012
4,4,"Brian Gay",91,0.696,54.25,78,"StrokesGainedPutting",2012
5,5,"Bryce Molder",83,0.676,47.989,71,"StrokesGainedPutting",2012
6,6,"Martin Flores",95,0.64,52.461,82,"StrokesGainedPutting",2012
7,7,"Aaron Baddeley",73,0.634,34.889,55,"StrokesGainedPutting",2012
8,8,"Gavin Coles",72,0.617,35.187,57,"StrokesGainedPutting",2012
9,9,"Zach Johnson",95,0.596,44.081,74,"StrokesGainedPutting",2012
10,10,"Phil Mickelson",79,0.594,35.622,60,"StrokesGainedPutting",2012
11,11,"Derek Lamely",64,0.588,32.94,56,"StrokesGainedPutting",2012
12,12,"Bo Van Pelt",84,0.576,37.458,65,"StrokesGainedPutting",2012
13,13,"Jason Day",57,0.559,26.288,47,"StrokesGainedPutting",2012
14,14,"Ben Curtis",62,0.494,23.723,48,"StrokesGainedPutting",2012
15,15,"Ben Crane",73,0.485,30.062,62,"StrokesGainedPutting",2012
16,16,"Carl Pettersson",92,0.473,37.868,80,"StrokesGainedPutting",2012
17,17,"YE Yang",64,0.467,22.401,48,"StrokesGainedPutting",2012
18,18,"James Driscoll",83,0.461,32.271,70,"StrokesGainedPutting",2012
19,19,"Jim Furyk",85,0.449,29.194,65,"StrokesGainedPutting",2012
20,20,"Ryan Moore",89,0.44,35.622,81,"StrokesGainedPutting",2012
21,21,"Jimmy Walker",101,0.438,39.84,91,"StrokesGainedPutting",2012
22,22,"Greg Chalmers",88,0.434,32.575,75,"StrokesGainedPutting",2012
22,22,"Ryan Palmer",81,0.434,30.813,71,"StrokesGainedPutting",2012
24,24,"Sergio Garcia",57,0.432,19.021,44,"StrokesGainedPutting",2012
25,25,"Brendon Todd",78,0.422,26.6,63,"StrokesGainedPutting",2012
26,26,"Matt Kuchar",86,0.379,25.028,66,"StrokesGainedPutting",2012
27,27,"Brian Davis",91,0.374,29.528,79,"StrokesGainedPutting",2012
28,28,"Tiger Woods",69,0.368,17.666,48,"StrokesGainedPutting",2012
29,29,"Daniel Chopra",55,0.366,15.757,43,"StrokesGainedPutting",2012
30,30,"Michael Thompson",80,0.36,23.41,65,"StrokesGainedPutting",2012
31,31,"Ken Duke",104,0.356,32.083,90,"StrokesGainedPutting",2012
32,32,"Johnson Wagner",88,0.352,26.76,76,"StrokesGainedPutting",2012
33,33,"Stewart Cink",71,0.347,18.737,54,"StrokesGainedPutting",2012
34,34,"David Mathis",83,0.341,23.506,69,"StrokesGainedPutting",2012
35,35,"Keegan Bradley",90,0.338,23.997,71,"StrokesGainedPutting",2012
36,36,"Spencer Levin",81,0.329,21.736,66,"StrokesGainedPutting",2012
37,37,"Charlie Wi",86,0.306,22.324,73,"StrokesGainedPutting",2012
38,38,"Billy Hurley III",70,0.3,17.083,57,"StrokesGainedPutting",2012
39,39,"Nathan Green",73,0.297,16.957,57,"StrokesGainedPutting",2012
40,40,"Jonathan Byrd",69,0.295,16.542,56,"StrokesGainedPutting",2012
41,41,"Ryuji Imada",78,0.289,19.931,69,"StrokesGainedPutting",2012
42,42,"David Hearn",95,0.288,25.357,88,"StrokesGainedPutting",2012
42,42,"Brandt Jobe",57,0.288,12.966,45,"StrokesGainedPutting",2012
44,44,"William McGirt",96,0.287,22.64,79,"StrokesGainedPutting",2012
45,45,"Kevin Kisner",69,0.281,14.894,53,"StrokesGainedPutting",2012
46,46,"Geoff Ogilvy",73,0.269,14.772,55,"StrokesGainedPutting",2012
47,47,"Tom Gillis",75,0.241,16.655,69,"StrokesGainedPutting",2012
48,48,"George McNeill",85,0.24,17.039,71,"StrokesGainedPutting",2012
49,49,"Jeff Overton",101,0.239,22.028,92,"StrokesGainedPutting",2012
50,50,"John Daly",50,0.219,8.335,38,"StrokesGainedPutting",2012
51,51,"Colt Knost",79,0.216,14.455,67,"StrokesGainedPutting",2012
51,51,"Richard Lee",71,0.216,12.287,57,"StrokesGainedPutting",2012
53,53,"Webb Simpson",77,0.214,14.152,66,"StrokesGainedPutting",2012
54,54,"Kevin Na",80,0.202,13.135,65,"StrokesGainedPutting",2012
55,55,"Blake Adams",107,0.197,17.312,88,"StrokesGainedPutting",2012
56,56,"Scott Piercy",95,0.189,16.239,86,"StrokesGainedPutting",2012
