"PowerRating_RANKTHISWEEK_2014","PowerRating_RANKLASTWEEK_2014","PowerRating_PLAYERNAME_2014","PowerRating_EVENTS_2014","PowerRating_RATING_2014","stat_name","year"
1,1,"Bubba Watson",14,9.8,"PowerRating",2014
2,2,"Oliver Goss",2,9.7,"PowerRating",2014
2,2,"Taylor Pendrith",1,9.7,"PowerRating",2014
4,4,"Nicolas Colsaerts",3,9.6,"PowerRating",2014
4,4,"Dustin Johnson",10,9.6,"PowerRating",2014
6,6,"Harold Varner III",1,9.5,"PowerRating",2014
7,7,"Scott Hend",1,9.4,"PowerRating",2014
7,7,"Rory McIlroy",12,9.4,"PowerRating",2014
7,7,"Patrick Rodgers",4,9.4,"PowerRating",2014
10,10,"Charles Howell III",22,9.3,"PowerRating",2014
10,10,"Jamie Lovemark",7,9.3,"PowerRating",2014
12,12,"JB Holmes",18,9.2,"PowerRating",2014
13,13,"Charlie Beljan",11,9.1,"PowerRating",2014
13,13,"Andrew Loupe",8,9.1,"PowerRating",2014
15,15,"Jason Day",7,9,"PowerRating",2014
15,15,"Robert Garrigus",15,9,"PowerRating",2014
15,15,"Brooks Koepka",9,9,"PowerRating",2014
15,15,"Jason Kokrak",13,9,"PowerRating",2014
19,19,"Scott Piercy",5,8.9,"PowerRating",2014
19,19,"Tag Ridings",2,8.9,"PowerRating",2014
21,21,"Victor Dubuisson",6,8.8,"PowerRating",2014
21,21,"Ryan Palmer",16,8.8,"PowerRating",2014
21,21,"Adam Scott",14,8.8,"PowerRating",2014
21,21,"Gary Woodland",18,8.8,"PowerRating",2014
25,25,"Charley Hoffman",18,8.7,"PowerRating",2014
25,25,"Sean OHair",12,8.7,"PowerRating",2014
25,25,"Louis Oosthuizen",5,8.7,"PowerRating",2014
25,25,"Chris Wood",1,8.7,"PowerRating",2014
29,29,"Graham DeLaet",14,8.6,"PowerRating",2014
29,29,"Lucas Glover",4,8.6,"PowerRating",2014
29,29,"Jordan Niebrugge",1,8.6,"PowerRating",2014
29,29,"Jhonattan Vegas",13,8.6,"PowerRating",2014
29,29,"Bernd Wiesberger",1,8.6,"PowerRating",2014
34,34,"Steven Bowditch",14,8.5,"PowerRating",2014
34,34,"Jimmy Walker",17,8.5,"PowerRating",2014
36,36,"Angel Cabrera",11,8.4,"PowerRating",2014
37,37,"Keegan Bradley",15,8.3,"PowerRating",2014
37,37,"George Coetzee",1,8.3,"PowerRating",2014
37,37,"Harris English",16,8.3,"PowerRating",2014
37,37,"Rickie Fowler",12,8.3,"PowerRating",2014
37,37,"Max Homa",3,8.3,"PowerRating",2014
37,37,"Alexander Levy",2,8.3,"PowerRating",2014
37,37,"Alex Prugh",3,8.3,"PowerRating",2014
37,37,"Scott Stallings",10,8.3,"PowerRating",2014
37,37,"Robert Streb",14,8.3,"PowerRating",2014
46,46,"Charl Schwartzel",13,8.2,"PowerRating",2014
47,47,"Martin Laird",11,8.1,"PowerRating",2014
47,47,"Brendan Steele",14,8.1,"PowerRating",2014
49,49,"Tommy Gainey",9,8,"PowerRating",2014
49,49,"Matt Jones",13,8,"PowerRating",2014
49,49,"Kyle Stanley",12,8,"PowerRating",2014
49,49,"Peter Uihlein",1,8,"PowerRating",2014
53,53,"Derek Ernst",8,7.9,"PowerRating",2014
53,53,"Matthew Fitzpatrick",1,7.9,"PowerRating",2014
53,53,"Morgan Hoffmann",17,7.9,"PowerRating",2014
56,56,"Joel Dahmen",1,7.8,"PowerRating",2014
56,56,"Jamie Donaldson",6,7.8,"PowerRating",2014
56,56,"Justin Thomas",2,7.8,"PowerRating",2014
59,59,"Kevin Chappell",20,7.7,"PowerRating",2014
59,59,"Martin Flores",12,7.7,"PowerRating",2014
59,59,"Hunter Mahan",16,7.7,"PowerRating",2014
59,59,"Seung Yul Noh",16,7.7,"PowerRating",2014
59,59,"Andres Romero",14,7.7,"PowerRating",2014
59,59,"Justin Rose",12,7.7,"PowerRating",2014
59,59,"Brady Watt",1,7.7,"PowerRating",2014
66,66,"Kiradech Aphibarnrat",3,7.6,"PowerRating",2014
66,66,"Branden Grace",3,7.6,"PowerRating",2014
66,66,"Marc Leishman",15,7.6,"PowerRating",2014
66,66,"Shane Lowry",1,7.6,"PowerRating",2014
66,66,"Kevin Penner",1,7.6,"PowerRating",2014
66,66,"Carl Pettersson",16,7.6,"PowerRating",2014
66,66,"Rory Sabbatini",12,7.6,"PowerRating",2014
66,66,"Kevin Tway",6,7.6,"PowerRating",2014
74,74,"Miguel Angel Carballo",3,7.5,"PowerRating",2014
74,74,"Bud Cauley",8,7.5,"PowerRating",2014
74,74,"Jim Herman",8,7.5,"PowerRating",2014
74,74,"Davis Love III",13,7.5,"PowerRating",2014
74,74,"Troy Matteson",6,7.5,"PowerRating",2014
74,74,"Sam Saunders",1,7.5,"PowerRating",2014
74,74,"Shawn Stefani",13,7.5,"PowerRating",2014
74,74,"Hudson Swafford",9,7.5,"PowerRating",2014
82,82,"Stewart Cink",16,7.4,"PowerRating",2014
82,82,"Russell Henley",14,7.4,"PowerRating",2014
82,82,"Steven Ihm",1,7.4,"PowerRating",2014
82,82,"Will Wilcox",7,7.4,"PowerRating",2014
86,86,"John Daly",3,7.3,"PowerRating",2014
86,86,"Darren Fichardt",1,7.3,"PowerRating",2014
86,86,"Billy Horschel",15,7.3,"PowerRating",2014
86,86,"Ryo Ishikawa",11,7.3,"PowerRating",2014
86,86,"Steve Marino",7,7.3,"PowerRating",2014
86,86,"Josh Teater",14,7.3,"PowerRating",2014
92,92,"Ernie Els",13,7.2,"PowerRating",2014
92,92,"Sergio Garcia",10,7.2,"PowerRating",2014
92,92,"Wes Roach",8,7.2,"PowerRating",2014
92,92,"Nick Watney",10,7.2,"PowerRating",2014
92,92,"Bobby Wyatt",2,7.2,"PowerRating",2014
97,97,"Josh Broadaway",1,7.1,"PowerRating",2014
97,97,"Adam Hadwin",1,7.1,"PowerRating",2014
97,97,"Martin Kaymer",10,7.1,"PowerRating",2014
97,97,"Edward Loar",2,7.1,"PowerRating",2014
97,97,"Patrick Reed",16,7.1,"PowerRating",2014
97,97,"Boo Weekley",11,7.1,"PowerRating",2014
103,103,"Aaron Baddeley",10,7,"PowerRating",2014
103,103,"Hideki Matsuyama",15,7,"PowerRating",2014
103,103,"Kevin Stadler",15,7,"PowerRating",2014
103,103,"Camilo Villegas",16,7,"PowerRating",2014
103,103,"Lee Westwood",9,7,"PowerRating",2014
108,108,"Brad Fritsch",6,6.9,"PowerRating",2014
108,108,"Stephen Gallacher",2,6.9,"PowerRating",2014
108,108,"Jason Gore",4,6.9,"PowerRating",2014
108,108,"Ben Martin",10,6.9,"PowerRating",2014
108,108,"Phil Mickelson",10,6.9,"PowerRating",2014
108,108,"Greg Owen",5,6.9,"PowerRating",2014
108,108,"Jordan Spieth",19,6.9,"PowerRating",2014
115,115,"Bill Haas",21,6.8,"PowerRating",2014
115,115,"Henrik Stenson",9,6.8,"PowerRating",2014
115,115,"Marc Warren",1,6.8,"PowerRating",2014
118,118,"Trevor Immelman",11,6.7,"PowerRating",2014
118,118,"John Rollins",10,6.7,"PowerRating",2014
120,120,"Rafa Cabrera Bello",1,6.6,"PowerRating",2014
120,120,"Derek Fathauer",1,6.6,"PowerRating",2014
120,120,"Will Ma Kenzie",13,6.6,"PowerRating",2014
120,120,"John Peterson",6,6.6,"PowerRating",2014
120,120,"Michael Putnam",21,6.6,"PowerRating",2014
120,120,"Vijay Singh",15,6.6,"PowerRating",2014
120,120,"Chris Smith",1,6.6,"PowerRating",2014
120,120,"Danny Willett",1,6.6,"PowerRating",2014
128,128,"Darren Clarke",2,6.5,"PowerRating",2014
128,128,"Chesson Hadley",11,6.5,"PowerRating",2014
130,130,"Padraig Harrington",6,6.4,"PowerRating",2014
130,130,"David Lingmerth",12,6.4,"PowerRating",2014
130,130,"Thorbjorn Olesen",2,6.4,"PowerRating",2014
130,130,"Richard Sterne",4,6.4,"PowerRating",2014
130,130,"Kevin Streelman",12,6.4,"PowerRating",2014
130,130,"Derek Tolan",1,6.4,"PowerRating",2014
130,130,"Bo Van Pelt",13,6.4,"PowerRating",2014
137,137,"Mark Anderson",2,6.3,"PowerRating",2014
137,137,"Sangmoon Bae",12,6.3,"PowerRating",2014
137,137,"Kevin Foley",3,6.3,"PowerRating",2014
137,137,"James Hahn",13,6.3,"PowerRating",2014
137,137,"Brian Harman",22,6.3,"PowerRating",2014
137,137,"JJ Henry",16,6.3,"PowerRating",2014
137,137,"Chris Kirk",21,6.3,"PowerRating",2014
137,137,"Geoff Ogilvy",13,6.3,"PowerRating",2014
145,145,"Paul Casey",9,6.2,"PowerRating",2014
145,145,"Bubba Dickerson",1,6.2,"PowerRating",2014
145,145,"Brice Garnett",15,6.2,"PowerRating",2014
145,145,"Retief Goosen",17,6.2,"PowerRating",2014
145,145,"Kevin Kisner",14,6.2,"PowerRating",2014
145,145,"Hideto Tanihara",1,6.2,"PowerRating",2014
145,145,"Michael Thompson",12,6.2,"PowerRating",2014
152,152,"Tim Herron",7,6.1,"PowerRating",2014
152,152,"John Senden",19,6.1,"PowerRating",2014
154,154,"Jason Dufner",10,6,"PowerRating",2014
154,154,"Gonzalo Fdez Castano",15,6,"PowerRating",2014
154,154,"Fabian Gomez",1,6,"PowerRating",2014
154,154,"Bronson La Cassie",5,6,"PowerRating",2014
154,154,"Pablo Larrazabal",1,6,"PowerRating",2014
159,159,"Alex Aragon",1,5.9,"PowerRating",2014
159,159,"Scott Brown",15,5.9,"PowerRating",2014
159,159,"Patrick Cantlay",2,5.9,"PowerRating",2014
159,159,"David Duval",2,5.9,"PowerRating",2014
159,159,"Jeff Overton",13,5.9,"PowerRating",2014
159,159,"Ian Poulter",9,5.9,"PowerRating",2014
159,159,"Jim Renner",6,5.9,"PowerRating",2014
159,159,"Chris Thompson",1,5.9,"PowerRating",2014
167,167,"Blake Adams",5,5.8,"PowerRating",2014
167,167,"Ricky Barnes",16,5.8,"PowerRating",2014
167,167,"Matt Every",13,5.8,"PowerRating",2014
167,167,"Andres Gonzales",1,5.8,"PowerRating",2014
167,167,"Luke Guthrie",14,5.8,"PowerRating",2014
167,167,"Peter Hanson",5,5.8,"PowerRating",2014
167,167,"Troy Merritt",10,5.8,"PowerRating",2014
174,174,"Jason Allred",4,5.7,"PowerRating",2014
174,174,"Will Claxton",3,5.7,"PowerRating",2014
174,174,"Harrison Frazar",3,5.7,"PowerRating",2014
174,174,"Pat Perez",16,5.7,"PowerRating",2014
178,178,"Jonas Blixt",7,5.6,"PowerRating",2014
178,178,"Scott Gardiner",3,5.6,"PowerRating",2014
178,178,"Mark Hubbard",1,5.6,"PowerRating",2014
178,178,"Carlos Ortiz",1,5.6,"PowerRating",2014
178,178,"Rod Pampling",2,5.6,"PowerRating",2014
178,178,"Webb Simpson",17,5.6,"PowerRating",2014
184,184,"Chad Campbell",9,5.5,"PowerRating",2014
184,184,"Erik Compton",14,5.5,"PowerRating",2014
184,184,"Russell Knox",19,5.5,"PowerRating",2014
184,184,"Brandt Snedeker",15,5.5,"PowerRating",2014
184,184,"Tyrone Van Aswegen",12,5.5,"PowerRating",2014
184,184,"Johnson Wagner",9,5.5,"PowerRating",2014
190,190,"Roberto Castro",10,5.4,"PowerRating",2014
190,190,"Mikko Ilonen",2,5.4,"PowerRating",2014
190,190,"Matt Kuchar",18,5.4,"PowerRating",2014
190,190,"Edoardo Molinari",1,5.4,"PowerRating",2014
190,190,"Joe Ogilvie",3,5.4,"PowerRating",2014
190,190,"Vaughn Taylor",1,5.4,"PowerRating",2014
190,190,"YE Yang",9,5.4,"PowerRating",2014
197,197,"Jonathan Byrd",12,5.3,"PowerRating",2014
197,197,"Steve Flesch",1,5.3,"PowerRating",2014
197,197,"Joost Luiten",3,5.3,"PowerRating",2014
197,197,"George McNeill",15,5.3,"PowerRating",2014
197,197,"Tiger Woods",1,5.3,"PowerRating",2014
202,202,"Austin Cook",1,5.2,"PowerRating",2014
202,202,"Jeff Curl",1,5.2,"PowerRating",2014
202,202,"Brendon de Jonge",20,5.2,"PowerRating",2014
202,202,"Richard Lee",10,5.2,"PowerRating",2014
202,202,"Chez Reavie",1,5.2,"PowerRating",2014
202,202,"Chris Stroud",15,5.2,"PowerRating",2014
202,202,"Dawie van der Walt",1,5.2,"PowerRating",2014
209,209,"James Driscoll",9,5.1,"PowerRating",2014
209,209,"Koumei Oda",1,5.1,"PowerRating",2014
209,209,"Nicholas Thompson",10,5.1,"PowerRating",2014
212,212,"Robert Allenby",11,5,"PowerRating",2014
212,212,"Eric Axley",3,5,"PowerRating",2014
212,212,"Ryuji Imada",3,5,"PowerRating",2014
212,212,"Freddie Jacobson",17,5,"PowerRating",2014
212,212,"John Mallinger",5,5,"PowerRating",2014
212,212,"Peter Malnati",3,5,"PowerRating",2014
212,212,"Kyle Reifers",1,5,"PowerRating",2014
219,219,"Justin Hicks",19,4.9,"PowerRating",2014
219,219,"Robert Karlsson",2,4.9,"PowerRating",2014
219,219,"Hyung Sung Kim",3,4.9,"PowerRating",2014
219,219,"Danny Lee",11,4.9,"PowerRating",2014
219,219,"Billy Mayfair",1,4.9,"PowerRating",2014
219,219,"Francesco Molinari",7,4.9,"PowerRating",2014
219,219,"Steve Stricker",8,4.9,"PowerRating",2014
226,226,"Thomas Aiken",1,4.8,"PowerRating",2014
226,226,"John Merrick",15,4.8,"PowerRating",2014
226,226,"Ryan Moore",14,4.8,"PowerRating",2014
226,226,"Andrew Svoboda",13,4.8,"PowerRating",2014
226,226,"Marc Turnesa",2,4.8,"PowerRating",2014
231,231,"Thongchai Jaidee",2,4.7,"PowerRating",2014
231,231,"Tim Wilkinson",15,4.7,"PowerRating",2014
233,233,"Benjamin Alvarado",1,4.6,"PowerRating",2014
234,234,"Briny Baird",8,4.5,"PowerRating",2014
234,234,"Scott Langley",16,4.5,"PowerRating",2014
234,234,"Daniel Summerhays",21,4.5,"PowerRating",2014
234,234,"Fabrizio Zanotti",2,4.5,"PowerRating",2014
238,238,"Woody Austin",8,4.4,"PowerRating",2014
238,238,"Kenny Perry",1,4.4,"PowerRating",2014
238,238,"Tim Petrovic",1,4.4,"PowerRating",2014
238,238,"Cameron Tringale",23,4.4,"PowerRating",2014
242,242,"Justin Bolli",1,4.3,"PowerRating",2014
242,242,"Zach Johnson",21,4.3,"PowerRating",2014
242,242,"DA Points",8,4.3,"PowerRating",2014
242,242,"Scottie Scheffler",1,4.3,"PowerRating",2014
242,242,"Charlie Wi",10,4.3,"PowerRating",2014
247,247,"Greg Chalmers",13,4.2,"PowerRating",2014
