"Approachesfrom125150yardsRgh_RANKTHISWEEK_2008","Approachesfrom125150yardsRgh_RANKLASTWEEK_2008","Approachesfrom125150yardsRgh_PLAYERNAME_2008","Approachesfrom125150yardsRgh_ROUNDS_2008","Approachesfrom125150yardsRgh_AVG_2008","Approachesfrom125150yardsRgh_TOTALDISTANCEFEET_2008","Approachesfrom125150yardsRgh_OFATTEMPTS_2008","Approachesfrom125150yardsRgh_RELATIVETOPAR_2008","stat_name","year"
1,1,"Padraig Harrington",52,NA,405.75,16,-1,"Approachesfrom125150yardsRgh",2008
2,2,"Paul Claxton",63,NA,469.333,18,-5,"Approachesfrom125150yardsRgh",2008
3,3,"Brenden Pappas",66,NA,1087.417,41,-4,"Approachesfrom125150yardsRgh",2008
4,4,"Michael Allen",91,NA,1092.083,39,3,"Approachesfrom125150yardsRgh",2008
5,5,"Joe Durant",92,NA,1510.667,53,4,"Approachesfrom125150yardsRgh",2008
6,6,"Alex Cejka",75,NA,1091.583,38,5,"Approachesfrom125150yardsRgh",2008
7,7,"Dean Wilson",109,NA,1738.667,60,0,"Approachesfrom125150yardsRgh",2008
8,8,"Ryuji Imada",80,NA,1423.917,49,3,"Approachesfrom125150yardsRgh",2008
8,8,"Brandt Jobe",52,NA,1077,37,6,"Approachesfrom125150yardsRgh",2008
10,10,"Craig Kanada",65,NA,699.5,24,2,"Approachesfrom125150yardsRgh",2008
11,11,"Joe Ogilvie",100,NA,2074.917,71,6,"Approachesfrom125150yardsRgh",2008
12,12,"John Riegger",73,NA,1115.25,38,-3,"Approachesfrom125150yardsRgh",2008
13,13,"Brian Gay",102,NA,1247.75,42,3,"Approachesfrom125150yardsRgh",2008
13,13,"Jim McGovern",75,NA,1310.417,44,3,"Approachesfrom125150yardsRgh",2008
15,15,"Cody Freeman",66,NA,1342.833,45,3,"Approachesfrom125150yardsRgh",2008
16,16,"Phil Mickelson",80,NA,1017.083,34,2,"Approachesfrom125150yardsRgh",2008
16,16,"Carl Pettersson",110,NA,2216.083,74,-7,"Approachesfrom125150yardsRgh",2008
18,18,"Scott Verplank",82,NA,869.667,29,7,"Approachesfrom125150yardsRgh",2008
19,19,"Johnson Wagner",83,NA,1654.083,55,1,"Approachesfrom125150yardsRgh",2008
20,20,"Tim Clark",90,NA,1571.5,52,2,"Approachesfrom125150yardsRgh",2008
21,21,"Shane Bertsch",96,NA,1198,39,4,"Approachesfrom125150yardsRgh",2008
21,21,"Harrison Frazar",73,NA,1474.917,48,7,"Approachesfrom125150yardsRgh",2008
23,23,"Nick Flanagan",89,NA,1817.5,59,4,"Approachesfrom125150yardsRgh",2008
24,24,"Steve Allan",58,NA,1606.417,52,4,"Approachesfrom125150yardsRgh",2008
24,24,"Stuart Appleby",87,NA,1544,50,-1,"Approachesfrom125150yardsRgh",2008
26,26,"Scott Sterling",89,NA,1437.5,46,-2,"Approachesfrom125150yardsRgh",2008
27,27,"Tom Lehman",51,NA,563.833,18,5,"Approachesfrom125150yardsRgh",2008
27,27,"Kevin Sutherland",98,NA,2226.75,71,2,"Approachesfrom125150yardsRgh",2008
29,29,"Andres Romero",69,NA,1421,45,0,"Approachesfrom125150yardsRgh",2008
30,30,"Jon Mills",95,NA,1748,55,2,"Approachesfrom125150yardsRgh",2008
31,31,"Zach Johnson",85,NA,1026.167,32,7,"Approachesfrom125150yardsRgh",2008
31,31,"Patrick Sheehan",124,NA,2021.917,63,6,"Approachesfrom125150yardsRgh",2008
33,33,"Rich Beem",90,NA,1190.167,37,5,"Approachesfrom125150yardsRgh",2008
33,33,"John Senden",93,NA,1899.833,59,9,"Approachesfrom125150yardsRgh",2008
35,35,"Hunter Mahan",87,NA,1711,53,9,"Approachesfrom125150yardsRgh",2008
36,36,"Daniel Chopra",84,NA,2165.417,67,5,"Approachesfrom125150yardsRgh",2008
36,36,"Steve Stricker",75,NA,1812.5,56,3,"Approachesfrom125150yardsRgh",2008
38,38,"Chez Reavie",102,NA,1463.583,45,6,"Approachesfrom125150yardsRgh",2008
39,39,"Tom Scherrer",56,NA,748.75,23,3,"Approachesfrom125150yardsRgh",2008
40,40,"Bill Haas",99,NA,2657.583,81,9,"Approachesfrom125150yardsRgh",2008
40,40,"Richard Johnson",77,NA,2001.667,61,-3,"Approachesfrom125150yardsRgh",2008
40,40,"Ryan Moore",72,NA,1706.583,52,12,"Approachesfrom125150yardsRgh",2008
40,40,"Bubba Watson",97,NA,2431.5,74,5,"Approachesfrom125150yardsRgh",2008
44,44,"Chris DiMarco",87,NA,1845.333,56,16,"Approachesfrom125150yardsRgh",2008
45,45,"Frank Lickliter II",107,NA,2317.167,70,12,"Approachesfrom125150yardsRgh",2008
45,45,"Ron Whittaker",54,NA,595.417,18,6,"Approachesfrom125150yardsRgh",2008
45,45,"Charlie Wi",97,NA,1751.667,53,2,"Approachesfrom125150yardsRgh",2008
48,48,"Cameron Beckman",87,NA,1394,42,3,"Approachesfrom125150yardsRgh",2008
48,48,"Vijay Singh",82,NA,1792.083,54,7,"Approachesfrom125150yardsRgh",2008
50,50,"Matt Kuchar",88,NA,1234.583,37,2,"Approachesfrom125150yardsRgh",2008
51,51,"Alejandro Canizares",52,NA,1269.833,38,4,"Approachesfrom125150yardsRgh",2008
52,52,"Paul Goydos",78,NA,1241.333,37,4,"Approachesfrom125150yardsRgh",2008
52,52,"Doug LaBelle II",65,NA,1142.583,34,6,"Approachesfrom125150yardsRgh",2008
52,52,"Kevin Stadler",90,NA,1848.833,55,6,"Approachesfrom125150yardsRgh",2008
52,52,"Kevin Streelman",114,NA,2718.917,81,7,"Approachesfrom125150yardsRgh",2008
56,56,"Adam Scott",51,NA,740.75,22,2,"Approachesfrom125150yardsRgh",2008
