"FairwayProximity_RANKTHISWEEK_2016","FairwayProximity_RANKLASTWEEK_2016","FairwayProximity_PLAYERNAME_2016","FairwayProximity_ROUNDS_2016","FairwayProximity_AVG_2016","FairwayProximity_ATTEMPTS_2016","FairwayProximity_TOTALDISTANCEFEET_2016","FairwayProximity_RELATIVETOPAR_2016","stat_name","year"
1,1,"Adam Scott",39,NA,293,8477.25,-70,"FairwayProximity",2016
2,7,"Vaughn Taylor",30,NA,334,9724.417,-19,"FairwayProximity",2016
3,3,"Tom Hoge",47,NA,436,12777.417,-30,"FairwayProximity",2016
4,8,"Bubba Watson",30,NA,200,5914.5,-34,"FairwayProximity",2016
5,2,"Robert Garrigus",34,NA,264,7847.083,-31,"FairwayProximity",2016
5,6,"Jason Gore",51,NA,485,14434.75,-20,"FairwayProximity",2016
7,4,"Henrik Norlander",41,NA,338,10106,-24,"FairwayProximity",2016
8,11,"Zach Johnson",42,NA,455,13704.333,-61,"FairwayProximity",2016
9,12,"KJ Choi",47,NA,544,16502.583,-50,"FairwayProximity",2016
10,15,"Shane Bertsch",30,NA,255,7778.25,-21,"FairwayProximity",2016
11,5,"JB Holmes",39,NA,322,9835,-52,"FairwayProximity",2016
11,17,"Pat Perez",28,NA,198,6062.083,-5,"FairwayProximity",2016
13,14,"David Hearn",55,NA,581,17799.25,-51,"FairwayProximity",2016
13,10,"Kelly Kraft",35,NA,249,7627.583,-30,"FairwayProximity",2016
13,19,"Justin Leonard",28,NA,314,9635,5,"FairwayProximity",2016
16,22,"Hudson Swafford",52,NA,504,15498.5,-32,"FairwayProximity",2016
17,19,"Nick Taylor",57,NA,551,16986.583,-52,"FairwayProximity",2016
17,17,"Tyrone Van Aswegen",67,NA,647,19963.5,-41,"FairwayProximity",2016
19,30,"Chez Reavie",56,NA,639,19864,-70,"FairwayProximity",2016
20,34,"Dustin Johnson",37,NA,233,7267.833,-38,"FairwayProximity",2016
20,9,"Tim Wilkinson",40,NA,344,10716.25,-41,"FairwayProximity",2016
22,34,"Daniel Berger",52,NA,452,14111.167,-50,"FairwayProximity",2016
23,39,"Matt Kuchar",46,NA,405,12681.833,-39,"FairwayProximity",2016
24,12,"Hideki Matsuyama",40,NA,335,10528.167,-61,"FairwayProximity",2016
25,39,"Kevin Chappell",49,NA,507,15991,-35,"FairwayProximity",2016
25,19,"Graham DeLaet",50,NA,539,16960.5,-28,"FairwayProximity",2016
25,30,"Lucas Glover",53,NA,630,19823.167,-64,"FairwayProximity",2016
25,30,"Francesco Molinari",36,NA,432,13601.083,-15,"FairwayProximity",2016
25,50,"Ryan Moore",40,NA,370,11641.167,-33,"FairwayProximity",2016
25,47,"Ryan Palmer",46,NA,531,16727.083,-40,"FairwayProximity",2016
25,36,"Justin Thomas",53,NA,437,13767.417,-23,"FairwayProximity",2016
25,39,"Michael Thompson",46,NA,395,12445.333,-36,"FairwayProximity",2016
33,50,"Luke Guthrie",31,NA,256,8091.667,-19,"FairwayProximity",2016
33,27,"Jim Herman",55,NA,519,16392.25,-41,"FairwayProximity",2016
33,15,"Rob Oppenheim",37,NA,343,10830.75,-23,"FairwayProximity",2016
33,25,"David Toms",38,NA,441,13945.25,-33,"FairwayProximity",2016
37,52,"Jerry Kelly",44,NA,399,12640.083,-11,"FairwayProximity",2016
37,55,"Cameron Smith",45,NA,331,10491.75,-5,"FairwayProximity",2016
39,55,"Charlie Beljan",26,NA,204,6480.667,27,"FairwayProximity",2016
39,23,"Justin Hicks",26,NA,335,10649.5,-6,"FairwayProximity",2016
39,30,"Kevin Kisner",49,NA,432,13713.333,-65,"FairwayProximity",2016
39,55,"Graeme McDowell",33,NA,325,10307.167,-20,"FairwayProximity",2016
39,25,"Rory McIlroy",37,NA,265,8409.917,-34,"FairwayProximity",2016
44,60,"Jason Dufner",53,NA,445,14153.5,-28,"FairwayProximity",2016
44,27,"Derek Ernst",36,NA,286,9103,-8,"FairwayProximity",2016
44,60,"Bryce Molder",50,NA,519,16523.5,-70,"FairwayProximity",2016
44,36,"Brett Stegmaier",57,NA,623,19826.917,-32,"FairwayProximity",2016
48,36,"Emiliano Grillo",47,NA,488,15593.833,-43,"FairwayProximity",2016
48,63,"Smylie Kaufman",57,NA,487,15552.417,-59,"FairwayProximity",2016
48,52,"Will Ma Kenzie",54,NA,532,16987.917,-25,"FairwayProximity",2016
48,63,"Seung Yul Noh",54,NA,517,16506,-32,"FairwayProximity",2016
48,39,"Kyle Stanley",57,NA,629,20059.083,-44,"FairwayProximity",2016
48,27,"Brendan Steele",48,NA,494,15781.583,-37,"FairwayProximity",2016
48,63,"Darron Stiles",28,NA,233,7443.333,15,"FairwayProximity",2016
55,67,"Chris Kirk",51,NA,505,16144.75,-41,"FairwayProximity",2016
55,67,"Kevin Na",52,NA,428,13702.917,-50,"FairwayProximity",2016
55,86,"Greg Owen",56,NA,541,17316.417,-36,"FairwayProximity",2016
55,23,"Brian Stuard",24,NA,243,7774.5,-19,"FairwayProximity",2016
