"Last5EventsPower_RANKTHISWEEK_2006","Last5EventsPower_RANKLASTWEEK_2006","Last5EventsPower_PLAYERNAME_2006","Last5EventsPower_EVENTS_2006","Last5EventsPower_RATING_2006","stat_name","year"
1,1,"JB Holmes",3,10,"Last5EventsPower",2006
2,3,"Steven Bowditch",1,9.8,"Last5EventsPower",2006
2,3,"Harrison Frazar",4,9.8,"Last5EventsPower",2006
2,3,"Bubba Watson",4,9.8,"Last5EventsPower",2006
2,3,"Brett Wetterich",5,9.8,"Last5EventsPower",2006
6,7,"Angel Cabrera",2,9.7,"Last5EventsPower",2006
6,7,"Johan Edfors",2,9.7,"Last5EventsPower",2006
8,9,"Lucas Glover",5,9.6,"Last5EventsPower",2006
9,10,"Charles Warren",3,9.5,"Last5EventsPower",2006
10,11,"Jeff Overton",1,9.4,"Last5EventsPower",2006
11,12,"Scott Harrington",1,9.3,"Last5EventsPower",2006
11,12,"Ryan Hietala",2,9.3,"Last5EventsPower",2006
13,14,"Charley Hoffman",4,9.2,"Last5EventsPower",2006
13,14,"Henrik Stenson",2,9.2,"Last5EventsPower",2006
13,14,"Nick Watney",4,9.2,"Last5EventsPower",2006
16,17,"Adam Scott",3,9.1,"Last5EventsPower",2006
17,17,"Jason Day",2,9,"Last5EventsPower",2006
17,17,"Davis Love III",4,9,"Last5EventsPower",2006
19,20,"Chris Couch",3,8.9,"Last5EventsPower",2006
19,20,"Gonzalo Fdez Castano",1,8.9,"Last5EventsPower",2006
19,20,"Robert Garrigus",2,8.9,"Last5EventsPower",2006
19,20,"Retief Goosen",3,8.9,"Last5EventsPower",2006
19,20,"Jason Gore",3,8.9,"Last5EventsPower",2006
19,20,"Tag Ridings",4,8.9,"Last5EventsPower",2006
25,27,"Charles Howell III",2,8.8,"Last5EventsPower",2006
25,20,"Tiger Woods",3,8.8,"Last5EventsPower",2006
27,28,"Chris Smith",4,8.7,"Last5EventsPower",2006
27,28,"Camilo Villegas",2,8.7,"Last5EventsPower",2006
29,30,"Jonathan Byrd",4,8.6,"Last5EventsPower",2006
29,30,"Kris Cox",3,8.6,"Last5EventsPower",2006
29,30,"Greg Owen",4,8.6,"Last5EventsPower",2006
29,30,"Scott Piercy",3,8.6,"Last5EventsPower",2006
29,30,"Roland Thatcher",1,8.6,"Last5EventsPower",2006
34,35,"Paul Casey",2,8.5,"Last5EventsPower",2006
34,35,"Nicholas Thompson",4,8.5,"Last5EventsPower",2006
34,35,"Bo Van Pelt",3,8.5,"Last5EventsPower",2006
37,38,"Ernie Els",4,8.4,"Last5EventsPower",2006
37,38,"Sergio Garcia",2,8.4,"Last5EventsPower",2006
37,38,"Anthony Kim",2,8.4,"Last5EventsPower",2006
37,38,"Hank Kuehne",1,8.4,"Last5EventsPower",2006
37,38,"John Senden",3,8.4,"Last5EventsPower",2006
42,43,"Mathew Goggin",2,8.3,"Last5EventsPower",2006
42,43,"Joel Kribel",1,8.3,"Last5EventsPower",2006
42,43,"Troy Matteson",5,8.3,"Last5EventsPower",2006
42,43,"Louis Oosthuizen",1,8.3,"Last5EventsPower",2006
46,47,"David Berganio Jr",1,8.2,"Last5EventsPower",2006
