"LeftRoughTendencyRTPScore_RANKTHISWEEK_2010","LeftRoughTendencyRTPScore_RANKLASTWEEK_2010","LeftRoughTendencyRTPScore_PLAYERNAME_2010","LeftRoughTendencyRTPScore_ROUNDS_2010","LeftRoughTendencyRTPScore_RTPSCORE_2010","stat_name","year"
1,1,"Bubba Watson",77,-0.124,"LeftRoughTendencyRTPScore",2010
2,2,"Luke Donald",71,-0.118,"LeftRoughTendencyRTPScore",2010
3,3,"Aaron Baddeley",94,-0.113,"LeftRoughTendencyRTPScore",2010
4,4,"Rory McIlroy",54,-0.089,"LeftRoughTendencyRTPScore",2010
5,5,"Graham DeLaet",88,-0.06,"LeftRoughTendencyRTPScore",2010
6,6,"Sergio Garcia",58,-0.059,"LeftRoughTendencyRTPScore",2010
6,6,"JB Holmes",100,-0.059,"LeftRoughTendencyRTPScore",2010
8,8,"Jimmy Walker",82,-0.046,"LeftRoughTendencyRTPScore",2010
9,9,"Jonathan Byrd",85,-0.025,"LeftRoughTendencyRTPScore",2010
10,10,"George McNeill",79,-0.022,"LeftRoughTendencyRTPScore",2010
11,11,"Carl Pettersson",99,-0.012,"LeftRoughTendencyRTPScore",2010
12,12,"Paul Casey",64,-0.01,"LeftRoughTendencyRTPScore",2010
13,13,"Ernie Els",72,-0.009,"LeftRoughTendencyRTPScore",2010
13,13,"Dean Wilson",54,-0.009,"LeftRoughTendencyRTPScore",2010
15,15,"Greg Chalmers",93,-0.008,"LeftRoughTendencyRTPScore",2010
15,15,"Stewart Cink",84,-0.008,"LeftRoughTendencyRTPScore",2010
15,15,"Charley Hoffman",85,-0.008,"LeftRoughTendencyRTPScore",2010
18,18,"Dustin Johnson",83,0,"LeftRoughTendencyRTPScore",2010
18,18,"Matt Jones",89,0,"LeftRoughTendencyRTPScore",2010
18,18,"Marc Leishman",87,0,"LeftRoughTendencyRTPScore",2010
18,18,"Adam Scott",70,0,"LeftRoughTendencyRTPScore",2010
18,18,"Nick Watney",91,0,"LeftRoughTendencyRTPScore",2010
23,23,"Charles Howell III",103,0.006,"LeftRoughTendencyRTPScore",2010
24,24,"Will Ma Kenzie",72,0.008,"LeftRoughTendencyRTPScore",2010
25,25,"Hunter Mahan",85,0.01,"LeftRoughTendencyRTPScore",2010
26,26,"JJ Henry",92,0.013,"LeftRoughTendencyRTPScore",2010
27,27,"Troy Matteson",84,0.014,"LeftRoughTendencyRTPScore",2010
28,28,"Brett Wetterich",54,0.017,"LeftRoughTendencyRTPScore",2010
29,29,"Ian Poulter",55,0.018,"LeftRoughTendencyRTPScore",2010
29,29,"John Rollins",81,0.018,"LeftRoughTendencyRTPScore",2010
29,29,"Vijay Singh",75,0.018,"LeftRoughTendencyRTPScore",2010
32,32,"Jeff Overton",89,0.019,"LeftRoughTendencyRTPScore",2010
32,32,"Cameron Percy",73,0.019,"LeftRoughTendencyRTPScore",2010
34,34,"Heath Slocum",97,0.02,"LeftRoughTendencyRTPScore",2010
34,34,"Bo Van Pelt",104,0.02,"LeftRoughTendencyRTPScore",2010
