"BounceBack_RANKTHISWEEK_2010","BounceBack_RANKLASTWEEK_2010","BounceBack_PLAYERNAME_2010","BounceBack_ROUNDS_2010","BounceBack_Pct_2010","stat_name","year"
103,NA,"Carl Pettersson",99,20.16,"BounceBack",2010
105,NA,"Brian Davis",101,20.14,"BounceBack",2010
106,NA,"Blake Adams",84,20.09,"BounceBack",2010
106,NA,"Chris Tidland",77,20.09,"BounceBack",2010
106,NA,"Boo Weekley",88,20.09,"BounceBack",2010
109,NA,"Ricky Barnes",103,20,"BounceBack",2010
109,NA,"Chad Collins",87,20,"BounceBack",2010
109,NA,"Rickie Fowler",98,20,"BounceBack",2010
109,NA,"Andres Romero",73,20,"BounceBack",2010
109,NA,"David Toms",86,20,"BounceBack",2010
109,NA,"Bo Van Pelt",104,20,"BounceBack",2010
115,NA,"Alex Cejka",81,19.92,"BounceBack",2010
116,NA,"Brendon de Jonge",114,19.86,"BounceBack",2010
117,NA,"JP Hayes",79,19.81,"BounceBack",2010
118,NA,"Stuart Appleby",101,19.8,"BounceBack",2010
119,NA,"Jason Dufner",87,19.77,"BounceBack",2010
120,NA,"Johnson Wagner",85,19.75,"BounceBack",2010
121,NA,"Phil Mickelson",76,19.7,"BounceBack",2010
122,NA,"Alex Prugh",88,19.67,"BounceBack",2010
123,NA,"Rod Pampling",77,19.63,"BounceBack",2010
124,NA,"Jarrod Lyle",54,19.61,"BounceBack",2010
125,NA,"Kevin Streelman",90,19.59,"BounceBack",2010
126,NA,"Pat Perez",90,19.53,"BounceBack",2010
127,NA,"KJ Choi",82,19.5,"BounceBack",2010
128,NA,"Freddie Jacobson",83,19.49,"BounceBack",2010
129,NA,"Kevin Stadler",86,19.4,"BounceBack",2010
130,NA,"Vaughn Taylor",87,19.3,"BounceBack",2010
131,NA,"Kevin Johnson",62,19.25,"BounceBack",2010
132,NA,"Cliff Kresge",50,19.12,"BounceBack",2010
133,NA,"Ernie Els",72,19.08,"BounceBack",2010
133,NA,"Geoff Ogilvy",62,19.08,"BounceBack",2010
135,NA,"Derek Lamely",81,19.05,"BounceBack",2010
136,NA,"Tim Herron",79,18.98,"BounceBack",2010
137,NA,"Heath Slocum",97,18.94,"BounceBack",2010
138,NA,"Briny Baird",87,18.84,"BounceBack",2010
139,NA,"Vance Veazey",58,18.75,"BounceBack",2010
140,NA,"Paul Casey",64,18.66,"BounceBack",2010
141,NA,"Bob Estes",79,18.63,"BounceBack",2010
142,NA,"Michael Bradley",77,18.56,"BounceBack",2010
143,NA,"Sean OHair",84,18.54,"BounceBack",2010
144,NA,"Jeev Milkha Singh",59,18.44,"BounceBack",2010
145,NA,"Jason Bohn",84,18.41,"BounceBack",2010
146,NA,"Tim Clark",88,18.32,"BounceBack",2010
147,NA,"Marc Leishman",87,18.29,"BounceBack",2010
148,NA,"Brian Gay",101,18.14,"BounceBack",2010
149,NA,"Mark Wilson",87,18.09,"BounceBack",2010
150,NA,"Shaun Micheel",70,18.08,"BounceBack",2010
151,NA,"Brad Faxon",58,18.06,"BounceBack",2010
152,NA,"Paul Goydos",78,17.99,"BounceBack",2010
153,NA,"Ryan Palmer",84,17.89,"BounceBack",2010
154,NA,"DA Points",90,17.81,"BounceBack",2010
155,NA,"Steve Stricker",73,17.72,"BounceBack",2010
156,NA,"Ben Curtis",78,17.65,"BounceBack",2010
157,NA,"Trevor Immelman",55,17.61,"BounceBack",2010
158,NA,"Luke Donald",71,17.53,"BounceBack",2010
159,NA,"Cameron Beckman",68,17.46,"BounceBack",2010
159,NA,"Brenden Pappas",66,17.46,"BounceBack",2010
161,NA,"Hunter Mahan",85,17.39,"BounceBack",2010
162,NA,"Mathew Goggin",85,17.37,"BounceBack",2010
163,NA,"Rich Barcelo",70,17.27,"BounceBack",2010
163,NA,"Ian Poulter",55,17.27,"BounceBack",2010
165,NA,"Josh Teater",101,17.09,"BounceBack",2010
166,NA,"Bill Haas",87,17.04,"BounceBack",2010
166,NA,"Richard Johnson",90,17.04,"BounceBack",2010
168,NA,"Stephen Ames",75,17.01,"BounceBack",2010
169,NA,"Rory McIlroy",54,16.89,"BounceBack",2010
170,NA,"Michael Sim",64,16.77,"BounceBack",2010
171,NA,"Justin Bolli",55,16.67,"BounceBack",2010
172,NA,"Greg Owen",69,16.59,"BounceBack",2010
173,NA,"Camilo Villegas",78,16.5,"BounceBack",2010
174,NA,"David Lutterus",69,16.29,"BounceBack",2010
174,NA,"Troy Merritt",86,16.29,"BounceBack",2010
176,NA,"John Mallinger",78,16.27,"BounceBack",2010
177,NA,"Jerod Turner",54,16.15,"BounceBack",2010
178,NA,"Omar Uresti",74,16.11,"BounceBack",2010
179,NA,"Bryce Molder",84,15.81,"BounceBack",2010
180,NA,"Charlie Wi",95,15.67,"BounceBack",2010
181,NA,"Scott Verplank",74,15.61,"BounceBack",2010
182,NA,"Rocco Mediate",71,15.53,"BounceBack",2010
183,NA,"Mathias Gronberg",61,15.17,"BounceBack",2010
184,NA,"Kenny Perry",69,14.92,"BounceBack",2010
185,NA,"Brent Delahoussaye",57,14.88,"BounceBack",2010
186,NA,"Steve Lowery",67,14.81,"BounceBack",2010
187,NA,"Roland Thatcher",72,14.49,"BounceBack",2010
188,NA,"Chris Wilson",65,14.08,"BounceBack",2010
189,NA,"Mike Weir",59,13.74,"BounceBack",2010
190,NA,"Greg Kraft",52,13.59,"BounceBack",2010
191,NA,"Craig Bowden",56,11.63,"BounceBack",2010
192,NA,"Skip Kendall",58,11.24,"BounceBack",2010
