"LongestDrives_RANKTHISWEEK_2008","LongestDrives_RANKLASTWEEK_2008","LongestDrives_PLAYERNAME_2008","LongestDrives_ROUNDS_2008","LongestDrives_DISTANCE_2008","LongestDrives_TOURNAMENT_2008","LongestDrives_ROUND_2008","LongestDrives_HOLE_2008","LongestDrives_COURSE_2008","stat_name","year"
1,1,"Bob Heintz",48,435,NA,1,10,660,"LongestDrives",2008
2,2,"JL Lewis",40,429,NA,4,11,625,"LongestDrives",2008
3,3,"Steve Marino",119,424,NA,4,11,625,"LongestDrives",2008
4,4,"Ryuji Imada",80,414,NA,4,14,4,"LongestDrives",2008
5,5,"Pat Perez",93,412,NA,4,11,625,"LongestDrives",2008
6,6,"Jason Day",81,407,NA,1,11,625,"LongestDrives",2008
7,7,"Dustin Johnson",92,405,NA,1,11,625,"LongestDrives",2008
10,10,"Charles Warren",79,402,NA,3,9,660,"LongestDrives",2008
11,11,"Robert Garrigus",90,400,NA,1,11,625,"LongestDrives",2008
13,13,"Davis Love III",78,399,NA,1,11,625,"LongestDrives",2008
13,13,"Tag Ridings",88,399,NA,3,1,625,"LongestDrives",2008
13,13,"Kevin Stadler",90,399,NA,1,11,625,"LongestDrives",2008
13,13,"Michael Thompson",14,399,NA,3,11,625,"LongestDrives",2008
17,17,"Rory Sabbatini",77,398,NA,4,17,656,"LongestDrives",2008
19,19,"Steve Allan",58,397,NA,4,11,625,"LongestDrives",2008
19,19,"Sean OHair",81,397,NA,4,11,625,"LongestDrives",2008
19,19,"Nick Watney",96,397,NA,3,11,625,"LongestDrives",2008
19,19,"Martin Laird",98,397,NA,4,11,625,"LongestDrives",2008
24,24,"Eric Axley",113,396,NA,2,11,625,"LongestDrives",2008
26,26,"Daniel Chopra",84,395,NA,3,17,656,"LongestDrives",2008
26,26,"Jhonattan Vegas",4,395,NA,4,11,625,"LongestDrives",2008
26,26,"Nicholas Thompson",113,395,NA,4,11,625,"LongestDrives",2008
32,32,"Ted Purdy",68,394,NA,1,11,625,"LongestDrives",2008
32,32,"Bubba Watson",97,394,NA,2,7,21,"LongestDrives",2008
34,34,"Kirk Triplett",25,393,NA,1,10,660,"LongestDrives",2008
34,34,"Harrison Frazar",73,393,NA,4,1,625,"LongestDrives",2008
37,37,"Alex Cejka",75,392,NA,1,10,660,"LongestDrives",2008
37,37,"Angel Cabrera",55,392,NA,3,18,656,"LongestDrives",2008
37,37,"Charles Howell III",101,392,NA,4,11,625,"LongestDrives",2008
37,37,"Kevin Streelman",114,392,NA,4,11,625,"LongestDrives",2008
37,37,"Tommy Gainey",60,392,NA,2,11,625,"LongestDrives",2008
43,43,"Justin Bolli",87,391,NA,1,5,752,"LongestDrives",2008
43,43,"Jon Mills",95,391,NA,2,11,625,"LongestDrives",2008
43,43,"JB Holmes",86,391,NA,3,14,36,"LongestDrives",2008
43,43,"Kevin Chappell",4,391,NA,1,11,625,"LongestDrives",2008
50,50,"John Rollins",94,390,NA,3,7,8,"LongestDrives",2008
50,50,"Boo Weekley",86,390,NA,4,12,656,"LongestDrives",2008
54,54,"Steve Elkington",84,389,NA,4,11,625,"LongestDrives",2008
54,54,"Charley Hoffman",94,389,NA,2,11,625,"LongestDrives",2008
59,59,"Scott Verplank",82,388,NA,3,11,625,"LongestDrives",2008
64,64,"Patrick Sheehan",124,387,NA,1,10,660,"LongestDrives",2008
71,71,"Stephen Ames",83,385,NA,4,17,656,"LongestDrives",2008
71,71,"Chad Campbell",94,385,NA,4,17,656,"LongestDrives",2008
71,71,"Vaughn Taylor",103,385,NA,4,1,625,"LongestDrives",2008
71,71,"Chris Stroud",81,385,NA,1,11,625,"LongestDrives",2008
71,71,"Jeff Overton",103,385,NA,3,9,660,"LongestDrives",2008
80,80,"Kenny Perry",97,384,NA,3,6,19,"LongestDrives",2008
80,80,"Brian Bateman",48,384,NA,3,12,656,"LongestDrives",2008
80,80,"Lee Westwood",32,384,NA,1,3,500,"LongestDrives",2008
80,80,"Jason Allred",63,384,NA,2,5,660,"LongestDrives",2008
88,88,"Mike Heinen",15,383,NA,2,14,660,"LongestDrives",2008
88,88,"Richard Johnson",77,383,NA,2,11,625,"LongestDrives",2008
88,88,"Parker McLachlin",88,383,NA,2,1,625,"LongestDrives",2008
88,88,"Martin Kaymer",23,383,NA,3,2,541,"LongestDrives",2008
96,96,"Rick Fehr",4,382,NA,1,10,660,"LongestDrives",2008
96,96,"Phil Mickelson",80,382,NA,2,7,21,"LongestDrives",2008
96,96,"Mathias Gronberg",87,382,NA,3,9,660,"LongestDrives",2008
96,96,"Brendan Jones",15,382,NA,3,2,541,"LongestDrives",2008
96,96,"George McNeill",97,382,NA,3,12,656,"LongestDrives",2008
104,104,"Steve Stricker",75,381,NA,4,12,656,"LongestDrives",2008
