"BallSpeed_RANKTHISWEEK_2011","BallSpeed_RANKLASTWEEK_2011","BallSpeed_PLAYERNAME_2011","BallSpeed_ROUNDS_2011","BallSpeed_AVG_2011","BallSpeed_TOTALBALLSPEED_2011","BallSpeed_TOTALATTEMPTS_2011","BallSpeed_FASTESTSPEED_2011","BallSpeed_SLOWESTSPEED_2011","stat_name","year"
1,1,"JB Holmes",57,185.73,7614.88,41,190.79,180.81,"BallSpeed",2011
2,2,"Bubba Watson",85,184.22,10316.24,56,190.5,180.68,"BallSpeed",2011
3,3,"Gary Woodland",93,182.85,9690.9,53,188.6,170.2,"BallSpeed",2011
4,4,"Robert Garrigus",83,180.94,9408.8,52,186.12,167.26,"BallSpeed",2011
5,5,"Jhonattan Vegas",84,180.6,11558.51,64,185.52,170.66,"BallSpeed",2011
6,6,"Dustin Johnson",72,180.44,8480.46,47,184.31,175.12,"BallSpeed",2011
7,7,"Tag Ridings",87,178.27,10874.18,61,182.52,173.71,"BallSpeed",2011
8,8,"Zack Miller",86,177.44,9404.33,53,184.56,166.48,"BallSpeed",2011
9,9,"Angel Cabrera",50,176.97,5132.15,29,181.96,168.32,"BallSpeed",2011
10,10,"Aaron Baddeley",77,176.34,10051.59,57,181.56,167.98,"BallSpeed",2011
11,11,"Chris Couch",73,176.1,8804.78,50,181.3,168.89,"BallSpeed",2011
12,12,"Kyle Stanley",98,176.01,12320.76,70,188.1,170.84,"BallSpeed",2011
13,13,"Scott Stallings",84,175.62,11766.37,67,182.56,162.8,"BallSpeed",2011
14,14,"Phil Mickelson",79,175.37,8943.91,51,182.61,169.76,"BallSpeed",2011
15,15,"Sergio Garcia",61,175.17,7532.41,43,179.16,169.84,"BallSpeed",2011
16,16,"Nick Watney",80,175.01,11200.96,64,183.21,162.13,"BallSpeed",2011
17,17,"Will Strickler",51,174.91,5946.78,34,182.16,160.43,"BallSpeed",2011
18,18,"Charley Hoffman",93,174.77,12932.8,74,183.53,167.38,"BallSpeed",2011
19,19,"Jimmy Walker",79,174.67,9955.91,57,180.78,158.98,"BallSpeed",2011
20,20,"Martin Laird",77,174.65,10479.24,60,181.17,164.64,"BallSpeed",2011
21,21,"Trevor Immelman",84,174.55,9600.15,55,179.81,166.52,"BallSpeed",2011
22,22,"James Driscoll",71,174.04,9398.37,54,180.5,160.48,"BallSpeed",2011
23,23,"Robert Karlsson",61,173.92,7130.79,41,179.95,164.99,"BallSpeed",2011
24,24,"Bio Kim",71,173.89,8346.58,48,180.62,153.93,"BallSpeed",2011
25,25,"Steven Bowditch",86,173.66,11287.99,65,179.47,159,"BallSpeed",2011
26,26,"Adam Scott",60,173.64,8161.02,47,178.32,169.19,"BallSpeed",2011
27,27,"Keegan Bradley",91,173.44,11099.86,64,180.24,161.9,"BallSpeed",2011
28,28,"Derek Lamely",65,173.28,7797.48,45,178.22,165.04,"BallSpeed",2011
29,29,"Bill Haas",93,173.23,11779.48,68,177.77,157.5,"BallSpeed",2011
30,30,"George McNeill",69,173.21,9180.17,53,178.76,168.04,"BallSpeed",2011
31,31,"Jason Day",76,173.07,8134.43,47,179.27,163.56,"BallSpeed",2011
32,32,"Marc Leishman",87,172.43,12932.12,75,178.14,166.42,"BallSpeed",2011
33,33,"Charles Howell III",108,172.38,14480.2,84,177.19,165.25,"BallSpeed",2011
34,34,"Matt Jones",71,172.36,8962.56,52,178.18,160.97,"BallSpeed",2011
34,34,"Charl Schwartzel",58,172.36,6032.49,35,176.2,167.19,"BallSpeed",2011
36,36,"Troy Matteson",91,172.25,12402.27,72,177.69,167.8,"BallSpeed",2011
37,37,"Harrison Frazar",58,172.19,6715.24,39,178,164.84,"BallSpeed",2011
38,38,"Ricky Barnes",78,171.95,9801.37,57,176.24,164.21,"BallSpeed",2011
38,38,"Bobby Gates",82,171.95,9629.18,56,179.22,150.28,"BallSpeed",2011
40,40,"Andres Romero",77,171.92,11002.81,64,181.49,157.54,"BallSpeed",2011
41,41,"John Senden",94,171.89,13579.61,79,177.94,160.58,"BallSpeed",2011
42,42,"Scott Piercy",78,171.85,8935.96,52,177.47,165.93,"BallSpeed",2011
43,43,"Jim Herman",69,171.67,7896.75,46,177.15,162.82,"BallSpeed",2011
44,44,"Davis Love III",70,171.64,6693.97,39,176.02,163.18,"BallSpeed",2011
45,45,"Josh Teater",104,171.61,11669.31,68,176.72,162.36,"BallSpeed",2011
46,46,"Sean OHair",71,171.51,7717.83,45,181.23,164.19,"BallSpeed",2011
47,47,"Lucas Glover",74,171.42,9770.68,57,177.72,159.7,"BallSpeed",2011
48,48,"Michael Putnam",67,171.12,7871.59,46,177.85,165.24,"BallSpeed",2011
49,49,"Alex Prugh",82,171.05,10433.86,61,175.65,165.2,"BallSpeed",2011
50,50,"Brandt Jobe",100,171,11798.76,69,175.24,162.21,"BallSpeed",2011
51,51,"David Duval",67,170.92,8375.31,49,175.08,166.44,"BallSpeed",2011
