"PuttingfromGrtr10_RANKTHISWEEK_2008","PuttingfromGrtr10_RANKLASTWEEK_2008","PuttingfromGrtr10_PLAYERNAME_2008","PuttingfromGrtr10_ROUNDS_2008","PuttingfromGrtr10_PctMADE_2008","PuttingfromGrtr10_ATTEMPTS_2008","PuttingfromGrtr10_PUTTSMADE_2008","stat_name","year"
1,1,"Ryan Palmer",69,19.56,634,124,"PuttingfromGrtr10",2008
2,2,"Brian Gay",102,18.74,886,166,"PuttingfromGrtr10",2008
3,3,"Daniel Chopra",84,18.7,690,129,"PuttingfromGrtr10",2008
4,4,"Greg Kraft",63,18.54,507,94,"PuttingfromGrtr10",2008
5,5,"Ben Crane",86,18.46,829,153,"PuttingfromGrtr10",2008
6,6,"Craig Kanada",65,18.44,591,109,"PuttingfromGrtr10",2008
7,7,"Chad Collins",72,18.35,654,120,"PuttingfromGrtr10",2008
8,8,"Corey Pavin",69,18.13,546,99,"PuttingfromGrtr10",2008
9,9,"Tim Petrovic",97,18.12,850,154,"PuttingfromGrtr10",2008
10,10,"Eric Axley",113,18.11,1038,188,"PuttingfromGrtr10",2008
11,11,"Bob Tway",70,18.07,570,103,"PuttingfromGrtr10",2008
12,12,"Ken Duke",116,17.95,1092,196,"PuttingfromGrtr10",2008
13,13,"John Mallinger",95,17.94,825,148,"PuttingfromGrtr10",2008
14,14,"Marc Turnesa",87,17.79,798,142,"PuttingfromGrtr10",2008
15,15,"Richard Johnson",77,17.74,682,121,"PuttingfromGrtr10",2008
16,16,"Mark Hensby",71,17.58,677,119,"PuttingfromGrtr10",2008
16,16,"Parker McLachlin",88,17.58,825,145,"PuttingfromGrtr10",2008
16,16,"Adam Scott",51,17.58,347,61,"PuttingfromGrtr10",2008
19,19,"Woody Austin",109,17.41,959,167,"PuttingfromGrtr10",2008
19,19,"Jeff Quinney",87,17.41,735,128,"PuttingfromGrtr10",2008
21,21,"Justin Leonard",101,17.4,776,135,"PuttingfromGrtr10",2008
