"OverallPuttingAverage_RANKTHISWEEK_2008","OverallPuttingAverage_RANKLASTWEEK_2008","OverallPuttingAverage_PLAYERNAME_2008","OverallPuttingAverage_ROUNDS_2008","OverallPuttingAverage_AVG_2008","OverallPuttingAverage_OFPUTTS_2008","OverallPuttingAverage_OFHOLES_2008","stat_name","year"
1,1,"Chris Riley",51,1.333,1224,918,"OverallPuttingAverage",2008
2,2,"Alejandro Canizares",52,1.353,1266,936,"OverallPuttingAverage",2008
3,3,"Gavin Coles",54,1.371,1333,972,"OverallPuttingAverage",2008
4,4,"Greg Kraft",63,1.389,1575,1134,"OverallPuttingAverage",2008
5,5,"Marco Dawson",64,1.395,1607,1152,"OverallPuttingAverage",2008
6,6,"Steve Allan",58,1.428,1491,1044,"OverallPuttingAverage",2008
7,7,"Bob Tway",70,1.434,1807,1260,"OverallPuttingAverage",2008
8,8,"Shigeki Maruyama",50,1.441,1297,900,"OverallPuttingAverage",2008
9,9,"Jimmy Walker",73,1.446,1900,1314,"OverallPuttingAverage",2008
10,10,"Chad Collins",72,1.448,1877,1296,"OverallPuttingAverage",2008
11,11,"Craig Kanada",65,1.45,1696,1170,"OverallPuttingAverage",2008
12,12,"Brian Gay",102,1.451,2664,1836,"OverallPuttingAverage",2008
13,13,"Glen Day",64,1.454,1675,1152,"OverallPuttingAverage",2008
14,14,"Doug LaBelle II",65,1.458,1706,1170,"OverallPuttingAverage",2008
15,15,"Tommy Gainey",60,1.46,1577,1080,"OverallPuttingAverage",2008
16,16,"Corey Pavin",69,1.461,1815,1242,"OverallPuttingAverage",2008
16,16,"Tom Scherrer",56,1.461,1473,1008,"OverallPuttingAverage",2008
18,18,"Brenden Pappas",66,1.465,1741,1188,"OverallPuttingAverage",2008
19,19,"Ryan Palmer",69,1.467,1822,1242,"OverallPuttingAverage",2008
20,20,"Bob Sowards",61,1.469,1613,1098,"OverallPuttingAverage",2008
21,21,"Tim Petrovic",97,1.47,2567,1746,"OverallPuttingAverage",2008
22,22,"Kenneth Ferrie",72,1.476,1913,1296,"OverallPuttingAverage",2008
23,23,"Brad Elder",67,1.478,1782,1206,"OverallPuttingAverage",2008
23,23,"Jin Park",85,1.478,2262,1530,"OverallPuttingAverage",2008
23,23,"Travis Perkins",53,1.478,1410,954,"OverallPuttingAverage",2008
26,26,"Tim Wilkinson",95,1.482,2535,1710,"OverallPuttingAverage",2008
