"FedExCupPointsperEventLeaders_RANKTHISWEEK_2011","FedExCupPointsperEventLeaders_RANKLASTWEEK_2011","FedExCupPointsperEventLeaders_PLAYERNAME_2011","FedExCupPointsperEventLeaders_EVENTS_2011","FedExCupPointsperEventLeaders_POINTSPEREVENT_2011","FedExCupPointsperEventLeaders_TOTALPOINTS_2011","stat_name","year"
1,1,"Luke Donald",14,132.548,1855.667,"FedExCupPointsperEventLeaders",2011
2,2,"Steve Stricker",15,124.366,1865.489,"FedExCupPointsperEventLeaders",2011
3,3,"Nick Watney",17,112.11,1905.87,"FedExCupPointsperEventLeaders",2011
4,4,"Adam Scott",14,95.143,1332,"FedExCupPointsperEventLeaders",2011
5,5,"John Cook",1,95,95,"FedExCupPointsperEventLeaders",2011
6,6,"Phil Mickelson",17,94.191,1601.249,"FedExCupPointsperEventLeaders",2011
7,7,"Webb Simpson",20,93.071,1861.416,"FedExCupPointsperEventLeaders",2011
8,8,"Charl Schwartzel",13,91.155,1185.016,"FedExCupPointsperEventLeaders",2011
9,9,"KJ Choi",18,88.948,1601.063,"FedExCupPointsperEventLeaders",2011
10,10,"Bubba Watson",18,87.583,1576.5,"FedExCupPointsperEventLeaders",2011
11,11,"David Toms",18,85.431,1537.75,"FedExCupPointsperEventLeaders",2011
12,12,"Jason Day",17,76.946,1308.083,"FedExCupPointsperEventLeaders",2011
13,13,"Tim Clark",4,74.625,298.5,"FedExCupPointsperEventLeaders",2011
14,14,"Matt Kuchar",19,74.044,1406.843,"FedExCupPointsperEventLeaders",2011
15,15,"Gary Woodland",20,73.31,1466.203,"FedExCupPointsperEventLeaders",2011
16,16,"Dustin Johnson",17,70.059,1191,"FedExCupPointsperEventLeaders",2011
17,17,"Mark Wilson",21,69.57,1460.973,"FedExCupPointsperEventLeaders",2011
18,18,"Keegan Bradley",24,67.533,1620.784,"FedExCupPointsperEventLeaders",2011
19,19,"Aaron Baddeley",18,65.62,1181.167,"FedExCupPointsperEventLeaders",2011
20,20,"Martin Laird",19,64.951,1234.06,"FedExCupPointsperEventLeaders",2011
21,21,"Jason Dufner",19,60.175,1143.333,"FedExCupPointsperEventLeaders",2011
22,22,"Freddie Jacobson",21,58.803,1234.867,"FedExCupPointsperEventLeaders",2011
23,23,"Rory Sabbatini",20,58.739,1174.779,"FedExCupPointsperEventLeaders",2011
24,24,"Brandt Snedeker",21,58.444,1227.333,"FedExCupPointsperEventLeaders",2011
25,25,"Jonathan Byrd",20,58.245,1164.9,"FedExCupPointsperEventLeaders",2011
