"BallStriking_RANKTHISWEEK_2005","BallStriking_RANKLASTWEEK_2005","BallStriking_PLAYERNAME_2005","BallStriking_ROUNDS_2005","BallStriking_VALUE_2005","BallStriking_TOTALDRVRANK_2005","BallStriking_GIRRANK_2005","stat_name","year"
1,1,"Kenny Perry",82,5,2,3,"BallStriking",2005
2,2,"Joe Durant",81,6,4,2,"BallStriking",2005
3,3,"Billy Mayfair",114,19,9,10,"BallStriking",2005
4,4,"Jeff Brehaut",71,20,15,5,"BallStriking",2005
5,5,"Charles Warren",89,21,5,16,"BallStriking",2005
6,6,"David Hearn",68,28,1,27,"BallStriking",2005
6,6,"Roland Thatcher",75,28,19,9,"BallStriking",2005
8,8,"Joey Snyder III",102,29,8,21,"BallStriking",2005
9,9,"Robert Allenby",95,32,21,11,"BallStriking",2005
10,10,"Briny Baird",98,34,22,12,"BallStriking",2005
11,11,"Sergio Garcia",73,39,38,1,"BallStriking",2005
12,12,"John Senden",101,40,10,30,"BallStriking",2005
13,13,"Joey Sindelar",104,42,23,19,"BallStriking",2005
14,14,"Justin Rose",99,45,16,29,"BallStriking",2005
15,15,"Vijay Singh",111,46,42,4,"BallStriking",2005
16,16,"Bart Bryant",91,47,30,17,"BallStriking",2005
17,17,"Bo Van Pelt",112,50,32,18,"BallStriking",2005
18,18,"JJ Henry",102,52,44,8,"BallStriking",2005
18,18,"Richard Johnson",50,52,24,28,"BallStriking",2005
20,20,"Chris Smith",93,57,44,13,"BallStriking",2005
21,21,"Harrison Frazar",105,61,3,58,"BallStriking",2005
22,22,"Lucas Glover",88,62,27,35,"BallStriking",2005
23,23,"DJ Trahan",81,64,33,31,"BallStriking",2005
24,24,"Zach Johnson",96,65,12,53,"BallStriking",2005
25,25,"Sean OHair",103,67,26,41,"BallStriking",2005
26,26,"Tommy Armour III",103,70,44,26,"BallStriking",2005
27,27,"Marco Dawson",82,75,38,37,"BallStriking",2005
27,27,"David Toms",87,75,36,39,"BallStriking",2005
29,29,"Jonathan Kaye",77,77,24,53,"BallStriking",2005
30,30,"Olin Browne",99,79,64,15,"BallStriking",2005
30,30,"Heath Slocum",103,79,56,23,"BallStriking",2005
32,32,"Chad Campbell",95,82,62,20,"BallStriking",2005
33,33,"Craig Barlow",81,86,33,53,"BallStriking",2005
34,34,"Scott Gutschewski",86,87,54,33,"BallStriking",2005
35,35,"John Rollins",97,90,12,78,"BallStriking",2005
36,36,"Tiger Woods",76,92,86,6,"BallStriking",2005
37,37,"Mark Calcavecchia",92,96,20,76,"BallStriking",2005
37,37,"Brett Wetterich",76,96,72,24,"BallStriking",2005
39,39,"JL Lewis",98,99,27,72,"BallStriking",2005
40,40,"Will Ma Kenzie",75,104,11,93,"BallStriking",2005
40,40,"Darron Stiles",78,104,44,60,"BallStriking",2005
42,42,"Kevin Sutherland",89,106,62,44,"BallStriking",2005
43,43,"Stuart Appleby",84,107,59,48,"BallStriking",2005
44,44,"Jim Furyk",94,109,102,7,"BallStriking",2005
44,44,"Mathias Gronberg",60,109,6,103,"BallStriking",2005
44,44,"Geoff Ogilvy",97,109,56,53,"BallStriking",2005
47,47,"Davis Love III",80,110,59,51,"BallStriking",2005
48,48,"Jeff Maggert",79,111,27,84,"BallStriking",2005
48,48,"Scott Verplank",87,111,50,61,"BallStriking",2005
50,50,"Hidemichi Tanaka",106,113,65,48,"BallStriking",2005
51,51,"Bradley Hughes",52,114,7,107,"BallStriking",2005
51,51,"Ted Purdy",122,114,16,98,"BallStriking",2005
53,53,"Vaughn Taylor",99,116,36,80,"BallStriking",2005
54,54,"Brian Davis",75,117,38,79,"BallStriking",2005
55,55,"Greg Owen",84,119,76,43,"BallStriking",2005
56,56,"Hunter Mahan",103,121,69,52,"BallStriking",2005
57,57,"Duffy Waldorf",86,122,58,64,"BallStriking",2005
58,58,"Michael Long",72,123,12,111,"BallStriking",2005
58,58,"Phil Mickelson",81,123,76,47,"BallStriking",2005
60,60,"Kent Jones",99,124,38,86,"BallStriking",2005
61,61,"Alex Cejka",84,125,30,95,"BallStriking",2005
62,62,"Tom Lehman",69,127,93,34,"BallStriking",2005
62,62,"Bob Tway",87,127,91,36,"BallStriking",2005
64,64,"Adam Scott",72,134,94,40,"BallStriking",2005
65,65,"Jason Bohn",91,135,61,74,"BallStriking",2005
66,66,"Arron Oberholser",65,136,86,50,"BallStriking",2005
66,66,"Nick Watney",91,136,68,68,"BallStriking",2005
68,68,"Retief Goosen",71,137,99,38,"BallStriking",2005
68,68,"Rocco Mediate",73,137,50,87,"BallStriking",2005
70,70,"Dan Forsman",52,138,124,14,"BallStriking",2005
71,71,"Luke Donald",67,141,119,22,"BallStriking",2005
71,71,"Steve Elkington",67,141,99,42,"BallStriking",2005
71,71,"Mario Tiziani",67,141,74,67,"BallStriking",2005
74,74,"Doug Barron",70,145,99,46,"BallStriking",2005
75,75,"Fred Couples",72,146,121,25,"BallStriking",2005
76,76,"Brendan Jones",81,147,94,53,"BallStriking",2005
76,76,"Omar Uresti",84,147,88,59,"BallStriking",2005
78,78,"Tjaart van der Walt",56,149,83,66,"BallStriking",2005
79,79,"Jerry Kelly",101,150,80,70,"BallStriking",2005
80,80,"DA Points",94,153,50,103,"BallStriking",2005
81,81,"DJ Brigman",76,154,16,138,"BallStriking",2005
81,81,"Paul Claxton",79,154,44,110,"BallStriking",2005
83,83,"Rod Pampling",89,156,74,82,"BallStriking",2005
84,84,"Fred Funk",102,162,94,68,"BallStriking",2005
85,85,"John Huston",90,165,35,130,"BallStriking",2005
86,86,"Kevin Stadler",96,166,50,116,"BallStriking",2005
87,87,"Brandt Jobe",96,167,82,85,"BallStriking",2005
88,88,"KJ Choi",78,168,44,124,"BallStriking",2005
89,89,"Tim Herron",100,172,76,96,"BallStriking",2005
90,90,"Arjun Atwal",65,173,67,106,"BallStriking",2005
91,91,"Lee Westwood",50,175,42,133,"BallStriking",2005
92,92,"Jeff Sluman",94,176,131,45,"BallStriking",2005
93,93,"Cameron Beckman",96,178,69,109,"BallStriking",2005
94,94,"Ryan Palmer",101,180,91,89,"BallStriking",2005
95,95,"Steve Lowery",100,182,69,113,"BallStriking",2005
96,96,"Carl Pettersson",109,183,110,73,"BallStriking",2005
97,97,"Stephen Leaney",89,189,128,61,"BallStriking",2005
98,98,"Frank Lickliter II",100,190,107,83,"BallStriking",2005
99,99,"Brian Bateman",98,193,76,117,"BallStriking",2005
100,100,"Jonathan Byrd",103,195,80,115,"BallStriking",2005
101,101,"Justin Leonard",78,196,102,94,"BallStriking",2005
101,101,"Phillip Price",77,196,98,98,"BallStriking",2005
101,101,"Jay Williamson",53,196,54,142,"BallStriking",2005
104,104,"Mark Wilson",74,199,124,75,"BallStriking",2005
105,105,"Carlos Franco",78,207,142,65,"BallStriking",2005
105,105,"Glen Hnatiuk",59,207,175,32,"BallStriking",2005
107,107,"Dean Wilson",86,212,131,81,"BallStriking",2005
108,108,"Tag Ridings",93,214,117,97,"BallStriking",2005
109,109,"Brenden Pappas",51,215,107,108,"BallStriking",2005
110,110,"Steve Allan",102,216,88,128,"BallStriking",2005
110,110,"Tom Pernice Jr",111,216,65,151,"BallStriking",2005
112,112,"Tim Clark",92,217,94,123,"BallStriking",2005
112,112,"Charles Howell III",95,217,146,71,"BallStriking",2005
114,114,"Neal Lancaster",95,220,128,92,"BallStriking",2005
115,115,"Robert Damron",89,221,84,137,"BallStriking",2005
115,115,"Mark Hensby",70,221,72,149,"BallStriking",2005
117,117,"Shigeki Maruyama",99,223,135,88,"BallStriking",2005
118,118,"Shaun Micheel",81,224,124,100,"BallStriking",2005
119,119,"Tom Byrum",83,226,121,105,"BallStriking",2005
120,120,"Kirk Triplett",55,228,107,121,"BallStriking",2005
121,121,"Dudley Hart",84,231,170,61,"BallStriking",2005
122,122,"Robert Gamez",91,235,116,119,"BallStriking",2005
122,122,"Tom Gillis",77,235,110,125,"BallStriking",2005
124,124,"Loren Roberts",54,239,150,89,"BallStriking",2005
125,125,"Matt Kuchar",60,240,90,150,"BallStriking",2005
126,126,"Peter Lonard",85,243,121,122,"BallStriking",2005
