"SandSavePercentage_RANKTHISWEEK_2016","SandSavePercentage_RANKLASTWEEK_2016","SandSavePercentage_PLAYERNAME_2016","SandSavePercentage_ROUNDS_2016","SandSavePercentage_Pct_2016","SandSavePercentage_SAVES_2016","SandSavePercentage_BUNKERS_2016","SandSavePercentage_TOTALOUPAR_2016","stat_name","year"
1,1,"David Toms",38,69.39,34,49,15,"SandSavePercentage",2016
2,2,"Justin Rose",35,66.07,37,56,5,"SandSavePercentage",2016
3,2,"Sean OHair",45,65.91,58,88,9,"SandSavePercentage",2016
4,4,"KJ Choi",47,64.13,59,92,27,"SandSavePercentage",2016
5,5,"Mark Wilson",42,64,32,50,14,"SandSavePercentage",2016
6,6,"Jonas Blixt",46,62.07,54,87,11,"SandSavePercentage",2016
7,7,"Robert Allenby",35,61.11,33,54,17,"SandSavePercentage",2016
8,14,"Danny Lee",53,60.44,55,91,24,"SandSavePercentage",2016
9,12,"Jon Curran",55,59.43,63,106,38,"SandSavePercentage",2016
10,10,"Hiroshi Iwata",51,59.22,61,103,38,"SandSavePercentage",2016
11,15,"Matthew Fitzpatrick",23,58.97,23,39,9,"SandSavePercentage",2016
12,16,"Smylie Kaufman",57,58.76,57,97,16,"SandSavePercentage",2016
13,17,"Dicky Pride",33,58.73,37,63,17,"SandSavePercentage",2016
14,18,"Jerry Kelly",44,58.44,45,77,30,"SandSavePercentage",2016
15,20,"Padraig Harrington",38,58.21,39,67,15,"SandSavePercentage",2016
16,13,"Hunter Mahan",43,57.97,40,69,22,"SandSavePercentage",2016
17,19,"Bryce Molder",50,57.95,51,88,27,"SandSavePercentage",2016
18,9,"Stuart Appleby",39,57.81,37,64,20,"SandSavePercentage",2016
19,22,"Tyrone Van Aswegen",67,57.52,65,113,35,"SandSavePercentage",2016
20,27,"Phil Mickelson",37,57.14,40,70,19,"SandSavePercentage",2016
20,23,"Brandt Snedeker",47,57.14,36,63,7,"SandSavePercentage",2016
20,8,"Brendan Steele",48,57.14,36,63,11,"SandSavePercentage",2016
23,23,"Paul Casey",39,56.92,37,65,15,"SandSavePercentage",2016
24,53,"Alex Cejka",47,56.9,33,58,10,"SandSavePercentage",2016
25,46,"Michael Kim",62,56.76,63,111,32,"SandSavePercentage",2016
26,28,"Freddie Jacobson",54,56.67,51,90,40,"SandSavePercentage",2016
27,31,"Chris Kirk",51,56.47,48,85,36,"SandSavePercentage",2016
28,32,"Troy Merritt",41,56.25,36,64,22,"SandSavePercentage",2016
28,32,"Jordan Spieth",34,56.25,27,48,10,"SandSavePercentage",2016
30,35,"John Huh",51,56.18,50,89,22,"SandSavePercentage",2016
31,36,"Branden Grace",31,56.1,23,41,15,"SandSavePercentage",2016
31,36,"Justin Leonard",28,56.1,23,41,15,"SandSavePercentage",2016
33,30,"Martin Laird",46,56,42,75,16,"SandSavePercentage",2016
34,21,"Webb Simpson",34,55.7,44,79,21,"SandSavePercentage",2016
35,39,"Aaron Baddeley",51,55.56,50,90,23,"SandSavePercentage",2016
35,39,"Miguel Angel Carballo",24,55.56,25,45,18,"SandSavePercentage",2016
35,39,"Jason Day",36,55.56,25,45,9,"SandSavePercentage",2016
35,39,"Sergio Garcia",28,55.56,25,45,6,"SandSavePercentage",2016
35,26,"Kyle Reifers",63,55.56,60,108,12,"SandSavePercentage",2016
35,25,"Tim Wilkinson",40,55.56,25,45,10,"SandSavePercentage",2016
41,47,"Russell Henley",42,55.41,41,74,21,"SandSavePercentage",2016
42,39,"Retief Goosen",37,55.38,36,65,19,"SandSavePercentage",2016
43,49,"Brooks Koepka",39,55.36,31,56,18,"SandSavePercentage",2016
44,32,"Patrick Reed",53,55.29,47,85,14,"SandSavePercentage",2016
45,38,"Zac Blair",56,54.95,61,111,33,"SandSavePercentage",2016
46,39,"Rickie Fowler",42,54.9,28,51,14,"SandSavePercentage",2016
47,39,"Brendon Todd",43,54.79,40,73,29,"SandSavePercentage",2016
48,57,"Morgan Hoffmann",43,54.55,42,77,24,"SandSavePercentage",2016
48,29,"Colt Knost",56,54.55,48,88,35,"SandSavePercentage",2016
48,61,"Jamie Lovemark",57,54.55,48,88,17,"SandSavePercentage",2016
48,50,"Justin Thomas",53,54.55,48,88,20,"SandSavePercentage",2016
52,65,"Brendon de Jonge",55,54.26,51,94,26,"SandSavePercentage",2016
53,61,"JB Holmes",39,53.97,34,63,15,"SandSavePercentage",2016
54,88,"Martin Piller",37,53.85,28,52,24,"SandSavePercentage",2016
55,48,"Kevin Kisner",49,53.73,36,67,12,"SandSavePercentage",2016
56,53,"Jamie Donaldson",28,53.7,29,54,9,"SandSavePercentage",2016
57,60,"Luke Donald",49,53.57,45,84,21,"SandSavePercentage",2016
58,64,"Louis Oosthuizen",25,53.49,23,43,9,"SandSavePercentage",2016
59,56,"Cameron Smith",45,53.42,39,73,32,"SandSavePercentage",2016
60,65,"Marc Leishman",41,53.33,32,60,10,"SandSavePercentage",2016
61,59,"Charles Howell III",63,53.19,50,94,27,"SandSavePercentage",2016
61,67,"Pat Perez",28,53.19,25,47,13,"SandSavePercentage",2016
63,51,"Cameron Tringale",47,53.09,43,81,23,"SandSavePercentage",2016
64,68,"Chez Reavie",56,53.06,52,98,30,"SandSavePercentage",2016
65,74,"Tom Hoge",47,53.03,35,66,15,"SandSavePercentage",2016
65,63,"Mark Hubbard",73,53.03,70,132,33,"SandSavePercentage",2016
67,69,"Matt Kuchar",46,52.86,37,70,25,"SandSavePercentage",2016
68,52,"Henrik Stenson",30,52.83,28,53,10,"SandSavePercentage",2016
69,72,"Shane Lowry",35,52.54,31,59,16,"SandSavePercentage",2016
70,86,"Ben Crane",48,52.5,42,80,22,"SandSavePercentage",2016
71,76,"Charley Hoffman",49,52.22,47,90,16,"SandSavePercentage",2016
72,70,"Peter Malnati",53,52.13,49,94,28,"SandSavePercentage",2016
73,78,"Charl Schwartzel",29,52.08,25,48,10,"SandSavePercentage",2016
74,85,"Tyler Aldridge",53,52,39,75,29,"SandSavePercentage",2016
74,80,"Ryan Palmer",46,52,52,100,21,"SandSavePercentage",2016
76,97,"Brian Harman",60,51.92,54,104,40,"SandSavePercentage",2016
77,75,"Chad Campbell",54,51.69,46,89,25,"SandSavePercentage",2016
78,82,"Rory Sabbatini",40,51.65,47,91,35,"SandSavePercentage",2016
79,73,"Patton Kizzire",57,51.56,33,64,13,"SandSavePercentage",2016
80,71,"Shawn Stefani",45,51.32,39,76,27,"SandSavePercentage",2016
81,97,"Luke List",51,51.11,46,90,28,"SandSavePercentage",2016
82,120,"William McGirt",54,51,51,100,25,"SandSavePercentage",2016
83,53,"Ian Poulter",37,50.85,30,59,21,"SandSavePercentage",2016
84,77,"Jason Kokrak",52,50.7,36,71,24,"SandSavePercentage",2016
85,95,"Hudson Swafford",52,50.55,46,91,28,"SandSavePercentage",2016
86,106,"Scott Brown",59,50.42,60,119,50,"SandSavePercentage",2016
87,83,"Byeong Hun An",23,50,16,32,16,"SandSavePercentage",2016
87,94,"Ricky Barnes",57,50,46,92,29,"SandSavePercentage",2016
87,97,"Shane Bertsch",30,50,25,50,17,"SandSavePercentage",2016
87,131,"Steven Bowditch",40,50,39,78,41,"SandSavePercentage",2016
87,97,"Jim Herman",55,50,47,94,26,"SandSavePercentage",2016
87,97,"Zach Johnson",42,50,35,70,20,"SandSavePercentage",2016
87,96,"Sung Kang",51,50,49,98,24,"SandSavePercentage",2016
87,97,"Russell Knox",48,50,33,66,24,"SandSavePercentage",2016
87,92,"Will Ma Kenzie",54,50,42,84,28,"SandSavePercentage",2016
87,128,"Rory McIlroy",37,50,25,50,17,"SandSavePercentage",2016
87,78,"Francesco Molinari",36,50,27,54,20,"SandSavePercentage",2016
87,87,"Adam Scott",39,50,25,50,16,"SandSavePercentage",2016
87,57,"Brian Stuard",24,50,13,26,12,"SandSavePercentage",2016
87,81,"Michael Thompson",46,50,31,62,20,"SandSavePercentage",2016
101,109,"Daniel Berger",52,49.45,45,91,17,"SandSavePercentage",2016
102,97,"Sam Saunders",40,49.43,43,87,19,"SandSavePercentage",2016
103,107,"Kevin Na",52,49.41,42,85,29,"SandSavePercentage",2016
103,107,"Seung Yul Noh",54,49.41,42,85,32,"SandSavePercentage",2016
105,84,"Jhonattan Vegas",49,49.35,38,77,6,"SandSavePercentage",2016
106,123,"Scott Langley",41,49.3,35,71,21,"SandSavePercentage",2016
107,110,"Steve Marino",40,49.28,34,69,29,"SandSavePercentage",2016
108,111,"Ken Duke",26,49.15,29,59,22,"SandSavePercentage",2016
109,89,"Patrick Rodgers",49,49.12,28,57,18,"SandSavePercentage",2016
110,97,"Adam Hadwin",53,48.94,46,94,32,"SandSavePercentage",2016
111,114,"Rhein Gibson",36,48.84,21,43,20,"SandSavePercentage",2016
112,92,"Chad Collins",45,48.81,41,84,35,"SandSavePercentage",2016
113,116,"Andy Sullivan",25,48.65,18,37,9,"SandSavePercentage",2016
