"SpinRate_RANKTHISWEEK_2008","SpinRate_RANKLASTWEEK_2008","SpinRate_PLAYERNAME_2008","SpinRate_ROUNDS_2008","SpinRate_AVG_2008","SpinRate_TOTALSPINSPEED_2008","SpinRate_TOTALATTEMPTS_2008","SpinRate_HIGHESTSPINRATE_2008","SpinRate_LOWESTSPINRATE_2008","stat_name","year"
1,NA,"Carlos Franco",73,3286.1,105156,32,4617,1885,"SpinRate",2008
2,NA,"Jason Allred",63,3156.4,113631,36,4906,2326,"SpinRate",2008
3,NA,"John Senden",93,3117,187017,60,4687,2196,"SpinRate",2008
4,NA,"Chris DiMarco",87,3104.5,204897,66,3681,1735,"SpinRate",2008
5,NA,"Pat Perez",93,3063.1,199100,65,4058,2430,"SpinRate",2008
6,NA,"Woody Austin",109,3023.4,232801,77,4718,1640,"SpinRate",2008
7,NA,"Scott McCarron",63,3019.2,132843,44,3861,2166,"SpinRate",2008
8,NA,"Jonathan Byrd",88,3000.5,210038,70,3735,2077,"SpinRate",2008
9,NA,"Bill Haas",99,2996.4,209745,70,3929,1926,"SpinRate",2008
10,NA,"Kevin Streelman",114,2984.9,226851,76,4897,2183,"SpinRate",2008
11,NA,"Sergio Garcia",72,2984.1,143236,48,3674,1861,"SpinRate",2008
12,NA,"Joe Durant",92,2977,193504,65,3711,1626,"SpinRate",2008
13,NA,"Corey Pavin",69,2969.8,130671,44,4097,2108,"SpinRate",2008
14,NA,"James Driscoll",85,2955.6,177336,60,5041,2044,"SpinRate",2008
15,NA,"Charley Hoffman",94,2939.8,220483,75,4166,2163,"SpinRate",2008
16,NA,"Stephen Leaney",53,2936.2,105704,36,3655,2395,"SpinRate",2008
17,NA,"Nick Watney",96,2927.7,190299,65,3590,2375,"SpinRate",2008
18,NA,"Charles Warren",79,2924.1,172524,59,3573,1975,"SpinRate",2008
19,NA,"Johnson Wagner",83,2920.9,181094,62,3644,2191,"SpinRate",2008
20,NA,"Charles Howell III",101,2919.6,218973,75,3700,2090,"SpinRate",2008
21,NA,"Rocco Mediate",87,2916.7,180836,62,4036,1968,"SpinRate",2008
22,NA,"Marc Turnesa",87,2912.1,177638,61,4209,2006,"SpinRate",2008
23,NA,"Omar Uresti",74,2911.7,151408,52,3487,2069,"SpinRate",2008
24,NA,"John Riegger",73,2911.4,145571,50,4900,1973,"SpinRate",2008
25,NA,"Billy Andrade",71,2898.2,139112,48,3810,2061,"SpinRate",2008
26,NA,"Brett Rumford",72,2897,153542,53,4169,2011,"SpinRate",2008
27,NA,"Aaron Baddeley",76,2892,130141,45,3531,2091,"SpinRate",2008
28,NA,"Ron Whittaker",54,2884.6,106729,37,3783,2125,"SpinRate",2008
29,NA,"Dean Wilson",109,2884.4,207680,72,3681,2089,"SpinRate",2008
30,NA,"Jim Furyk",95,2879.2,218816,76,3496,2136,"SpinRate",2008
31,NA,"Chad Collins",72,2875.9,158173,55,3615,2018,"SpinRate",2008
32,NA,"Parker McLachlin",88,2860.6,171633,60,3585,2155,"SpinRate",2008
33,NA,"Bart Bryant",81,2858.1,160054,56,3593,2014,"SpinRate",2008
34,NA,"John Rollins",94,2857.5,174307,61,3708,1982,"SpinRate",2008
35,NA,"Bob Sowards",61,2852.5,105544,37,3504,1966,"SpinRate",2008
36,NA,"Dudley Hart",74,2840.6,153393,54,3719,1987,"SpinRate",2008
37,NA,"Angel Cabrera",55,2831.4,90604,32,3564,1810,"SpinRate",2008
38,NA,"Kevin Na",97,2829.6,206559,73,3516,1968,"SpinRate",2008
39,NA,"Todd Hamilton",92,2829.1,118824,42,3588,1887,"SpinRate",2008
40,NA,"Troy Matteson",94,2823.1,225846,80,3689,1773,"SpinRate",2008
41,NA,"Frank Lickliter II",107,2822.6,228632,81,3684,2164,"SpinRate",2008
42,NA,"Kent Jones",68,2818.1,123998,44,3648,1805,"SpinRate",2008
43,NA,"Lee Janzen",89,2816.6,166177,59,3628,2132,"SpinRate",2008
44,NA,"Paul Casey",55,2816.2,76037,27,3650,2242,"SpinRate",2008
45,NA,"Padraig Harrington",52,2803.7,70093,25,4052,1674,"SpinRate",2008
46,NA,"Matt Jones",95,2802.9,182187,65,3573,1928,"SpinRate",2008
47,NA,"Ryuji Imada",80,2801.1,154062,55,3584,2163,"SpinRate",2008
48,NA,"Jason Gore",94,2799.8,139992,50,3415,2064,"SpinRate",2008
49,NA,"Zach Johnson",85,2786,183876,66,3753,2065,"SpinRate",2008
50,NA,"Tag Ridings",88,2776.1,149912,54,4480,1846,"SpinRate",2008
51,NA,"Chad Campbell",94,2774.1,244122,88,3582,1985,"SpinRate",2008
52,NA,"Anthony Kim",81,2769.1,160609,58,3534,1928,"SpinRate",2008
53,NA,"Brett Quigley",80,2768.6,157813,57,3521,1783,"SpinRate",2008
54,NA,"Billy Mayfair",103,2767.1,229670,83,3697,1932,"SpinRate",2008
55,NA,"YE Yang",89,2764.7,182471,66,3700,1541,"SpinRate",2008
56,NA,"Chris Riley",51,2761.3,80077,29,3487,1786,"SpinRate",2008
57,NA,"George McNeill",97,2760,204240,74,6296,2015,"SpinRate",2008
58,NA,"Nathan Green",95,2755.4,165323,60,3362,1928,"SpinRate",2008
59,NA,"Brad Elder",67,2754.6,123957,45,3594,1885,"SpinRate",2008
60,NA,"Daniel Chopra",84,2753.9,159725,58,3594,1756,"SpinRate",2008
61,NA,"Charlie Wi",97,2748.8,214409,78,3474,2026,"SpinRate",2008
62,NA,"Will Ma Kenzie",62,2744.7,150958,55,3692,2036,"SpinRate",2008
63,NA,"Mark Calcavecchia",67,2744,109761,40,3694,1616,"SpinRate",2008
64,NA,"Paul Claxton",63,2740.5,115103,42,3553,1766,"SpinRate",2008
65,NA,"Davis Love III",78,2732.9,133910,49,3670,1957,"SpinRate",2008
66,NA,"Lucas Glover",91,2731.9,204889,75,3602,1680,"SpinRate",2008
67,NA,"Brad Adamonis",87,2730.6,166569,61,3664,1742,"SpinRate",2008
68,NA,"Sean OHair",81,2729,161011,59,3681,1958,"SpinRate",2008
69,NA,"KJ Choi",74,2727.9,158219,58,3658,1991,"SpinRate",2008
70,NA,"Michael Allen",91,2727.8,166398,61,3572,1952,"SpinRate",2008
71,NA,"Stephen Ames",83,2724.3,179802,66,3540,1641,"SpinRate",2008
72,NA,"Bob Estes",90,2722.1,179656,66,3465,1825,"SpinRate",2008
73,NA,"Todd Demsey",80,2719.5,144133,53,4956,1836,"SpinRate",2008
74,NA,"Chris Stroud",81,2714.9,143888,53,6316,1646,"SpinRate",2008
75,NA,"Travis Perkins",53,2714.4,65145,24,3935,2097,"SpinRate",2008
76,NA,"Ben Curtis",80,2711.9,151866,56,3618,2088,"SpinRate",2008
77,NA,"Brian Gay",102,2710.5,219547,81,4713,2145,"SpinRate",2008
78,NA,"Steve Flesch",95,2706.8,170528,63,3559,1536,"SpinRate",2008
79,NA,"Boo Weekley",86,2704.7,162282,60,4821,1880,"SpinRate",2008
80,NA,"Bob Tway",70,2701.5,118866,44,3265,2127,"SpinRate",2008
81,NA,"Geoff Ogilvy",65,2700.3,108011,40,3143,1922,"SpinRate",2008
82,NA,"Paul Goydos",78,2696.4,153695,57,3515,2052,"SpinRate",2008
83,NA,"Matt Kuchar",88,2692.2,169608,63,3321,1875,"SpinRate",2008
84,NA,"Martin Laird",98,2691.8,172272,64,3549,1779,"SpinRate",2008
85,NA,"Ryan Palmer",69,2686.4,112830,42,4594,1856,"SpinRate",2008
86,NA,"Richard Johnson",77,2684.7,153027,57,4604,1986,"SpinRate",2008
87,NA,"Alex Cejka",75,2681.6,112627,42,3879,1776,"SpinRate",2008
87,NA,"Freddie Jacobson",78,2681.6,134082,50,3469,2136,"SpinRate",2008
89,NA,"Robert Garrigus",90,2675.2,155164,58,3699,1703,"SpinRate",2008
90,NA,"Justin Leonard",101,2675,195274,73,4406,2068,"SpinRate",2008
91,NA,"Tom Lehman",51,2673.2,96236,36,3686,2139,"SpinRate",2008
92,NA,"Kevin Sutherland",98,2670.7,221664,83,3751,1813,"SpinRate",2008
93,NA,"Olin Browne",77,2669.1,138793,52,4010,2083,"SpinRate",2008
93,NA,"JJ Henry",108,2669.1,213526,80,4804,1787,"SpinRate",2008
95,NA,"Steve Stricker",75,2668.9,138785,52,3349,2110,"SpinRate",2008
96,NA,"Tim Wilkinson",95,2665.6,191921,72,3695,1917,"SpinRate",2008
97,NA,"Jeff Quinney",87,2664.4,151868,57,3640,1817,"SpinRate",2008
98,NA,"Rory Sabbatini",77,2664.1,127875,48,4446,1618,"SpinRate",2008
99,NA,"Mike Weir",88,2663.2,157129,59,3626,2140,"SpinRate",2008
100,NA,"Mathew Goggin",91,2656.3,159378,60,3757,1799,"SpinRate",2008
101,NA,"Tom Pernice Jr",104,2656.1,239051,90,3616,1578,"SpinRate",2008
102,NA,"Jay Williamson",96,2655.3,164631,62,3732,1891,"SpinRate",2008
103,NA,"Stuart Appleby",87,2654.1,151283,57,3574,1981,"SpinRate",2008
104,NA,"Ian Poulter",51,2650.9,87479,33,3266,2165,"SpinRate",2008
105,NA,"Brian Davis",108,2647.7,243588,92,5220,1881,"SpinRate",2008
106,NA,"Marco Dawson",64,2646.9,95290,36,4813,1712,"SpinRate",2008
107,NA,"Trevor Immelman",70,2645.6,119050,45,3680,1707,"SpinRate",2008
108,NA,"Rod Pampling",83,2643.2,148021,56,3614,2043,"SpinRate",2008
