"CareerMoneyLeaders_RANKTHISWEEK_2012","CareerMoneyLeaders_RANKLASTWEEK_2012","CareerMoneyLeaders_PLAYERNAME_2012","CareerMoneyLeaders__2012","CareerMoneyLeaders_MONEY_2012","stat_name","year"
1,1,"Tiger Woods",NA,100950700,"CareerMoneyLeaders",2012
2,2,"Phil Mickelson",NA,67644698,"CareerMoneyLeaders",2012
3,3,"Vijay Singh",NA,67277743,"CareerMoneyLeaders",2012
4,4,"Jim Furyk",NA,52719459,"CareerMoneyLeaders",2012
5,5,"Ernie Els",NA,44771409,"CareerMoneyLeaders",2012
6,6,"Davis Love III",NA,42208476,"CareerMoneyLeaders",2012
7,7,"David Toms",NA,38865778,"CareerMoneyLeaders",2012
8,8,"Steve Stricker",NA,35079561,"CareerMoneyLeaders",2012
9,9,"Justin Leonard",NA,31861400,"CareerMoneyLeaders",2012
10,10,"Kenny Perry",NA,31797536,"CareerMoneyLeaders",2012
11,11,"Stewart Cink",NA,30836995,"CareerMoneyLeaders",2012
12,12,"Sergio Garcia",NA,30582574,"CareerMoneyLeaders",2012
13,13,"Luke Donald",NA,28860433,"CareerMoneyLeaders",2012
14,14,"Adam Scott",NA,28306454,"CareerMoneyLeaders",2012
15,15,"Retief Goosen",NA,27525642,"CareerMoneyLeaders",2012
16,16,"Scott Verplank",NA,27400942,"CareerMoneyLeaders",2012
17,17,"KJ Choi",NA,27373854,"CareerMoneyLeaders",2012
18,18,"Mike Weir",NA,26821949,"CareerMoneyLeaders",2012
19,19,"Stuart Appleby",NA,26757857,"CareerMoneyLeaders",2012
20,20,"Robert Allenby",NA,26408821,"CareerMoneyLeaders",2012
21,21,"Zach Johnson",NA,26277293,"CareerMoneyLeaders",2012
22,22,"Geoff Ogilvy",NA,25738157,"CareerMoneyLeaders",2012
23,23,"Rory Sabbatini",NA,25464837,"CareerMoneyLeaders",2012
24,24,"Mark Calcavecchia",NA,24147827,"CareerMoneyLeaders",2012
25,25,"Jerry Kelly",NA,23845162,"CareerMoneyLeaders",2012
26,26,"Charles Howell III",NA,23748581,"CareerMoneyLeaders",2012
27,27,"Chris DiMarco",NA,22474518,"CareerMoneyLeaders",2012
28,28,"Fred Couples",NA,22276316,"CareerMoneyLeaders",2012
29,29,"Hunter Mahan",NA,21722893,"CareerMoneyLeaders",2012
30,30,"Padraig Harrington",NA,21645813,"CareerMoneyLeaders",2012
31,31,"Tom Lehman",NA,21475800,"CareerMoneyLeaders",2012
32,32,"Chad Campbell",NA,21281217,"CareerMoneyLeaders",2012
33,33,"Justin Rose",NA,21131617,"CareerMoneyLeaders",2012
34,34,"Fred Funk",NA,21097907,"CareerMoneyLeaders",2012
35,35,"Matt Kuchar",NA,20799219,"CareerMoneyLeaders",2012
36,36,"Bob Estes",NA,20610462,"CareerMoneyLeaders",2012
37,37,"Nick Price",NA,20576104,"CareerMoneyLeaders",2012
38,38,"Billy Mayfair",NA,20088234,"CareerMoneyLeaders",2012
39,39,"Tim Clark",NA,19381525,"CareerMoneyLeaders",2012
40,40,"Stephen Ames",NA,19380417,"CareerMoneyLeaders",2012
41,41,"Carl Pettersson",NA,19140522,"CareerMoneyLeaders",2012
42,42,"David Duval",NA,18846173,"CareerMoneyLeaders",2012
43,43,"Nick Watney",NA,18732275,"CareerMoneyLeaders",2012
44,44,"Scott Hoch",NA,18530156,"CareerMoneyLeaders",2012
45,45,"Tim Herron",NA,18266140,"CareerMoneyLeaders",2012
46,46,"Jeff Sluman",NA,18165266,"CareerMoneyLeaders",2012
47,47,"Steve Flesch",NA,18030350,"CareerMoneyLeaders",2012
48,48,"Jeff Maggert",NA,17982079,"CareerMoneyLeaders",2012
49,49,"Bo Van Pelt",NA,17892037,"CareerMoneyLeaders",2012
50,50,"Brad Faxon",NA,17769249,"CareerMoneyLeaders",2012
51,51,"Ben Crane",NA,16979826,"CareerMoneyLeaders",2012
52,52,"Bubba Watson",NA,16959642,"CareerMoneyLeaders",2012
53,53,"Dustin Johnson",NA,16944699,"CareerMoneyLeaders",2012
54,54,"Rocco Mediate",NA,16792617,"CareerMoneyLeaders",2012
55,55,"Sean OHair",NA,16704413,"CareerMoneyLeaders",2012
56,56,"John Rollins",NA,16644235,"CareerMoneyLeaders",2012
57,57,"Jonathan Byrd",NA,16485338,"CareerMoneyLeaders",2012
58,58,"Brandt Snedeker",NA,16098223,"CareerMoneyLeaders",2012
59,59,"Corey Pavin",NA,16021370,"CareerMoneyLeaders",2012
60,60,"Lee Janzen",NA,15907711,"CareerMoneyLeaders",2012
61,61,"Bob Tway",NA,15785815,"CareerMoneyLeaders",2012
62,62,"Brian Gay",NA,15763981,"CareerMoneyLeaders",2012
63,63,"Woody Austin",NA,15690734,"CareerMoneyLeaders",2012
64,64,"Steve Elkington",NA,15505418,"CareerMoneyLeaders",2012
65,65,"Kevin Sutherland",NA,15435073,"CareerMoneyLeaders",2012
66,66,"John Senden",NA,15344138,"CareerMoneyLeaders",2012
67,67,"Aaron Baddeley",NA,15313911,"CareerMoneyLeaders",2012
68,68,"Hal Sutton",NA,15267685,"CareerMoneyLeaders",2012
69,69,"Jesper Parnevik",NA,15265141,"CareerMoneyLeaders",2012
70,70,"Loren Roberts",NA,15154767,"CareerMoneyLeaders",2012
71,71,"Heath Slocum",NA,15124760,"CareerMoneyLeaders",2012
72,72,"Steve Lowery",NA,15121961,"CareerMoneyLeaders",2012
73,73,"Lucas Glover",NA,14974985,"CareerMoneyLeaders",2012
74,74,"John Huston",NA,14967146,"CareerMoneyLeaders",2012
75,75,"Tom Pernice Jr",NA,14950594,"CareerMoneyLeaders",2012
76,76,"Camilo Villegas",NA,14850148,"CareerMoneyLeaders",2012
77,77,"Greg Norman",NA,14484458,"CareerMoneyLeaders",2012
78,78,"Paul Azinger",NA,14467496,"CareerMoneyLeaders",2012
79,79,"Jay Haas",NA,14440317,"CareerMoneyLeaders",2012
80,80,"Mark OMeara",NA,14169805,"CareerMoneyLeaders",2012
81,81,"Bill Haas",NA,14099394,"CareerMoneyLeaders",2012
82,82,"Kirk Triplett",NA,14096656,"CareerMoneyLeaders",2012
83,83,"Ryan Moore",NA,13977713,"CareerMoneyLeaders",2012
84,84,"Shigeki Maruyama",NA,13809170,"CareerMoneyLeaders",2012
85,85,"Joe Durant",NA,13780136,"CareerMoneyLeaders",2012
