"TotalPutting_RANKTHISWEEK_2007","TotalPutting_RANKLASTWEEK_2007","TotalPutting_PLAYERNAME_2007","TotalPutting_EVENTS_2007","TotalPutting_TOTAL_2007","stat_name","year"
1,1,"Tim Clark",19,44.4,"TotalPutting",2007
2,2,"Jesper Parnevik",27,51.7,"TotalPutting",2007
3,3,"Brandt Snedeker",29,71.4,"TotalPutting",2007
4,4,"Dean Wilson",28,81.8,"TotalPutting",2007
5,5,"Rory Sabbatini",23,85,"TotalPutting",2007
6,6,"Craig Lile",24,85.9,"TotalPutting",2007
7,7,"Chris Tidland",21,87.2,"TotalPutting",2007
8,8,"Aaron Baddeley",23,87.9,"TotalPutting",2007
9,9,"Arron Oberholser",21,88.6,"TotalPutting",2007
10,10,"Freddie Jacobson",20,89.7,"TotalPutting",2007
11,11,"Richard Johnson",32,93.2,"TotalPutting",2007
12,12,"KJ Choi",25,94.5,"TotalPutting",2007
13,13,"Brian Gay",32,98.4,"TotalPutting",2007
14,14,"Tiger Woods",16,98.7,"TotalPutting",2007
15,15,"Zach Johnson",23,100.8,"TotalPutting",2007
16,16,"Steve Elkington",25,106.3,"TotalPutting",2007
17,17,"Tag Ridings",18,107,"TotalPutting",2007
18,18,"Nathan Green",29,109.1,"TotalPutting",2007
19,19,"George McNeill",30,112.1,"TotalPutting",2007
20,20,"Gavin Coles",28,113,"TotalPutting",2007
21,21,"Kevin Na",27,113.2,"TotalPutting",2007
22,22,"Tripp Isenhour",32,114.9,"TotalPutting",2007
23,23,"Ryuji Imada",32,115.2,"TotalPutting",2007
24,24,"Steve Stricker",23,117.9,"TotalPutting",2007
25,25,"Stephen Ames",23,118.3,"TotalPutting",2007
26,26,"Joe Ogilvie",31,120.8,"TotalPutting",2007
27,27,"Jay Williamson",14,123.7,"TotalPutting",2007
28,28,"Stewart Cink",25,127.5,"TotalPutting",2007
29,29,"Charlie Wi",27,129.5,"TotalPutting",2007
30,30,"Paul Goydos",19,129.8,"TotalPutting",2007
31,31,"Carl Pettersson",31,130.3,"TotalPutting",2007
32,32,"Jose Maria Olazabal",16,130.6,"TotalPutting",2007
33,33,"Charles Howell III",26,134.8,"TotalPutting",2007
34,34,"Bob Estes",28,135.8,"TotalPutting",2007
35,35,"Ryan Palmer",30,137.2,"TotalPutting",2007
36,36,"Dicky Pride",25,137.4,"TotalPutting",2007
37,37,"Bo Van Pelt",30,138.8,"TotalPutting",2007
38,38,"Jonathan Byrd",23,140.1,"TotalPutting",2007
39,39,"Parker McLachlin",28,141.6,"TotalPutting",2007
40,40,"Fred Funk",22,147,"TotalPutting",2007
41,41,"Cliff Kresge",30,147.8,"TotalPutting",2007
41,41,"Phil Mickelson",22,147.8,"TotalPutting",2007
43,43,"Stephen Leaney",26,149.9,"TotalPutting",2007
44,44,"Bob Heintz",27,150,"TotalPutting",2007
44,44,"Bob Tway",32,150,"TotalPutting",2007
46,46,"Bryce Molder",21,152.2,"TotalPutting",2007
47,47,"Rich Barcelo",26,152.7,"TotalPutting",2007
48,48,"Shigeki Maruyama",31,154.9,"TotalPutting",2007
49,49,"Charley Hoffman",30,155.2,"TotalPutting",2007
50,50,"Lucas Glover",29,155.4,"TotalPutting",2007
51,51,"Michael Sim",17,158.7,"TotalPutting",2007
52,52,"Mark Hensby",25,158.8,"TotalPutting",2007
53,53,"Heath Slocum",28,162,"TotalPutting",2007
54,54,"Henrik Stenson",15,162.8,"TotalPutting",2007
55,55,"David Toms",22,163.4,"TotalPutting",2007
56,56,"Daniel Chopra",34,163.6,"TotalPutting",2007
57,57,"Troy Matteson",26,166.8,"TotalPutting",2007
58,58,"Craig Bowden",25,168.8,"TotalPutting",2007
59,59,"Luke Donald",20,172.4,"TotalPutting",2007
60,60,"Hunter Mahan",27,175.5,"TotalPutting",2007
61,61,"Steve Allan",18,179.5,"TotalPutting",2007
62,62,"Tim Herron",27,181.6,"TotalPutting",2007
63,63,"Matt Kuchar",26,182.7,"TotalPutting",2007
64,64,"Frank Lickliter II",30,183.2,"TotalPutting",2007
65,65,"Vaughn Taylor",28,184.1,"TotalPutting",2007
66,66,"John Rollins",29,184.3,"TotalPutting",2007
67,67,"Tim Petrovic",32,186.3,"TotalPutting",2007
68,68,"Tom Pernice Jr",31,186.4,"TotalPutting",2007
69,69,"Bart Bryant",25,187.8,"TotalPutting",2007
70,70,"Sergio Garcia",19,189.8,"TotalPutting",2007
70,70,"Doug LaBelle II",33,189.8,"TotalPutting",2007
72,72,"Chris Riley",17,189.9,"TotalPutting",2007
73,73,"Tom Byrum",20,195.8,"TotalPutting",2007
74,74,"Brian Davis",28,196.7,"TotalPutting",2007
75,75,"JJ Henry",26,198.7,"TotalPutting",2007
76,76,"Michael Boyd",21,199.5,"TotalPutting",2007
77,77,"Padraig Harrington",18,199.7,"TotalPutting",2007
78,78,"Sean OHair",28,200.5,"TotalPutting",2007
79,79,"Glen Day",27,201.8,"TotalPutting",2007
80,80,"Jeff Overton",19,202.8,"TotalPutting",2007
81,81,"Paul Gow",26,203,"TotalPutting",2007
81,81,"Adam Scott",19,203,"TotalPutting",2007
83,83,"Eric Axley",36,203.6,"TotalPutting",2007
84,84,"Todd Hamilton",28,204.3,"TotalPutting",2007
84,84,"Jeff Maggert",26,204.3,"TotalPutting",2007
86,86,"Jason Gore",27,204.5,"TotalPutting",2007
87,87,"Jarrod Lyle",24,204.8,"TotalPutting",2007
88,88,"Duffy Waldorf",23,206.6,"TotalPutting",2007
89,89,"Kevin Sutherland",25,207.6,"TotalPutting",2007
90,90,"Jeff Quinney",29,208.1,"TotalPutting",2007
90,90,"Justin Rose",16,208.1,"TotalPutting",2007
