"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2005","stat_name","year"
53,53,"DJ Brigman",76,52.57,58514.9,111309,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
54,54,"Greg Owen",84,52.56,72325.4,137606,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
55,55,"Mark Hensby",70,52.55,45608,86782,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
55,55,"Lee Westwood",50,52.55,28485.9,54203,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
57,57,"Hunter Mahan",103,52.54,89038,169480,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
58,58,"Jesper Parnevik",84,52.48,65253,124332,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
58,58,"Pat Perez",89,52.48,68322.6,130197,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
60,60,"Rod Pampling",89,52.46,64797.2,123527,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
61,61,"Justin Rose",99,52.43,86988.3,165910,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
62,62,"Marco Dawson",82,52.4,79884.6,152456,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
63,63,"Jonathan Kaye",77,52.39,63510.6,121237,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
64,64,"John Senden",101,52.36,88137.4,168319,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
65,65,"Steve Lowery",100,52.35,87657.4,167451,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
