"MoneyLeadersFallSeries_RANKTHISWEEK_2009","MoneyLeadersFallSeries_RANKLASTWEEK_2009","MoneyLeadersFallSeries_PLAYERNAME_2009","MoneyLeadersFallSeries_EVENTS_2009","MoneyLeadersFallSeries_MONEY_2009","MoneyLeadersFallSeries_YTDVICTORIES_2009","stat_name","year"
68,68,"Rocco Mediate",22,78100,7000,"MoneyLeadersFallSeries",2009
68,68,"Pat Perez",22,78100,7000,"MoneyLeadersFallSeries",2009
70,70,"Brandt Snedeker",26,75487,7000,"MoneyLeadersFallSeries",2009
71,71,"Johnson Wagner",26,73278,10000,"MoneyLeadersFallSeries",2009
72,72,"Joe Ogilvie",29,72850,2000,"MoneyLeadersFallSeries",2009
73,73,"Chez Reavie",27,72490,11000,"MoneyLeadersFallSeries",2009
74,74,"Hunter Mahan",25,71400,10000,"MoneyLeadersFallSeries",2009
75,75,"Rich Beem",26,66298,10000,"MoneyLeadersFallSeries",2009
76,76,"Spencer Levin",25,65275,9000,"MoneyLeadersFallSeries",2009
77,77,"Aaron Baddeley",23,54950,9000,"MoneyLeadersFallSeries",2009
78,78,"Michael Allen",22,51900,8000,"MoneyLeadersFallSeries",2009
78,78,"Kevin Stadler",20,51900,7000,"MoneyLeadersFallSeries",2009
80,80,"Steve Elkington",23,50525,8000,"MoneyLeadersFallSeries",2009
81,81,"Ted Purdy",30,50215,11000,"MoneyLeadersFallSeries",2009
82,82,"Nathan Green",30,49684,7000,"MoneyLeadersFallSeries",2009
83,83,"Brian Gay",27,48849,10000,"MoneyLeadersFallSeries",2009
84,84,"Colt Knost",24,48200,9000,"MoneyLeadersFallSeries",2009
85,85,"Brett Quigley",28,45676,5000,"MoneyLeadersFallSeries",2009
86,86,"Mark Wilson",28,42325,7000,"MoneyLeadersFallSeries",2009
87,87,"Jeff Maggert",28,40067,11000,"MoneyLeadersFallSeries",2009
87,87,"John Rollins",27,40067,7000,"MoneyLeadersFallSeries",2009
89,89,"Daniel Chopra",28,40028,5000,"MoneyLeadersFallSeries",2009
90,90,"JJ Henry",28,39436,5000,"MoneyLeadersFallSeries",2009
91,91,"Michael Bradley",17,38640,6000,"MoneyLeadersFallSeries",2009
92,92,"Billy Mayfair",28,38290,11000,"MoneyLeadersFallSeries",2009
93,93,"Corey Pavin",23,38151,9000,"MoneyLeadersFallSeries",2009
94,94,"Ben Curtis",18,38150,8000,"MoneyLeadersFallSeries",2009
94,94,"Dustin Johnson",25,38150,10000,"MoneyLeadersFallSeries",2009
96,96,"David Toms",27,38144,10000,"MoneyLeadersFallSeries",2009
97,97,"Roland Thatcher",16,37810,5000,"MoneyLeadersFallSeries",2009
