"StrokesGainedPutting_RANKTHISWEEK_2016","StrokesGainedPutting_RANKLASTWEEK_2016","StrokesGainedPutting_PLAYERNAME_2016","StrokesGainedPutting_ROUNDS_2016","StrokesGainedPutting_AVERAGE_2016","StrokesGainedPutting_TOTALPUTTSGAINED_2016","StrokesGainedPutting_MEASUREDROUNDS_2016","stat_name","year"
1,1,"Steve Stricker",25,1.065,22.361,21,"StrokesGainedPutting",2016
2,3,"Jason Day",36,0.931,20.487,22,"StrokesGainedPutting",2016
3,10,"Phil Mickelson",37,0.892,24.088,27,"StrokesGainedPutting",2016
4,4,"Jamie Donaldson",28,0.821,17.238,21,"StrokesGainedPutting",2016
5,7,"Brian Harman",60,0.811,38.119,47,"StrokesGainedPutting",2016
6,5,"Patton Kizzire",57,0.798,35.104,44,"StrokesGainedPutting",2016
7,2,"Brian Stuard",24,0.781,14.053,18,"StrokesGainedPutting",2016
8,8,"Adam Hadwin",53,0.74,34.793,47,"StrokesGainedPutting",2016
9,6,"Aaron Baddeley",51,0.707,25.452,36,"StrokesGainedPutting",2016
10,35,"Tim Wilkinson",40,0.658,17.098,26,"StrokesGainedPutting",2016
11,13,"Jonas Blixt",46,0.62,22.957,37,"StrokesGainedPutting",2016
12,9,"Johnson Wagner",44,0.618,21.01,34,"StrokesGainedPutting",2016
13,24,"Daniel Summerhays",55,0.579,24.905,43,"StrokesGainedPutting",2016
14,11,"Kelly Kraft",35,0.572,11.445,20,"StrokesGainedPutting",2016
15,16,"Russell Henley",42,0.555,20.517,37,"StrokesGainedPutting",2016
16,23,"Hunter Mahan",43,0.553,17.147,31,"StrokesGainedPutting",2016
17,17,"Andrew Landry",24,0.547,6.56,12,"StrokesGainedPutting",2016
18,12,"Peter Malnati",53,0.545,22.878,42,"StrokesGainedPutting",2016
19,25,"Andrew Loupe",50,0.543,22.249,41,"StrokesGainedPutting",2016
20,18,"Jordan Spieth",34,0.54,10.791,20,"StrokesGainedPutting",2016
21,19,"Dustin Johnson",37,0.524,10.478,20,"StrokesGainedPutting",2016
21,27,"Brendon Todd",43,0.524,17.831,34,"StrokesGainedPutting",2016
23,22,"Rickie Fowler",42,0.522,16.719,32,"StrokesGainedPutting",2016
24,20,"Martin Piller",37,0.505,13.139,26,"StrokesGainedPutting",2016
25,26,"Marc Leishman",41,0.478,11.956,25,"StrokesGainedPutting",2016
