"Total3Putts1015_RANKTHISWEEK_2005","Total3Putts1015_RANKLASTWEEK_2005","Total3Putts1015_PLAYERNAME_2005","Total3Putts1015_ROUNDS_2005","Total3Putts1015_TOTAL3PUTTS1015_2005","Total3Putts1015_TOTAL3PUTTS_2005","stat_name","year"
1,1,"DJ Brigman",76,8,55,"Total3Putts1015",2005
1,1,"Billy Mayfair",114,8,64,"Total3Putts1015",2005
3,3,"Brian Bateman",98,7,45,"Total3Putts1015",2005
3,3,"Tim Clark",92,7,32,"Total3Putts1015",2005
3,3,"John Huston",90,7,49,"Total3Putts1015",2005
3,3,"Brandt Jobe",96,7,43,"Total3Putts1015",2005
3,3,"Michael Long",72,7,35,"Total3Putts1015",2005
8,8,"Carlos Franco",78,6,48,"Total3Putts1015",2005
8,8,"Scott Hend",75,6,63,"Total3Putts1015",2005
8,8,"Will Ma Kenzie",75,6,58,"Total3Putts1015",2005
8,8,"DA Points",94,6,52,"Total3Putts1015",2005
8,8,"Roland Thatcher",75,6,64,"Total3Putts1015",2005
13,13,"Robert Allenby",95,5,45,"Total3Putts1015",2005
13,13,"Woody Austin",100,5,59,"Total3Putts1015",2005
13,13,"Jonathan Byrd",103,5,61,"Total3Putts1015",2005
13,13,"Paul Gow",78,5,42,"Total3Putts1015",2005
13,13,"Sean OHair",103,5,56,"Total3Putts1015",2005
13,13,"Joe Ogilvie",103,5,44,"Total3Putts1015",2005
13,13,"Brett Quigley",96,5,37,"Total3Putts1015",2005
20,20,"Briny Baird",98,4,52,"Total3Putts1015",2005
20,20,"Cameron Beckman",96,4,51,"Total3Putts1015",2005
20,20,"Gavin Coles",70,4,30,"Total3Putts1015",2005
20,20,"Robert Damron",89,4,46,"Total3Putts1015",2005
20,20,"Fred Funk",102,4,42,"Total3Putts1015",2005
20,20,"Charles Howell III",95,4,37,"Total3Putts1015",2005
20,20,"Kenny Perry",82,4,45,"Total3Putts1015",2005
20,20,"Tag Ridings",93,4,44,"Total3Putts1015",2005
20,20,"Justin Rose",99,4,54,"Total3Putts1015",2005
20,20,"Darron Stiles",78,4,42,"Total3Putts1015",2005
20,20,"Charles Warren",89,4,54,"Total3Putts1015",2005
31,31,"Alex Cejka",84,3,47,"Total3Putts1015",2005
31,31,"Daniel Chopra",108,3,50,"Total3Putts1015",2005
31,31,"Jose Coceres",56,3,40,"Total3Putts1015",2005
31,31,"Brian Davis",75,3,54,"Total3Putts1015",2005
31,31,"Harrison Frazar",105,3,49,"Total3Putts1015",2005
31,31,"Robert Gamez",91,3,39,"Total3Putts1015",2005
31,31,"Sergio Garcia",73,3,39,"Total3Putts1015",2005
31,31,"Brian Gay",101,3,35,"Total3Putts1015",2005
31,31,"Hunter Haas",83,3,36,"Total3Putts1015",2005
31,31,"Bob Heintz",67,3,34,"Total3Putts1015",2005
31,31,"Freddie Jacobson",72,3,26,"Total3Putts1015",2005
31,31,"Kent Jones",99,3,47,"Total3Putts1015",2005
31,31,"Brendan Jones",81,3,52,"Total3Putts1015",2005
31,31,"Hank Kuehne",84,3,42,"Total3Putts1015",2005
31,31,"JL Lewis",98,3,46,"Total3Putts1015",2005
31,31,"Frank Lickliter II",100,3,52,"Total3Putts1015",2005
31,31,"Steve Lowery",100,3,47,"Total3Putts1015",2005
31,31,"Jeff Maggert",79,3,38,"Total3Putts1015",2005
31,31,"Shaun Micheel",81,3,37,"Total3Putts1015",2005
31,31,"Pat Perez",89,3,47,"Total3Putts1015",2005
31,31,"Kevin Stadler",96,3,51,"Total3Putts1015",2005
31,31,"Steve Stricker",62,3,21,"Total3Putts1015",2005
31,31,"Brett Wetterich",76,3,50,"Total3Putts1015",2005
54,54,"Michael Allen",90,2,33,"Total3Putts1015",2005
54,54,"Tommy Armour III",103,2,51,"Total3Putts1015",2005
54,54,"Danny Briggs",70,2,43,"Total3Putts1015",2005
54,54,"Mark Brooks",72,2,32,"Total3Putts1015",2005
54,54,"Olin Browne",99,2,31,"Total3Putts1015",2005
54,54,"Bart Bryant",91,2,36,"Total3Putts1015",2005
54,54,"Tom Byrum",83,2,41,"Total3Putts1015",2005
54,54,"Jim Carter",62,2,29,"Total3Putts1015",2005
54,54,"Paul Claxton",79,2,35,"Total3Putts1015",2005
54,54,"Fred Couples",72,2,29,"Total3Putts1015",2005
54,54,"John Daly",78,2,32,"Total3Putts1015",2005
54,54,"Matt Davidson",53,2,43,"Total3Putts1015",2005
54,54,"Joe Durant",81,2,62,"Total3Putts1015",2005
54,54,"Matt Gogel",78,2,27,"Total3Putts1015",2005
54,54,"Todd Hamilton",94,2,32,"Total3Putts1015",2005
54,54,"Padraig Harrington",50,2,19,"Total3Putts1015",2005
54,54,"Jeff Hart",63,2,37,"Total3Putts1015",2005
54,54,"Dudley Hart",84,2,34,"Total3Putts1015",2005
54,54,"JP Hayes",63,2,27,"Total3Putts1015",2005
54,54,"Mark Hensby",70,2,30,"Total3Putts1015",2005
54,54,"Bradley Hughes",52,2,36,"Total3Putts1015",2005
54,54,"Lee Janzen",75,2,40,"Total3Putts1015",2005
54,54,"Zach Johnson",96,2,37,"Total3Putts1015",2005
54,54,"Richard Johnson",50,2,24,"Total3Putts1015",2005
54,54,"Skip Kendall",80,2,39,"Total3Putts1015",2005
54,54,"Franklin Langham",91,2,35,"Total3Putts1015",2005
54,54,"Stephen Leaney",89,2,46,"Total3Putts1015",2005
54,54,"Thomas Levet",54,2,37,"Total3Putts1015",2005
54,54,"Davis Love III",80,2,33,"Total3Putts1015",2005
54,54,"Hunter Mahan",103,2,42,"Total3Putts1015",2005
54,54,"Len Mattiace",86,2,39,"Total3Putts1015",2005
54,54,"Mark OMeara",66,2,23,"Total3Putts1015",2005
54,54,"Dennis Paulson",63,2,33,"Total3Putts1015",2005
54,54,"Tom Pernice Jr",111,2,35,"Total3Putts1015",2005
54,54,"Carl Pettersson",109,2,43,"Total3Putts1015",2005
54,54,"Ted Purdy",122,2,67,"Total3Putts1015",2005
54,54,"Rob Rashell",65,2,25,"Total3Putts1015",2005
54,54,"Rory Sabbatini",81,2,38,"Total3Putts1015",2005
54,54,"Vaughn Taylor",99,2,52,"Total3Putts1015",2005
54,54,"Mario Tiziani",67,2,30,"Total3Putts1015",2005
54,54,"Tjaart van der Walt",56,2,33,"Total3Putts1015",2005
54,54,"Scott Verplank",87,2,31,"Total3Putts1015",2005
54,54,"Mike Weir",71,2,27,"Total3Putts1015",2005
54,54,"Lee Westwood",50,2,23,"Total3Putts1015",2005
54,54,"Jay Williamson",53,2,27,"Total3Putts1015",2005
54,54,"Dean Wilson",86,2,31,"Total3Putts1015",2005
54,54,"Mark Wilson",74,2,34,"Total3Putts1015",2005
101,101,"Steve Allan",102,1,79,"Total3Putts1015",2005
101,101,"Jason Allred",75,1,39,"Total3Putts1015",2005
101,101,"Stephen Ames",82,1,29,"Total3Putts1015",2005
101,101,"Chris Anderson",66,1,26,"Total3Putts1015",2005
101,101,"Billy Andrade",83,1,37,"Total3Putts1015",2005
101,101,"Arjun Atwal",65,1,22,"Total3Putts1015",2005
101,101,"Paul Azinger",66,1,27,"Total3Putts1015",2005
101,101,"Aaron Baddeley",84,1,33,"Total3Putts1015",2005
101,101,"Craig Barlow",81,1,41,"Total3Putts1015",2005
101,101,"Doug Barron",70,1,26,"Total3Putts1015",2005
101,101,"Rich Beem",66,1,29,"Total3Putts1015",2005
101,101,"Jason Bohn",91,1,33,"Total3Putts1015",2005
101,101,"Justin Bolli",65,1,22,"Total3Putts1015",2005
101,101,"Mark Calcavecchia",92,1,45,"Total3Putts1015",2005
101,101,"Chad Campbell",95,1,41,"Total3Putts1015",2005
101,101,"KJ Choi",78,1,25,"Total3Putts1015",2005
101,101,"Stewart Cink",98,1,19,"Total3Putts1015",2005
