"Total1PuttsInside5_RANKTHISWEEK_2006","Total1PuttsInside5_RANKLASTWEEK_2006","Total1PuttsInside5_PLAYERNAME_2006","Total1PuttsInside5_ROUNDS_2006","Total1PuttsInside5_TOTAL_2006","Total1PuttsInside5_TOTALFORALLDISTANCES_2006","Total1PuttsInside5_PCTOFALL1PUTTS_2006","stat_name","year"
1,1,"Steve Flesch",119,383,737,52,"Total1PuttsInside5",2006
2,2,"Brian Gay",107,380,777,48.9,"Total1PuttsInside5",2006
3,3,"Woody Austin",107,358,688,52,"Total1PuttsInside5",2006
4,4,"Daniel Chopra",110,348,690,50.4,"Total1PuttsInside5",2006
5,5,"Nathan Green",108,344,714,48.2,"Total1PuttsInside5",2006
6,6,"Bill Haas",99,342,608,56.3,"Total1PuttsInside5",2006
7,7,"Dean Wilson",115,341,682,50,"Total1PuttsInside5",2006
8,8,"Henrik Bjornstad",97,334,629,53.1,"Total1PuttsInside5",2006
8,8,"Patrick Sheehan",104,334,602,55.5,"Total1PuttsInside5",2006
8,8,"Vijay Singh",103,334,617,54.1,"Total1PuttsInside5",2006
11,11,"Todd Fischer",101,332,657,50.5,"Total1PuttsInside5",2006
11,11,"Tag Ridings",103,332,658,50.5,"Total1PuttsInside5",2006
13,13,"Joe Durant",101,330,631,52.3,"Total1PuttsInside5",2006
13,13,"Tom Pernice Jr",108,330,661,49.9,"Total1PuttsInside5",2006
15,15,"Shane Bertsch",104,328,646,50.8,"Total1PuttsInside5",2006
16,16,"Nick Watney",97,322,612,52.6,"Total1PuttsInside5",2006
17,17,"Ryuji Imada",105,319,614,52,"Total1PuttsInside5",2006
17,17,"Brett Quigley",109,319,675,47.3,"Total1PuttsInside5",2006
19,19,"Charley Hoffman",100,316,623,50.7,"Total1PuttsInside5",2006
20,20,"Bo Van Pelt",102,314,619,50.7,"Total1PuttsInside5",2006
21,21,"Jason Bohn",104,313,606,51.7,"Total1PuttsInside5",2006
22,22,"Steve Lowery",99,312,576,54.2,"Total1PuttsInside5",2006
23,23,"Robert Damron",91,311,589,52.8,"Total1PuttsInside5",2006
24,24,"Brent Geiberger",99,310,636,48.7,"Total1PuttsInside5",2006
