"CarryEfficiency_RANKTHISWEEK_2008","CarryEfficiency_RANKLASTWEEK_2008","CarryEfficiency_PLAYERNAME_2008","CarryEfficiency_ROUNDS_2008","CarryEfficiency_AVG_2008","CarryEfficiency_AVERAGECARRYDISTYARDS_2008","CarryEfficiency_AVERAGECLUBHEADSPEED_2008","CarryEfficiency_TOTALATTEMPTS_2008","CarryEfficiency_HIGHESTCARRYEFFICIENCY_2008","stat_name","year"
1,NA,"Angel Cabrera",55,2.494,301.6,120.926,28,2.757,"CarryEfficiency",2008
2,NA,"Robert Garrigus",90,2.485,301.5,121.333,62,2.782,"CarryEfficiency",2008
3,NA,"Vijay Singh",82,2.482,287.9,115.998,56,2.794,"CarryEfficiency",2008
4,NA,"Mark Wilson",107,2.479,270,108.903,102,2.74,"CarryEfficiency",2008
5,NA,"Brenden Pappas",66,2.467,280.9,113.894,38,2.728,"CarryEfficiency",2008
6,NA,"JB Holmes",86,2.463,307.9,124.998,41,2.743,"CarryEfficiency",2008
7,NA,"Ryan Palmer",69,2.462,281.8,114.467,36,2.745,"CarryEfficiency",2008
8,NA,"Justin Bolli",87,2.456,269.6,109.786,67,2.701,"CarryEfficiency",2008
9,NA,"Charley Hoffman",94,2.455,290.6,118.363,83,2.826,"CarryEfficiency",2008
9,NA,"Brandt Snedeker",85,2.455,267.2,108.843,65,2.704,"CarryEfficiency",2008
11,NA,"Steve Marino",119,2.452,275.2,112.252,82,2.694,"CarryEfficiency",2008
11,NA,"Geoff Ogilvy",65,2.452,281,114.602,44,2.717,"CarryEfficiency",2008
11,NA,"Steve Stricker",75,2.452,276.8,112.869,50,2.783,"CarryEfficiency",2008
14,NA,"Nicholas Thompson",113,2.451,280,114.237,79,2.754,"CarryEfficiency",2008
15,NA,"Anthony Kim",81,2.45,288.6,117.786,62,2.745,"CarryEfficiency",2008
16,NA,"Hunter Mahan",87,2.449,275,112.311,66,2.733,"CarryEfficiency",2008
17,NA,"Harrison Frazar",73,2.447,286.2,116.976,45,2.649,"CarryEfficiency",2008
17,NA,"George McNeill",97,2.447,288.6,117.959,80,2.721,"CarryEfficiency",2008
17,NA,"Andres Romero",69,2.447,285,116.447,39,2.699,"CarryEfficiency",2008
17,NA,"Kevin Sutherland",98,2.447,276.5,112.961,79,2.79,"CarryEfficiency",2008
21,NA,"Joe Ogilvie",100,2.444,270.4,110.637,78,2.731,"CarryEfficiency",2008
22,NA,"Stewart Cink",87,2.443,283.5,116.046,48,2.733,"CarryEfficiency",2008
22,NA,"Jeff Gove",50,2.443,266.9,109.255,36,2.697,"CarryEfficiency",2008
22,NA,"Chez Reavie",102,2.443,261.6,107.063,88,2.872,"CarryEfficiency",2008
25,NA,"Jason Gore",94,2.44,285.4,116.984,52,2.762,"CarryEfficiency",2008
26,NA,"Billy Mayfair",103,2.438,264.8,108.64,87,2.7,"CarryEfficiency",2008
26,NA,"Charles Warren",79,2.438,286.7,117.562,62,2.715,"CarryEfficiency",2008
28,NA,"Jeff Maggert",86,2.436,264.9,108.731,75,2.692,"CarryEfficiency",2008
29,NA,"Alex Cejka",75,2.435,268.7,110.32,48,2.694,"CarryEfficiency",2008
29,NA,"Bo Van Pelt",101,2.435,278.5,114.368,75,2.648,"CarryEfficiency",2008
31,NA,"KJ Choi",74,2.433,270.2,111.043,60,2.721,"CarryEfficiency",2008
31,NA,"Doug LaBelle II",65,2.433,261.5,107.477,41,2.761,"CarryEfficiency",2008
31,NA,"Kenny Perry",97,2.433,277.2,113.931,76,2.721,"CarryEfficiency",2008
31,NA,"David Toms",70,2.433,263.9,108.442,49,2.725,"CarryEfficiency",2008
35,NA,"Vaughn Taylor",103,2.432,265.6,109.198,79,2.803,"CarryEfficiency",2008
36,NA,"Ben Crane",86,2.431,265.6,109.267,70,2.61,"CarryEfficiency",2008
36,NA,"Todd Hamilton",92,2.431,275.2,113.203,42,2.672,"CarryEfficiency",2008
38,NA,"Steve Allan",58,2.43,282.5,116.232,38,2.686,"CarryEfficiency",2008
38,NA,"Mathias Gronberg",87,2.43,275.3,113.296,57,2.7,"CarryEfficiency",2008
38,NA,"Richard Johnson",77,2.43,283.3,116.58,52,2.729,"CarryEfficiency",2008
38,NA,"Steve Lowery",74,2.43,276.3,113.686,56,2.724,"CarryEfficiency",2008
42,NA,"Cliff Kresge",84,2.429,264.6,108.91,66,2.604,"CarryEfficiency",2008
43,NA,"Davis Love III",78,2.428,286,117.771,53,2.624,"CarryEfficiency",2008
44,NA,"Mathew Goggin",91,2.427,276.6,113.939,65,2.807,"CarryEfficiency",2008
45,NA,"Eric Axley",113,2.426,269.6,111.096,78,2.704,"CarryEfficiency",2008
45,NA,"Padraig Harrington",52,2.426,280.1,115.446,22,2.612,"CarryEfficiency",2008
45,NA,"Dustin Johnson",92,2.426,297.7,122.745,51,2.648,"CarryEfficiency",2008
45,NA,"John Rollins",94,2.426,273.3,112.677,70,2.704,"CarryEfficiency",2008
49,NA,"Paul Casey",55,2.425,289.1,119.24,29,2.621,"CarryEfficiency",2008
50,NA,"Woody Austin",109,2.424,277.4,114.419,86,2.778,"CarryEfficiency",2008
51,NA,"Ryan Armour",87,2.423,268.3,110.735,62,2.692,"CarryEfficiency",2008
51,NA,"Tim Herron",97,2.423,271.3,111.996,72,2.709,"CarryEfficiency",2008
53,NA,"Billy Andrade",71,2.422,272.5,112.514,44,2.711,"CarryEfficiency",2008
54,NA,"Carl Pettersson",110,2.421,271.5,112.139,90,2.72,"CarryEfficiency",2008
55,NA,"Tommy Armour III",77,2.419,265.2,109.637,53,2.648,"CarryEfficiency",2008
55,NA,"Ted Purdy",68,2.419,275.1,113.729,40,2.59,"CarryEfficiency",2008
57,NA,"Ben Curtis",80,2.418,268.6,111.044,64,2.685,"CarryEfficiency",2008
57,NA,"Brian Davis",108,2.418,258.8,107.046,96,2.716,"CarryEfficiency",2008
57,NA,"Kevin Stadler",90,2.418,273.8,113.21,52,2.681,"CarryEfficiency",2008
60,NA,"Cameron Beckman",87,2.417,263,108.832,60,2.683,"CarryEfficiency",2008
