"Top10Finishes_RANKTHISWEEK_2006","Top10Finishes_RANKLASTWEEK_2006","Top10Finishes_PLAYERNAME_2006","Top10Finishes_EVENTS_2006","Top10Finishes_TOP10_2006","Top10Finishes_1ST_2006","Top10Finishes_2ND_2006","Top10Finishes_3RD_2006","stat_name","year"
1,1,"Jim Furyk",24,13,2,4,3,"Top10Finishes",2006
1,1,"Vijay Singh",27,13,1,2,NA,"Top10Finishes",2006
3,3,"Tiger Woods",15,11,8,1,1,"Top10Finishes",2006
4,4,"Luke Donald",18,10,1,NA,1,"Top10Finishes",2006
4,4,"Brett Quigley",33,10,NA,NA,2,"Top10Finishes",2006
4,4,"Adam Scott",19,10,1,3,3,"Top10Finishes",2006
7,7,"Lucas Glover",31,9,NA,NA,NA,"Top10Finishes",2006
8,8,"Ernie Els",18,8,NA,NA,1,"Top10Finishes",2006
8,8,"Trevor Immelman",24,8,1,2,NA,"Top10Finishes",2006
8,8,"Phil Mickelson",19,8,2,1,NA,"Top10Finishes",2006
11,11,"Stewart Cink",26,7,NA,1,NA,"Top10Finishes",2006
11,11,"Joe Durant",28,7,1,1,2,"Top10Finishes",2006
11,11,"Tom Pernice Jr",33,7,NA,1,NA,"Top10Finishes",2006
11,11,"Steve Stricker",17,7,NA,1,1,"Top10Finishes",2006
15,15,"Stuart Appleby",23,6,2,NA,NA,"Top10Finishes",2006
15,15,"Daniel Chopra",33,6,NA,1,NA,"Top10Finishes",2006
15,15,"Retief Goosen",18,6,NA,1,1,"Top10Finishes",2006
15,15,"Nathan Green",30,6,NA,1,NA,"Top10Finishes",2006
15,15,"Frank Lickliter II",29,6,NA,1,NA,"Top10Finishes",2006
15,15,"Rod Pampling",24,6,1,NA,1,"Top10Finishes",2006
15,15,"Carl Pettersson",28,6,1,NA,NA,"Top10Finishes",2006
15,15,"Vaughn Taylor",26,6,NA,NA,1,"Top10Finishes",2006
15,15,"David Toms",22,6,1,1,1,"Top10Finishes",2006
15,15,"Nick Watney",29,6,NA,NA,NA,"Top10Finishes",2006
15,15,"Mike Weir",24,6,NA,NA,1,"Top10Finishes",2006
15,15,"Brett Wetterich",25,6,1,2,NA,"Top10Finishes",2006
15,15,"Dean Wilson",34,6,1,1,NA,"Top10Finishes",2006
28,28,"Jonathan Byrd",20,5,NA,NA,1,"Top10Finishes",2006
28,28,"Chad Campbell",25,5,1,1,1,"Top10Finishes",2006
28,28,"Sergio Garcia",17,5,NA,NA,1,"Top10Finishes",2006
28,28,"JJ Henry",28,5,1,1,NA,"Top10Finishes",2006
28,28,"Charley Hoffman",29,5,NA,NA,NA,"Top10Finishes",2006
28,28,"Jerry Kelly",31,5,NA,2,NA,"Top10Finishes",2006
28,28,"Troy Matteson",32,5,1,1,NA,"Top10Finishes",2006
28,28,"Geoff Ogilvy",20,5,2,1,NA,"Top10Finishes",2006
28,28,"Justin Rose",28,5,NA,1,NA,"Top10Finishes",2006
28,28,"Rory Sabbatini",24,5,1,2,NA,"Top10Finishes",2006
38,38,"Woody Austin",31,4,NA,NA,NA,"Top10Finishes",2006
38,38,"KJ Choi",26,4,1,NA,NA,"Top10Finishes",2006
38,38,"Tim Clark",22,4,NA,1,NA,"Top10Finishes",2006
38,38,"Steve Flesch",33,4,NA,NA,2,"Top10Finishes",2006
38,38,"Jason Gore",29,4,NA,NA,NA,"Top10Finishes",2006
