"GIRPutting1520_RANKTHISWEEK_2011","GIRPutting1520_RANKLASTWEEK_2011","GIRPutting1520_PLAYERNAME_2011","GIRPutting1520_ROUNDS_2011","GIRPutting1520_Pct_2011","GIRPutting1520_ATTEMPTS_2011","GIRPutting1520_PUTTSMADE_2011","stat_name","year"
1,1,"Jason Day",76,27.96,93,26,"GIRPutting1520",2011
2,2,"Charl Schwartzel",58,27.66,47,13,"GIRPutting1520",2011
3,3,"Charlie Wi",83,27.62,105,29,"GIRPutting1520",2011
4,4,"Lucas Glover",74,27.45,102,28,"GIRPutting1520",2011
5,5,"Jarrod Lyle",83,27.36,106,29,"GIRPutting1520",2011
6,6,"Bryce Molder",82,26.89,119,32,"GIRPutting1520",2011
7,7,"Steve Marino",76,26.67,90,24,"GIRPutting1520",2011
8,8,"Kevin Kisner",70,26.32,76,20,"GIRPutting1520",2011
9,9,"James Driscoll",71,26.19,84,22,"GIRPutting1520",2011
10,10,"Steven Bowditch",86,26,100,26,"GIRPutting1520",2011
11,11,"John Senden",94,24.82,137,34,"GIRPutting1520",2011
12,12,"Scott McCarron",65,24.66,73,18,"GIRPutting1520",2011
13,13,"Pat Perez",76,24,100,24,"GIRPutting1520",2011
14,14,"Chris Couch",73,23.53,102,24,"GIRPutting1520",2011
14,14,"Andres Gonzales",60,23.53,68,16,"GIRPutting1520",2011
16,16,"Bill Lunde",92,23.49,149,35,"GIRPutting1520",2011
17,17,"Scott Stallings",84,23.33,120,28,"GIRPutting1520",2011
18,18,"Greg Chalmers",88,23.21,112,26,"GIRPutting1520",2011
18,18,"Harrison Frazar",58,23.21,56,13,"GIRPutting1520",2011
20,20,"Kyle Stanley",98,23.08,130,30,"GIRPutting1520",2011
21,21,"Vaughn Taylor",89,23.02,139,32,"GIRPutting1520",2011
22,22,"Dustin Johnson",72,23,100,23,"GIRPutting1520",2011
23,23,"Aron Price",58,22.99,87,20,"GIRPutting1520",2011
24,24,"Robert Karlsson",61,22.97,74,17,"GIRPutting1520",2011
25,25,"Graeme McDowell",50,22.95,61,14,"GIRPutting1520",2011
26,26,"Jeff Overton",92,22.94,109,25,"GIRPutting1520",2011
27,27,"Briny Baird",60,22.47,89,20,"GIRPutting1520",2011
28,28,"Tim Herron",85,22.22,108,24,"GIRPutting1520",2011
28,28,"Billy Mayfair",94,22.22,117,26,"GIRPutting1520",2011
28,28,"Ryan Moore",79,22.22,90,20,"GIRPutting1520",2011
28,28,"DA Points",89,22.22,99,22,"GIRPutting1520",2011
28,28,"Jhonattan Vegas",84,22.22,117,26,"GIRPutting1520",2011
33,33,"Ben Curtis",66,22.02,109,24,"GIRPutting1520",2011
34,34,"Luke Donald",73,21.74,92,20,"GIRPutting1520",2011
35,35,"John Merrick",71,21.62,111,24,"GIRPutting1520",2011
36,36,"Steve Flesch",88,21.51,93,20,"GIRPutting1520",2011
37,37,"Tom Gillis",55,21.43,84,18,"GIRPutting1520",2011
37,37,"Kevin Na",84,21.43,98,21,"GIRPutting1520",2011
39,39,"Rickie Fowler",84,21.35,89,19,"GIRPutting1520",2011
40,40,"Matt Kuchar",94,21.01,119,25,"GIRPutting1520",2011
41,41,"Andres Romero",77,21,100,21,"GIRPutting1520",2011
42,42,"Adam Scott",60,20.97,62,13,"GIRPutting1520",2011
43,43,"Carl Pettersson",95,20.95,148,31,"GIRPutting1520",2011
43,43,"Cameron Tringale",110,20.95,148,31,"GIRPutting1520",2011
45,45,"Chris Stroud",88,20.83,120,25,"GIRPutting1520",2011
46,46,"Steve Stricker",70,20.78,77,16,"GIRPutting1520",2011
47,47,"Jason Bohn",74,20.63,126,26,"GIRPutting1520",2011
48,48,"Nick Watney",80,20.62,97,20,"GIRPutting1520",2011
49,49,"George McNeill",69,20.59,68,14,"GIRPutting1520",2011
50,50,"Bo Van Pelt",92,20.51,117,24,"GIRPutting1520",2011
51,51,"Bill Haas",93,20.49,122,25,"GIRPutting1520",2011
52,52,"David Toms",78,20.37,108,22,"GIRPutting1520",2011
53,53,"Hunter Haas",96,20.36,167,34,"GIRPutting1520",2011
54,54,"Vijay Singh",79,20.34,118,24,"GIRPutting1520",2011
55,55,"Anthony Kim",72,20.25,79,16,"GIRPutting1520",2011
56,56,"Zach Johnson",79,20.18,109,22,"GIRPutting1520",2011
57,57,"Ben Crane",76,20,90,18,"GIRPutting1520",2011
57,57,"Brian Davis",105,20,155,31,"GIRPutting1520",2011
57,57,"Tommy Gainey",104,20,155,31,"GIRPutting1520",2011
57,57,"Kent Jones",76,20,95,19,"GIRPutting1520",2011
57,57,"William McGirt",103,20,140,28,"GIRPutting1520",2011
57,57,"Michael Thompson",79,20,120,24,"GIRPutting1520",2011
63,63,"Blake Adams",116,19.88,166,33,"GIRPutting1520",2011
64,64,"Keegan Bradley",91,19.82,111,22,"GIRPutting1520",2011
65,65,"Aaron Baddeley",77,19.8,101,20,"GIRPutting1520",2011
65,65,"Ernie Els",71,19.8,101,20,"GIRPutting1520",2011
65,65,"Rory Sabbatini",85,19.8,101,20,"GIRPutting1520",2011
68,68,"David Hearn",88,19.75,162,32,"GIRPutting1520",2011
69,69,"Michael Bradley",74,19.74,76,15,"GIRPutting1520",2011
70,70,"Marc Leishman",87,19.66,117,23,"GIRPutting1520",2011
71,71,"KJ Choi",77,19.64,112,22,"GIRPutting1520",2011
72,72,"Brandt Snedeker",85,19.61,102,20,"GIRPutting1520",2011
72,72,"Jimmy Walker",79,19.61,102,20,"GIRPutting1520",2011
74,74,"Derek Lamely",65,19.51,82,16,"GIRPutting1520",2011
75,75,"Martin Piller",63,19.4,67,13,"GIRPutting1520",2011
76,76,"Charley Hoffman",93,19.35,124,24,"GIRPutting1520",2011
77,77,"Jason Dufner",78,19.3,114,22,"GIRPutting1520",2011
78,78,"Roland Thatcher",67,19.23,104,20,"GIRPutting1520",2011
79,79,"Nate Smith",66,19.18,73,14,"GIRPutting1520",2011
80,80,"Gary Woodland",93,19.13,115,22,"GIRPutting1520",2011
81,81,"Hunter Mahan",92,18.97,116,22,"GIRPutting1520",2011
81,81,"Tag Ridings",87,18.97,116,22,"GIRPutting1520",2011
83,83,"Chris Riley",76,18.92,111,21,"GIRPutting1520",2011
84,84,"Steve Elkington",50,18.75,48,9,"GIRPutting1520",2011
85,85,"Jim Herman",69,18.68,91,17,"GIRPutting1520",2011
86,86,"Scott Piercy",78,18.63,102,19,"GIRPutting1520",2011
87,87,"Padraig Harrington",60,18.46,65,12,"GIRPutting1520",2011
87,87,"Nick OHern",89,18.46,130,24,"GIRPutting1520",2011
89,89,"David Mathis",83,18.45,103,19,"GIRPutting1520",2011
90,90,"Martin Laird",77,18.35,109,20,"GIRPutting1520",2011
91,91,"Chez Reavie",92,18.3,153,28,"GIRPutting1520",2011
92,92,"Nathan Green",81,18.26,115,21,"GIRPutting1520",2011
93,93,"Arjun Atwal",91,18.25,137,25,"GIRPutting1520",2011
94,94,"Shaun Micheel",77,18.18,110,20,"GIRPutting1520",2011
95,95,"Lee Janzen",62,17.98,89,16,"GIRPutting1520",2011
96,96,"Ryuji Imada",83,17.92,106,19,"GIRPutting1520",2011
96,96,"Trevor Immelman",84,17.92,106,19,"GIRPutting1520",2011
98,98,"Matt Jones",71,17.89,95,17,"GIRPutting1520",2011
99,99,"Michael Connell",76,17.74,124,22,"GIRPutting1520",2011
