"GIRPercentagefromFairway_RANKTHISWEEK_2005","GIRPercentagefromFairway_RANKLASTWEEK_2005","GIRPercentagefromFairway_PLAYERNAME_2005","GIRPercentagefromFairway_ROUNDS_2005","GIRPercentagefromFairway_Pct_2005","GIRPercentagefromFairway_GREENSHIT_2005","GIRPercentagefromFairway_OFHOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,81.82,468,572,"GIRPercentagefromFairway",2005
2,2,"JJ Henry",102,81.27,690,849,"GIRPercentagefromFairway",2005
3,3,"Brenden Pappas",51,81.16,293,361,"GIRPercentagefromFairway",2005
4,4,"Chris Smith",93,81.11,631,778,"GIRPercentagefromFairway",2005
5,5,"David Toms",87,80.87,575,711,"GIRPercentagefromFairway",2005
6,6,"Bo Van Pelt",112,80.71,795,985,"GIRPercentagefromFairway",2005
7,7,"Sergio Garcia",73,80.63,462,573,"GIRPercentagefromFairway",2005
8,8,"Chad Campbell",95,80.33,637,793,"GIRPercentagefromFairway",2005
9,9,"Jim Furyk",94,80.05,710,887,"GIRPercentagefromFairway",2005
10,10,"Davis Love III",80,80.03,485,606,"GIRPercentagefromFairway",2005
11,11,"Robert Allenby",95,79.85,622,779,"GIRPercentagefromFairway",2005
12,12,"Fred Couples",72,79.82,439,550,"GIRPercentagefromFairway",2005
13,13,"Scott Gutschewski",86,79.79,533,668,"GIRPercentagefromFairway",2005
14,14,"Scott Hend",75,79.74,370,464,"GIRPercentagefromFairway",2005
15,15,"Dan Forsman",52,79.65,321,403,"GIRPercentagefromFairway",2005
15,15,"Vijay Singh",111,79.65,736,924,"GIRPercentagefromFairway",2005
17,17,"Nick Watney",91,79.4,586,738,"GIRPercentagefromFairway",2005
18,18,"Brandt Jobe",96,79.32,583,735,"GIRPercentagefromFairway",2005
19,19,"Lucas Glover",88,79.26,577,728,"GIRPercentagefromFairway",2005
20,20,"Retief Goosen",71,79.22,404,510,"GIRPercentagefromFairway",2005
21,21,"Briny Baird",98,79.15,710,897,"GIRPercentagefromFairway",2005
22,22,"Brett Wetterich",76,78.94,461,584,"GIRPercentagefromFairway",2005
23,23,"Tim Petrovic",97,78.93,588,745,"GIRPercentagefromFairway",2005
24,24,"Charles Howell III",95,78.87,571,724,"GIRPercentagefromFairway",2005
25,25,"Bob Tway",87,78.84,585,742,"GIRPercentagefromFairway",2005
26,26,"Glen Hnatiuk",59,78.78,375,476,"GIRPercentagefromFairway",2005
27,27,"Stuart Appleby",84,78.77,527,669,"GIRPercentagefromFairway",2005
27,27,"Brendan Jones",81,78.77,486,617,"GIRPercentagefromFairway",2005
29,29,"Roland Thatcher",75,78.69,517,657,"GIRPercentagefromFairway",2005
30,30,"Hunter Mahan",103,78.65,678,862,"GIRPercentagefromFairway",2005
31,31,"Tommy Armour III",103,78.54,743,946,"GIRPercentagefromFairway",2005
32,32,"Adam Scott",72,78.4,432,551,"GIRPercentagefromFairway",2005
