"LeftRoughProximity_RANKTHISWEEK_2007","LeftRoughProximity_RANKLASTWEEK_2007","LeftRoughProximity_PLAYERNAME_2007","LeftRoughProximity_ROUNDS_2007","LeftRoughProximity_AVG_2007","LeftRoughProximity_ATTEMPTS_2007","LeftRoughProximity_TOTALDISTANCEFEET_2007","LeftRoughProximity_RELATIVETOPAR_2007","stat_name","year"
1,1,"Tim Clark",66,NA,76,2816.083,9,"LeftRoughProximity",2007
1,1,"Bob Estes",88,NA,108,4004.667,9,"LeftRoughProximity",2007
3,3,"Ernie Els",59,NA,73,2737.083,11,"LeftRoughProximity",2007
4,4,"Robert Gamez",88,NA,84,3165.25,22,"LeftRoughProximity",2007
5,5,"Ken Duke",112,NA,114,4354.5,-3,"LeftRoughProximity",2007
6,6,"Craig Bowden",78,NA,98,3750.25,8,"LeftRoughProximity",2007
7,7,"Kyle Reifers",71,NA,99,3797.167,17,"LeftRoughProximity",2007
8,8,"John Rollins",102,NA,117,4509.167,13,"LeftRoughProximity",2007
9,9,"Bob Heintz",85,NA,132,5111.75,19,"LeftRoughProximity",2007
9,9,"Jason Schultz",63,NA,78,3020.5,9,"LeftRoughProximity",2007
11,11,"Luke Donald",69,NA,70,2720.833,8,"LeftRoughProximity",2007
12,12,"Steve Wheatcroft",73,NA,91,3562.583,22,"LeftRoughProximity",2007
13,13,"Charles Howell III",89,NA,149,5847.167,18,"LeftRoughProximity",2007
14,14,"Henrik Stenson",52,NA,63,2477.583,6,"LeftRoughProximity",2007
15,15,"David Toms",80,NA,94,3707.5,12,"LeftRoughProximity",2007
16,16,"Andrew Buckle",77,NA,119,4731.75,21,"LeftRoughProximity",2007
16,16,"Kevin Stadler",95,NA,159,6320.417,25,"LeftRoughProximity",2007
18,18,"Jose Coceres",50,NA,45,1802.583,12,"LeftRoughProximity",2007
19,19,"Jarrod Lyle",77,NA,112,4502.333,13,"LeftRoughProximity",2007
19,19,"DJ Trahan",99,NA,134,5381.5,27,"LeftRoughProximity",2007
21,21,"Scott Verplank",82,NA,69,2779.75,3,"LeftRoughProximity",2007
22,22,"Jason Bohn",57,NA,89,3591,5,"LeftRoughProximity",2007
23,23,"Tommy Armour III",81,NA,95,3842.917,15,"LeftRoughProximity",2007
24,24,"Anders Hansen",55,NA,57,2308.167,17,"LeftRoughProximity",2007
25,25,"Todd Hamilton",76,NA,91,3718.75,21,"LeftRoughProximity",2007
25,25,"Heath Slocum",101,NA,118,4821.75,5,"LeftRoughProximity",2007
27,27,"Michael Putnam",96,NA,155,6364.667,23,"LeftRoughProximity",2007
27,27,"Vijay Singh",102,NA,147,6043.583,16,"LeftRoughProximity",2007
29,29,"JP Hayes",89,NA,132,5432.167,8,"LeftRoughProximity",2007
29,29,"JB Holmes",71,NA,142,5840.917,16,"LeftRoughProximity",2007
29,29,"Richard Johnson",93,NA,142,5843.417,28,"LeftRoughProximity",2007
32,32,"Chris Stroud",66,NA,76,3142.25,15,"LeftRoughProximity",2007
33,33,"David Branshaw",83,NA,118,4889.833,40,"LeftRoughProximity",2007
33,33,"Steve Flesch",100,NA,140,5801.25,20,"LeftRoughProximity",2007
33,33,"Frank Lickliter II",95,NA,119,4927.583,19,"LeftRoughProximity",2007
36,36,"Dicky Pride",71,NA,87,3607.583,25,"LeftRoughProximity",2007
37,37,"Sergio Garcia",68,NA,133,5545.75,4,"LeftRoughProximity",2007
37,37,"Paul Gow",70,NA,83,3457.583,17,"LeftRoughProximity",2007
37,37,"Craig Lile",77,NA,108,4502.583,22,"LeftRoughProximity",2007
37,37,"Jeff Quinney",95,NA,110,4584.917,27,"LeftRoughProximity",2007
37,37,"Jaco Van Zyl",51,NA,83,3455.25,20,"LeftRoughProximity",2007
42,42,"Ryan Armour",107,NA,124,5188.5,27,"LeftRoughProximity",2007
42,42,"Michael Boyd",61,NA,82,3431.333,11,"LeftRoughProximity",2007
42,42,"Padraig Harrington",64,NA,111,4645.5,-4,"LeftRoughProximity",2007
42,42,"Boo Weekley",101,NA,133,5561.167,24,"LeftRoughProximity",2007
46,46,"Mark Brooks",53,NA,59,2475.417,20,"LeftRoughProximity",2007
46,46,"Kenny Perry",83,NA,127,5319.333,17,"LeftRoughProximity",2007
46,46,"Charlie Wi",90,NA,125,5239.417,16,"LeftRoughProximity",2007
49,49,"Pat Perez",84,NA,118,4955.417,24,"LeftRoughProximity",2007
50,50,"Robert Allenby",90,NA,136,5722.667,12,"LeftRoughProximity",2007
50,50,"Brian Davis",101,NA,99,4167.333,13,"LeftRoughProximity",2007
52,52,"Daniel Chopra",106,NA,192,8093.083,13,"LeftRoughProximity",2007
52,52,"Carl Pettersson",111,NA,168,7087.583,16,"LeftRoughProximity",2007
54,54,"Cameron Beckman",96,NA,121,5110,10,"LeftRoughProximity",2007
54,54,"Shaun Micheel",91,NA,100,4224.417,18,"LeftRoughProximity",2007
54,54,"Nick OHern",72,NA,114,4813.417,25,"LeftRoughProximity",2007
54,54,"Joey Sindelar",75,NA,102,4309.917,13,"LeftRoughProximity",2007
54,54,"Chris Tidland",59,NA,79,3338.667,9,"LeftRoughProximity",2007
59,59,"Tim Herron",98,NA,104,4406.5,25,"LeftRoughProximity",2007
59,59,"John Senden",97,NA,128,5418.667,17,"LeftRoughProximity",2007
61,61,"Bob Tway",103,NA,198,8403.583,13,"LeftRoughProximity",2007
62,62,"Joe Durant",88,NA,87,3701.75,14,"LeftRoughProximity",2007
63,63,"Mike Weir",82,NA,87,3710.167,6,"LeftRoughProximity",2007
64,64,"Michael Sim",52,NA,83,3549.167,13,"LeftRoughProximity",2007
65,65,"Mathias Gronberg",95,NA,177,7580.167,10,"LeftRoughProximity",2007
65,65,"Kevin Na",84,NA,137,5863,22,"LeftRoughProximity",2007
67,67,"Stuart Appleby",74,NA,84,3607.333,14,"LeftRoughProximity",2007
67,67,"Chris Couch",76,NA,145,6228.917,24,"LeftRoughProximity",2007
67,67,"Mark Hensby",81,NA,123,5281.75,25,"LeftRoughProximity",2007
70,70,"Brett Wetterich",88,NA,115,4947,26,"LeftRoughProximity",2007
71,71,"Harrison Frazar",88,NA,132,5684.917,26,"LeftRoughProximity",2007
71,71,"George McNeill",95,NA,128,5516,13,"LeftRoughProximity",2007
71,71,"Ryan Palmer",91,NA,168,7241.25,42,"LeftRoughProximity",2007
71,71,"Ted Purdy",102,NA,117,5039.25,22,"LeftRoughProximity",2007
75,75,"Michael Allen",74,NA,90,3884.583,22,"LeftRoughProximity",2007
75,75,"Jim Furyk",84,NA,60,2588,7,"LeftRoughProximity",2007
75,75,"Charles Warren",101,NA,160,6911.667,31,"LeftRoughProximity",2007
78,78,"Tom Lehman",62,NA,81,3505,21,"LeftRoughProximity",2007
79,79,"Craig Barlow",52,NA,68,2947.083,12,"LeftRoughProximity",2007
79,79,"Greg Owen",81,NA,99,4287.917,17,"LeftRoughProximity",2007
79,79,"Jay Williamson",50,NA,64,2775.833,4,"LeftRoughProximity",2007
82,82,"Briny Baird",115,NA,151,6560.833,22,"LeftRoughProximity",2007
83,83,"Brendon de Jonge",76,NA,116,5054.083,20,"LeftRoughProximity",2007
83,83,"Tim Petrovic",106,NA,156,6803.167,22,"LeftRoughProximity",2007
85,85,"Parker McLachlin",83,NA,101,4413.5,14,"LeftRoughProximity",2007
85,85,"Joe Ogilvie",102,NA,147,6419.333,27,"LeftRoughProximity",2007
85,85,"Duffy Waldorf",69,NA,82,3578.917,16,"LeftRoughProximity",2007
88,88,"Will Ma Kenzie",100,NA,157,6883.167,29,"LeftRoughProximity",2007
88,88,"Jesper Parnevik",88,NA,151,6619.5,4,"LeftRoughProximity",2007
88,88,"Brandt Snedeker",105,NA,146,6404.667,18,"LeftRoughProximity",2007
91,91,"Jeff Brehaut",59,NA,73,3212.75,23,"LeftRoughProximity",2007
91,91,"JJ Henry",86,NA,100,4402.417,19,"LeftRoughProximity",2007
93,93,"Kirk Triplett",77,NA,91,4015,36,"LeftRoughProximity",2007
93,93,"Camilo Villegas",82,NA,110,4852,9,"LeftRoughProximity",2007
95,95,"Steve Allan",63,NA,89,3933.25,4,"LeftRoughProximity",2007
95,95,"Jose Maria Olazabal",52,NA,66,2914.667,13,"LeftRoughProximity",2007
95,95,"Tag Ridings",52,NA,84,3706.583,3,"LeftRoughProximity",2007
98,98,"DJ Brigman",67,NA,94,4155.583,27,"LeftRoughProximity",2007
99,99,"Bubba Dickerson",51,NA,87,3858.333,22,"LeftRoughProximity",2007
99,99,"John Mallinger",96,NA,116,5147.167,12,"LeftRoughProximity",2007
99,99,"Ryan Moore",92,NA,121,5363.417,-4,"LeftRoughProximity",2007
99,99,"Sean OHair",98,NA,129,5718.583,9,"LeftRoughProximity",2007
99,99,"Nick Watney",87,NA,131,5811.75,27,"LeftRoughProximity",2007
104,104,"Alex Cejka",80,NA,135,6012.75,19,"LeftRoughProximity",2007
104,104,"Charley Hoffman",97,NA,146,6499.25,28,"LeftRoughProximity",2007
104,104,"Daisuke Maruyama",86,NA,116,5163.5,20,"LeftRoughProximity",2007
104,104,"Brett Quigley",79,NA,133,5913.75,19,"LeftRoughProximity",2007
108,108,"Trevor Immelman",74,NA,74,3300.417,15,"LeftRoughProximity",2007
108,108,"Arron Oberholser",69,NA,106,4726.917,12,"LeftRoughProximity",2007
110,110,"Billy Andrade",88,NA,148,6608.667,22,"LeftRoughProximity",2007
110,110,"Rocco Mediate",72,NA,94,4201.25,25,"LeftRoughProximity",2007
110,110,"Vaughn Taylor",91,NA,121,5409.167,18,"LeftRoughProximity",2007
113,113,"Chris Riley",59,NA,65,2907.333,15,"LeftRoughProximity",2007
114,114,"Steve Marino",106,NA,135,6057.083,8,"LeftRoughProximity",2007
115,115,"Davis Love III",66,NA,128,5746.25,18,"LeftRoughProximity",2007
115,115,"Geoff Ogilvy",84,NA,86,3865.333,11,"LeftRoughProximity",2007
115,115,"Ian Poulter",63,NA,62,2782.833,5,"LeftRoughProximity",2007
115,115,"Kevin Sutherland",85,NA,123,5525.667,5,"LeftRoughProximity",2007
119,119,"Eric Axley",107,NA,200,9010.083,37,"LeftRoughProximity",2007
119,119,"Bart Bryant",87,NA,89,4009.417,9,"LeftRoughProximity",2007
119,119,"Jeff Sluman",60,NA,75,3378.5,27,"LeftRoughProximity",2007
119,119,"Johnson Wagner",97,NA,141,6351.917,20,"LeftRoughProximity",2007
123,123,"Rich Barcelo",80,NA,116,5240.5,19,"LeftRoughProximity",2007
123,123,"Jonathan Byrd",73,NA,104,4693.083,6,"LeftRoughProximity",2007
123,123,"Rod Pampling",92,NA,121,5467.583,9,"LeftRoughProximity",2007
126,126,"Mathew Goggin",97,NA,121,5470.667,19,"LeftRoughProximity",2007
126,126,"Darron Stiles",65,NA,77,3481.833,20,"LeftRoughProximity",2007
128,128,"Ryuji Imada",104,NA,163,7403.583,15,"LeftRoughProximity",2007
128,128,"Adam Scott",69,NA,87,3951.25,19,"LeftRoughProximity",2007
130,130,"Freddie Jacobson",70,NA,115,5228,12,"LeftRoughProximity",2007
131,131,"Troy Matteson",87,NA,119,5423.667,24,"LeftRoughProximity",2007
131,131,"Dean Wilson",92,NA,124,5654.917,9,"LeftRoughProximity",2007
133,133,"Lucas Glover",98,NA,123,5613.833,11,"LeftRoughProximity",2007
134,134,"Stephen Leaney",82,NA,123,5628.25,24,"LeftRoughProximity",2007
135,135,"Robert Garrigus",95,NA,166,7608.25,8,"LeftRoughProximity",2007
135,135,"Tom Johnson",74,NA,101,4627.5,30,"LeftRoughProximity",2007
135,135,"Bryce Molder",56,NA,69,3163.667,13,"LeftRoughProximity",2007
135,135,"Tiger Woods",63,NA,63,2887.417,-6,"LeftRoughProximity",2007
139,139,"Jason Gore",86,NA,107,4909.75,6,"LeftRoughProximity",2007
140,140,"Fred Funk",65,NA,62,2859.5,11,"LeftRoughProximity",2007
140,140,"Steve Lowery",74,NA,110,5066.333,35,"LeftRoughProximity",2007
142,142,"Bill Haas",93,NA,126,5820.917,14,"LeftRoughProximity",2007
143,143,"Brian Gay",107,NA,107,4949.25,19,"LeftRoughProximity",2007
143,143,"Anthony Kim",93,NA,138,6381.5,24,"LeftRoughProximity",2007
145,145,"Corey Pavin",81,NA,97,4501.833,24,"LeftRoughProximity",2007
146,146,"Jim Rutledge",59,NA,61,2836.333,16,"LeftRoughProximity",2007
147,147,"Chris DiMarco",79,NA,122,5678.75,8,"LeftRoughProximity",2007
147,147,"Justin Leonard",95,NA,92,4285.167,19,"LeftRoughProximity",2007
149,149,"Jeff Gove",103,NA,141,6574.75,21,"LeftRoughProximity",2007
149,149,"Paul Goydos",60,NA,66,3077.5,11,"LeftRoughProximity",2007
149,149,"Mark Wilson",87,NA,89,4149.917,12,"LeftRoughProximity",2007
152,152,"Jerry Kelly",101,NA,106,4951.667,20,"LeftRoughProximity",2007
152,152,"Cliff Kresge",107,NA,205,9580.667,40,"LeftRoughProximity",2007
152,152,"Phil Mickelson",73,NA,116,5422.167,19,"LeftRoughProximity",2007
