"DistancetoApex_RANKTHISWEEK_2015","DistancetoApex_RANKLASTWEEK_2015","DistancetoApex_PLAYERNAME_2015","DistancetoApex_ROUNDS_2015","DistancetoApex_AVG_2015","DistancetoApex_TOTALAPEXRANGE_2015","DistancetoApex_TOTALATTEMPTS_2015","DistancetoApex_LONGESTDISTTOAPEX_2015","DistancetoApex_SHORTESTDISTTOAPEX_2015","stat_name","year"
1,1,"Bubba Watson",71,204.1,10615.7,52,219.9,184.6,"DistancetoApex",2015
2,2,"Charlie Beljan",76,203.1,11577.2,57,215.8,181.4,"DistancetoApex",2015
3,3,"Brooks Koepka",84,202.9,17044.3,84,217.6,188.3,"DistancetoApex",2015
4,4,"Tony Finau",106,202.7,18854.4,93,220.6,166,"DistancetoApex",2015
5,5,"Dustin Johnson",75,201.9,9891.7,49,219.7,181.7,"DistancetoApex",2015
6,6,"Patrick Rodgers",57,199.8,9192.7,46,211.6,187.6,"DistancetoApex",2015
6,6,"Hudson Swafford",97,199.8,17179.8,86,213.7,181.7,"DistancetoApex",2015
8,8,"JB Holmes",89,199.1,13738.1,69,212.1,181.7,"DistancetoApex",2015
9,9,"Jason Kokrak",88,198.5,16676.2,84,215.5,169.6,"DistancetoApex",2015
10,10,"Jhonattan Vegas",90,197.5,15008.8,76,216.8,170.1,"DistancetoApex",2015
11,11,"Jason Day",75,197.1,12023.2,61,213.3,171.7,"DistancetoApex",2015
12,12,"Adam Scott",51,196.4,6875.6,35,210.4,154.9,"DistancetoApex",2015
13,13,"Sergio Garcia",59,195.2,8004.1,41,204.9,179.4,"DistancetoApex",2015
14,14,"Harris English",105,195,19108.1,98,208.3,176.2,"DistancetoApex",2015
14,14,"Charles Howell III",105,195,20666.8,106,215.5,161.3,"DistancetoApex",2015
16,16,"Aaron Baddeley",76,194.2,7766.2,40,210.6,178.9,"DistancetoApex",2015
17,17,"Martin Flores",95,194,17266.3,89,204.6,169.4,"DistancetoApex",2015
18,18,"Keegan Bradley",87,193.9,15897.4,82,206,175.2,"DistancetoApex",2015
19,19,"Jimmy Walker",89,193.8,13759.4,71,211,171.8,"DistancetoApex",2015
20,20,"Robert Garrigus",70,193.2,9660.9,50,213.8,163,"DistancetoApex",2015
20,20,"Charley Hoffman",97,193.2,16032.2,83,204.8,171.2,"DistancetoApex",2015
20,20,"Brendan Steele",88,193.2,17582.6,91,209.8,153.9,"DistancetoApex",2015
20,20,"Gary Woodland",81,193.2,11401.4,59,213.5,157.1,"DistancetoApex",2015
24,24,"Martin Laird",77,193.1,12939.2,67,210.3,160.2,"DistancetoApex",2015
25,25,"Rickie Fowler",76,192.9,12540.9,65,206.9,161.2,"DistancetoApex",2015
26,26,"Justin Thomas",106,192.8,19663.5,102,205.5,174.8,"DistancetoApex",2015
27,27,"Nick Watney",91,192.7,16953.6,88,205.6,176,"DistancetoApex",2015
28,28,"Angel Cabrera",53,192.2,9610.3,50,207.8,168.3,"DistancetoApex",2015
29,29,"Russell Henley",87,192,16129,84,204.3,174.6,"DistancetoApex",2015
30,30,"Ryan Palmer",80,191.9,12667.4,66,205.1,159.4,"DistancetoApex",2015
31,31,"Graham DeLaet",65,191.7,9966.9,52,210.8,170.4,"DistancetoApex",2015
32,32,"Henrik Stenson",63,191.5,5552.6,29,207.9,163.8,"DistancetoApex",2015
33,33,"Daniel Berger",97,191.3,13005.7,68,208.1,162.4,"DistancetoApex",2015
34,34,"Phil Mickelson",70,190.7,9726.8,51,205.4,164,"DistancetoApex",2015
35,35,"Steven Bowditch",103,190.6,18867.9,99,210.9,141,"DistancetoApex",2015
36,36,"Kevin Chappell",86,190.5,11811.5,62,210.4,173.4,"DistancetoApex",2015
37,37,"Max Homa",78,190.2,11789.5,62,209.5,169.7,"DistancetoApex",2015
38,38,"Seung Yul Noh",65,189.9,11016.6,58,201.7,168.5,"DistancetoApex",2015
38,38,"Scott Piercy",90,189.9,16327.9,86,206.2,171.9,"DistancetoApex",2015
40,40,"Alex Prugh",84,189.8,15186.5,80,205.7,169.2,"DistancetoApex",2015
41,41,"Paul Casey",87,189.7,11949.7,63,201.9,174,"DistancetoApex",2015
41,41,"Carlos Ortiz",100,189.7,18399.3,97,204.7,159.5,"DistancetoApex",2015
43,43,"Michael Putnam",87,188.7,13210.4,70,206.3,153.7,"DistancetoApex",2015
44,44,"Roger Sloan",56,188.5,7918.4,42,198.7,176.2,"DistancetoApex",2015
45,45,"Andres Gonzales",90,188.4,16395.1,87,203.8,163.1,"DistancetoApex",2015
45,45,"Justin Rose",69,188.4,9987.7,53,199.7,170.4,"DistancetoApex",2015
45,45,"Charl Schwartzel",67,188.4,7722.7,41,201.7,163.7,"DistancetoApex",2015
45,45,"Will Wilcox",58,188.4,8102.7,43,202.8,141.7,"DistancetoApex",2015
49,49,"Matt Jones",89,188.3,12990.5,69,205.5,159,"DistancetoApex",2015
50,50,"Lucas Glover",79,188.2,15245.6,81,202.5,165,"DistancetoApex",2015
50,50,"Robert Streb",110,188.2,20322.3,108,205.5,157.7,"DistancetoApex",2015
