"BonusPutting_RANKTHISWEEK_2014","BonusPutting_RANKLASTWEEK_2014","BonusPutting_PLAYERNAME_2014","BonusPutting_ROUNDS_2014","BonusPutting_VALUE_2014","BonusPutting_ATTEMPTS_2014","BonusPutting_TOTMADE20_2014","BonusPutting_TOTMADE_2014","stat_name","year"
1,1,"Graeme McDowell",66,102.55,627,30,613,"BonusPutting",2014
2,2,"Luke Donald",57,101.94,618,25,605,"BonusPutting",2014
3,3,"Freddie Jacobson",91,101.88,1117,46,1092,"BonusPutting",2014
4,4,"John Senden",99,101.41,1135,41,1110,"BonusPutting",2014
5,5,"Greg Chalmers",85,101.4,999,37,976,"BonusPutting",2014
6,6,"Adam Scott",68,101.28,784,35,759,"BonusPutting",2014
7,7,"Sergio Garcia",61,101.24,564,22,549,"BonusPutting",2014
8,8,"Kevin Kisner",85,101.22,986,31,967,"BonusPutting",2014
9,9,"Zach Johnson",97,101.16,1209,39,1184,"BonusPutting",2014
10,10,"Jimmy Walker",98,100.99,1011,35,986,"BonusPutting",2014
11,11,"Brendon Todd",108,100.96,1252,50,1214,"BonusPutting",2014
12,12,"Russell Henley",92,100.87,1034,37,1006,"BonusPutting",2014
13,13,"Danny Lee",84,100.85,940,35,913,"BonusPutting",2014
14,14,"Chris Kirk",105,100.84,1192,49,1153,"BonusPutting",2014
15,15,"Daniel Summerhays",98,100.79,1265,50,1225,"BonusPutting",2014
16,16,"Gary Woodland",93,100.77,1044,31,1021,"BonusPutting",2014
17,17,"Jim Furyk",84,100.74,948,27,928,"BonusPutting",2014
18,18,"Scott Brown",100,100.68,1168,46,1130,"BonusPutting",2014
19,19,"Brooks Koepka",56,100.67,595,19,580,"BonusPutting",2014
20,20,"Kevin Na",94,100.65,1075,35,1047,"BonusPutting",2014
21,21,"Rory McIlroy",66,100.59,673,28,649,"BonusPutting",2014
22,22,"Hunter Mahan",88,100.58,1037,32,1011,"BonusPutting",2014
23,23,"David Hearn",97,100.53,1126,33,1099,"BonusPutting",2014
24,24,"Webb Simpson",87,100.48,1041,41,1005,"BonusPutting",2014
25,25,"Justin Leonard",75,100.46,871,22,853,"BonusPutting",2014
26,26,"Jeff Overton",80,100.44,911,30,885,"BonusPutting",2014
27,27,"Jason Day",54,100.43,464,7,459,"BonusPutting",2014
27,27,"Graham DeLaet",80,100.43,931,40,895,"BonusPutting",2014
29,29,"Brian Harman",111,100.42,1416,44,1378,"BonusPutting",2014
30,30,"Morgan Hoffmann",103,100.4,1238,38,1205,"BonusPutting",2014
31,31,"Retief Goosen",94,100.36,1114,35,1083,"BonusPutting",2014
32,32,"Richard Lee",80,100.35,851,20,834,"BonusPutting",2014
33,33,"KJ Choi",80,100.31,962,36,929,"BonusPutting",2014
33,33,"Billy Horschel",92,100.31,964,31,936,"BonusPutting",2014
33,33,"George McNeill",79,100.31,976,35,944,"BonusPutting",2014
36,36,"Brendan Steele",89,100.3,1013,38,978,"BonusPutting",2014
36,36,"Chris Stroud",88,100.3,1015,33,985,"BonusPutting",2014
38,38,"Patrick Reed",92,100.29,1045,29,1019,"BonusPutting",2014
39,39,"Matt Kuchar",91,100.28,1079,42,1040,"BonusPutting",2014
40,40,"Stuart Appleby",92,100.26,1150,39,1114,"BonusPutting",2014
40,40,"JJ Henry",91,100.26,1155,27,1131,"BonusPutting",2014
40,40,"Scott Langley",95,100.26,1149,39,1113,"BonusPutting",2014
43,43,"Troy Merritt",62,100.25,794,25,771,"BonusPutting",2014
44,44,"Ben Curtis",77,100.22,897,29,870,"BonusPutting",2014
44,44,"Brian Gay",81,100.22,906,32,876,"BonusPutting",2014
46,46,"Keegan Bradley",89,100.21,949,28,923,"BonusPutting",2014
47,47,"Bronson La Cassie",51,100.19,519,14,506,"BonusPutting",2014
48,48,"Chad Collins",78,100.12,853,25,829,"BonusPutting",2014
48,48,"Johnson Wagner",69,100.12,845,24,822,"BonusPutting",2014
50,50,"Brandt Snedeker",89,100.11,932,30,903,"BonusPutting",2014
50,50,"YE Yang",79,100.11,894,28,867,"BonusPutting",2014
52,52,"Jason Bohn",81,100.1,1037,25,1013,"BonusPutting",2014
53,53,"Jonas Blixt",64,100,617,18,599,"BonusPutting",2014
53,53,"Tim Clark",75,100,885,28,857,"BonusPutting",2014
53,53,"Erik Compton",88,100,1044,32,1012,"BonusPutting",2014
53,53,"Luke Guthrie",85,100,1076,44,1032,"BonusPutting",2014
53,53,"Billy Hurley III",86,100,1031,33,998,"BonusPutting",2014
53,53,"David Lingmerth",80,100,954,20,934,"BonusPutting",2014
53,53,"William McGirt",96,100,1193,32,1161,"BonusPutting",2014
53,53,"Bryce Molder",77,100,924,25,899,"BonusPutting",2014
53,53,"Ryan Moore",86,100,879,32,847,"BonusPutting",2014
53,53,"Ryan Palmer",85,100,934,28,906,"BonusPutting",2014
53,53,"Andrew Svoboda",77,100,934,28,906,"BonusPutting",2014
53,53,"Will Wilcox",51,100,568,14,554,"BonusPutting",2014
65,65,"Justin Hicks",103,99.92,1291,42,1248,"BonusPutting",2014
66,66,"Will Ma Kenzie",82,99.9,1051,36,1014,"BonusPutting",2014
