"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2009","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2009","AverageGoingforitShotDistanceinYards_PLAYERNAME_2009","AverageGoingforitShotDistanceinYards_EVENTS_2009","AverageGoingforitShotDistanceinYards_AVG_2009","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2009","AverageGoingforitShotDistanceinYards_ATTEMPTS_2009","stat_name","year"
1,1,"Retief Goosen",20,245.7,893323,101,"AverageGoingforitShotDistanceinYards",2009
2,2,"Fred Couples",16,246.3,691523,78,"AverageGoingforitShotDistanceinYards",2009
3,3,"Steve Stricker",22,248.5,849895,95,"AverageGoingforitShotDistanceinYards",2009
4,4,"Tommy Armour III",19,249.9,710677,79,"AverageGoingforitShotDistanceinYards",2009
5,5,"Tim Clark",23,250.2,639475,71,"AverageGoingforitShotDistanceinYards",2009
6,6,"Camilo Villegas",21,251,1283334,142,"AverageGoingforitShotDistanceinYards",2009
7,7,"Luke Donald",21,251.6,715665,79,"AverageGoingforitShotDistanceinYards",2009
8,8,"Scott Sterling",16,252.1,444666,49,"AverageGoingforitShotDistanceinYards",2009
9,9,"Mike Weir",24,252.3,753774,83,"AverageGoingforitShotDistanceinYards",2009
10,10,"Bubba Watson",24,252.4,1435442,158,"AverageGoingforitShotDistanceinYards",2009
11,11,"Davis Love III",27,252.6,1554794,171,"AverageGoingforitShotDistanceinYards",2009
11,11,"Steve Marino",29,252.6,1537089,169,"AverageGoingforitShotDistanceinYards",2009
13,13,"Stewart Cink",22,252.7,937093,103,"AverageGoingforitShotDistanceinYards",2009
13,13,"Robert Garrigus",25,252.7,1746593,192,"AverageGoingforitShotDistanceinYards",2009
13,13,"Mathew Goggin",26,252.7,1246513,137,"AverageGoingforitShotDistanceinYards",2009
16,16,"Michael Allen",22,252.8,891891,98,"AverageGoingforitShotDistanceinYards",2009
17,17,"John Merrick",28,253.7,1214484,133,"AverageGoingforitShotDistanceinYards",2009
18,18,"Bob Estes",23,253.8,840650,92,"AverageGoingforitShotDistanceinYards",2009
18,18,"Lucas Glover",26,253.8,1443667,158,"AverageGoingforitShotDistanceinYards",2009
18,18,"Kevin Sutherland",27,253.8,1343140,147,"AverageGoingforitShotDistanceinYards",2009
21,21,"Nick Watney",24,254,1609382,176,"AverageGoingforitShotDistanceinYards",2009
22,22,"Ken Duke",29,254.1,1015278,111,"AverageGoingforitShotDistanceinYards",2009
23,23,"Charles Howell III",29,254.3,1510764,165,"AverageGoingforitShotDistanceinYards",2009
23,23,"Cliff Kresge",28,254.3,796383,87,"AverageGoingforitShotDistanceinYards",2009
25,25,"Adam Scott",19,254.8,843841,92,"AverageGoingforitShotDistanceinYards",2009
25,25,"Darron Stiles",20,254.8,522771,57,"AverageGoingforitShotDistanceinYards",2009
27,27,"Kenny Perry",24,255,1294542,141,"AverageGoingforitShotDistanceinYards",2009
28,28,"Sergio Garcia",17,255.2,891106,97,"AverageGoingforitShotDistanceinYards",2009
29,29,"Heath Slocum",30,255.3,1176336,128,"AverageGoingforitShotDistanceinYards",2009
30,30,"John Senden",29,255.5,1674310,182,"AverageGoingforitShotDistanceinYards",2009
31,31,"Padraig Harrington",20,255.6,837441,91,"AverageGoingforitShotDistanceinYards",2009
32,32,"Geoff Ogilvy",20,255.7,1076994,117,"AverageGoingforitShotDistanceinYards",2009
32,32,"Jeff Overton",28,255.7,1417475,154,"AverageGoingforitShotDistanceinYards",2009
34,34,"John Mallinger",27,255.9,958263,104,"AverageGoingforitShotDistanceinYards",2009
35,35,"Brad Adamonis",25,256.2,949875,103,"AverageGoingforitShotDistanceinYards",2009
35,35,"Matt Kuchar",24,256.2,1097700,119,"AverageGoingforitShotDistanceinYards",2009
37,37,"Robert Allenby",21,256.4,950912,103,"AverageGoingforitShotDistanceinYards",2009
37,37,"Daniel Chopra",28,256.4,1762991,191,"AverageGoingforitShotDistanceinYards",2009
37,37,"Jason Dufner",26,256.4,1236965,134,"AverageGoingforitShotDistanceinYards",2009
40,40,"Aaron Baddeley",23,256.5,1071153,116,"AverageGoingforitShotDistanceinYards",2009
40,40,"Richard Johnson",26,256.5,738581,80,"AverageGoingforitShotDistanceinYards",2009
40,40,"Hunter Mahan",25,256.5,1643751,178,"AverageGoingforitShotDistanceinYards",2009
43,43,"Michael Letzig",28,256.6,1736439,188,"AverageGoingforitShotDistanceinYards",2009
44,44,"Boo Weekley",22,256.7,1339763,145,"AverageGoingforitShotDistanceinYards",2009
