"PuttsperRoundRound1_RANKTHISWEEK_2008","PuttsperRoundRound1_RANKLASTWEEK_2008","PuttsperRoundRound1_PLAYERNAME_2008","PuttsperRoundRound1__2008","PuttsperRoundRound1_AVG_2008","PuttsperRoundRound1_TOTALPUTTS_2008","PuttsperRoundRound1_TOTALROUNDS_2008","stat_name","year"
1,1,"Corey Pavin",NA,27.53,523,19,"PuttsperRoundRound1",2008
2,2,"Chris Riley",NA,27.6,414,15,"PuttsperRoundRound1",2008
3,3,"Alejandro Canizares",NA,27.93,391,14,"PuttsperRoundRound1",2008
4,4,"Jesper Parnevik",NA,27.96,783,28,"PuttsperRoundRound1",2008
5,5,"John Mallinger",NA,28.07,814,29,"PuttsperRoundRound1",2008
5,5,"Shigeki Maruyama",NA,28.07,421,15,"PuttsperRoundRound1",2008
7,7,"Eric Axley",NA,28.09,955,34,"PuttsperRoundRound1",2008
8,8,"Marco Dawson",NA,28.21,536,19,"PuttsperRoundRound1",2008
8,8,"Greg Kraft",NA,28.21,536,19,"PuttsperRoundRound1",2008
10,10,"Patrick Sheehan",NA,28.24,932,33,"PuttsperRoundRound1",2008
11,11,"Stuart Appleby",NA,28.27,622,22,"PuttsperRoundRound1",2008
12,12,"Brian Gay",NA,28.28,820,29,"PuttsperRoundRound1",2008
12,12,"Carl Pettersson",NA,28.28,820,29,"PuttsperRoundRound1",2008
14,14,"Andres Romero",NA,28.32,538,19,"PuttsperRoundRound1",2008
14,14,"Marc Turnesa",NA,28.32,793,28,"PuttsperRoundRound1",2008
16,16,"Dean Wilson",NA,28.42,881,31,"PuttsperRoundRound1",2008
17,17,"Padraig Harrington",NA,28.43,398,14,"PuttsperRoundRound1",2008
18,18,"Bob Tway",NA,28.44,512,18,"PuttsperRoundRound1",2008
19,19,"Mike Weir",NA,28.54,685,24,"PuttsperRoundRound1",2008
20,20,"Ken Duke",NA,28.58,943,33,"PuttsperRoundRound1",2008
20,20,"Nick OHern",NA,28.58,686,24,"PuttsperRoundRound1",2008
22,22,"Brett Rumford",NA,28.6,715,25,"PuttsperRoundRound1",2008
23,23,"Todd Hamilton",NA,28.61,801,28,"PuttsperRoundRound1",2008
24,24,"JP Hayes",NA,28.62,744,26,"PuttsperRoundRound1",2008
25,25,"Tim Herron",NA,28.63,773,27,"PuttsperRoundRound1",2008
25,25,"Matt Jones",NA,28.63,859,30,"PuttsperRoundRound1",2008
27,27,"Daniel Chopra",NA,28.65,745,26,"PuttsperRoundRound1",2008
28,28,"Steve Stricker",NA,28.67,602,21,"PuttsperRoundRound1",2008
