"BirdieorBetterPercentageRough_RANKTHISWEEK_2015","BirdieorBetterPercentageRough_RANKLASTWEEK_2015","BirdieorBetterPercentageRough_PLAYERNAME_2015","BirdieorBetterPercentageRough_ROUNDS_2015","BirdieorBetterPercentageRough_Pct_2015","BirdieorBetterPercentageRough_TOTALBIRDIES_2015","BirdieorBetterPercentageRough_TOTALHOLES_2015","stat_name","year"
1,1,"Bubba Watson",71,21.22,52,245,"BirdieorBetterPercentageRough",2015
2,2,"Jordan Spieth",91,21.08,47,223,"BirdieorBetterPercentageRough",2015
3,3,"Brooks Koepka",84,20.87,53,254,"BirdieorBetterPercentageRough",2015
4,4,"Jason Kokrak",88,20.54,68,331,"BirdieorBetterPercentageRough",2015
5,5,"Paul Casey",87,19.92,48,241,"BirdieorBetterPercentageRough",2015
6,6,"Jason Day",75,19.61,50,255,"BirdieorBetterPercentageRough",2015
7,7,"Tony Finau",106,19.59,77,393,"BirdieorBetterPercentageRough",2015
8,8,"Phil Mickelson",70,19.2,43,224,"BirdieorBetterPercentageRough",2015
9,9,"Ryan Palmer",80,18.98,41,216,"BirdieorBetterPercentageRough",2015
10,10,"Patrick Reed",103,18.79,59,314,"BirdieorBetterPercentageRough",2015
10,10,"Justin Thomas",106,18.79,65,346,"BirdieorBetterPercentageRough",2015
12,12,"Rory Sabbatini",81,18.78,46,245,"BirdieorBetterPercentageRough",2015
13,13,"Pat Perez",96,18.65,47,252,"BirdieorBetterPercentageRough",2015
14,14,"Louis Oosthuizen",68,18.5,32,173,"BirdieorBetterPercentageRough",2015
15,15,"Stewart Cink",77,18.18,44,242,"BirdieorBetterPercentageRough",2015
15,15,"Ryo Ishikawa",90,18.18,50,275,"BirdieorBetterPercentageRough",2015
17,17,"Camilo Villegas",83,17.98,57,317,"BirdieorBetterPercentageRough",2015
18,18,"Brendan Steele",88,17.65,45,255,"BirdieorBetterPercentageRough",2015
19,19,"John Merrick",78,17.54,30,171,"BirdieorBetterPercentageRough",2015
19,19,"Andres Romero",69,17.54,37,211,"BirdieorBetterPercentageRough",2015
21,21,"Jason Gore",76,17.49,32,183,"BirdieorBetterPercentageRough",2015
22,22,"DA Points",72,17.41,43,247,"BirdieorBetterPercentageRough",2015
23,23,"Martin Laird",77,17.39,44,253,"BirdieorBetterPercentageRough",2015
24,24,"Oscar Fraustro",58,17.2,27,157,"BirdieorBetterPercentageRough",2015
25,25,"Henrik Stenson",63,17.19,22,128,"BirdieorBetterPercentageRough",2015
26,26,"Scott Stallings",60,17.18,28,163,"BirdieorBetterPercentageRough",2015
27,27,"Martin Flores",95,17.16,58,338,"BirdieorBetterPercentageRough",2015
28,28,"Morgan Hoffmann",85,17.03,47,276,"BirdieorBetterPercentageRough",2015
29,29,"Sean OHair",86,17.02,48,282,"BirdieorBetterPercentageRough",2015
30,30,"Jason Dufner",76,16.99,26,153,"BirdieorBetterPercentageRough",2015
31,31,"Shawn Stefani",94,16.95,50,295,"BirdieorBetterPercentageRough",2015
32,32,"Ben Crane",62,16.87,28,166,"BirdieorBetterPercentageRough",2015
33,33,"JB Holmes",89,16.85,46,273,"BirdieorBetterPercentageRough",2015
34,34,"Adam Hadwin",95,16.8,41,244,"BirdieorBetterPercentageRough",2015
35,35,"Keegan Bradley",87,16.76,31,185,"BirdieorBetterPercentageRough",2015
36,36,"Tom Hoge",83,16.73,41,245,"BirdieorBetterPercentageRough",2015
37,37,"Charles Howell III",105,16.67,69,414,"BirdieorBetterPercentageRough",2015
37,37,"Scott Piercy",90,16.67,49,294,"BirdieorBetterPercentageRough",2015
39,39,"George McNeill",93,16.61,46,277,"BirdieorBetterPercentageRough",2015
40,40,"Scott Brown",97,16.49,48,291,"BirdieorBetterPercentageRough",2015
41,41,"Brice Garnett",81,16.45,38,231,"BirdieorBetterPercentageRough",2015
42,42,"Seung Yul Noh",65,16.44,37,225,"BirdieorBetterPercentageRough",2015
43,43,"Carlos Ortiz",100,16.4,52,317,"BirdieorBetterPercentageRough",2015
43,43,"Patrick Rodgers",57,16.4,31,189,"BirdieorBetterPercentageRough",2015
45,45,"Max Homa",78,16.35,43,263,"BirdieorBetterPercentageRough",2015
46,46,"Dustin Johnson",75,16.3,37,227,"BirdieorBetterPercentageRough",2015
47,47,"Brian Harman",90,16.21,41,253,"BirdieorBetterPercentageRough",2015
48,48,"Charley Hoffman",97,16.2,46,284,"BirdieorBetterPercentageRough",2015
49,49,"Alex Cejka",94,16.07,45,280,"BirdieorBetterPercentageRough",2015
50,50,"Jim Furyk",71,16,24,150,"BirdieorBetterPercentageRough",2015
51,51,"Scott Pinckney",88,15.91,42,264,"BirdieorBetterPercentageRough",2015
52,52,"Jonas Blixt",78,15.82,31,196,"BirdieorBetterPercentageRough",2015
53,53,"Bill Haas",89,15.81,37,234,"BirdieorBetterPercentageRough",2015
53,53,"Kevin Na",98,15.81,40,253,"BirdieorBetterPercentageRough",2015
55,55,"Brandt Snedeker",98,15.79,45,285,"BirdieorBetterPercentageRough",2015
56,56,"Marc Leishman",74,15.75,40,254,"BirdieorBetterPercentageRough",2015
57,57,"Kevin Kisner",104,15.74,48,305,"BirdieorBetterPercentageRough",2015
58,58,"Aaron Baddeley",76,15.67,42,268,"BirdieorBetterPercentageRough",2015
59,59,"Jonathan Byrd",69,15.61,27,173,"BirdieorBetterPercentageRough",2015
60,60,"Chris Kirk",76,15.59,29,186,"BirdieorBetterPercentageRough",2015
61,61,"Robert Garrigus",70,15.56,35,225,"BirdieorBetterPercentageRough",2015
61,61,"Daniel Summerhays",101,15.56,54,347,"BirdieorBetterPercentageRough",2015
63,63,"Steven Bowditch",103,15.53,59,380,"BirdieorBetterPercentageRough",2015
64,64,"James Hahn",94,15.5,40,258,"BirdieorBetterPercentageRough",2015
65,65,"Boo Weekley",79,15.49,35,226,"BirdieorBetterPercentageRough",2015
66,66,"Matt Kuchar",97,15.36,41,267,"BirdieorBetterPercentageRough",2015
67,67,"Jerry Kelly",79,15.34,29,189,"BirdieorBetterPercentageRough",2015
68,68,"Gary Woodland",81,15.27,31,203,"BirdieorBetterPercentageRough",2015
69,69,"Sangmoon Bae",98,15.24,55,361,"BirdieorBetterPercentageRough",2015
70,70,"Matt Jones",89,15.23,39,256,"BirdieorBetterPercentageRough",2015
71,71,"Charlie Beljan",76,15.18,34,224,"BirdieorBetterPercentageRough",2015
72,72,"Cameron Percy",72,15.11,34,225,"BirdieorBetterPercentageRough",2015
73,73,"Derek Fathauer",81,15.05,45,299,"BirdieorBetterPercentageRough",2015
74,74,"Hudson Swafford",97,14.96,41,274,"BirdieorBetterPercentageRough",2015
75,75,"Jeff Overton",94,14.93,43,288,"BirdieorBetterPercentageRough",2015
76,76,"Hideki Matsuyama",95,14.89,35,235,"BirdieorBetterPercentageRough",2015
76,76,"Andrew Svoboda",80,14.89,39,262,"BirdieorBetterPercentageRough",2015
78,78,"Erik Compton",86,14.86,37,249,"BirdieorBetterPercentageRough",2015
79,79,"Danny Lee",120,14.84,46,310,"BirdieorBetterPercentageRough",2015
80,80,"Padraig Harrington",60,14.75,32,217,"BirdieorBetterPercentageRough",2015
81,81,"Roberto Castro",54,14.68,16,109,"BirdieorBetterPercentageRough",2015
82,82,"Chesson Hadley",101,14.67,49,334,"BirdieorBetterPercentageRough",2015
83,83,"Andres Gonzales",90,14.58,42,288,"BirdieorBetterPercentageRough",2015
83,83,"Justin Rose",69,14.58,21,144,"BirdieorBetterPercentageRough",2015
85,85,"Matt Every",73,14.51,37,255,"BirdieorBetterPercentageRough",2015
86,86,"Sam Saunders",83,14.49,30,207,"BirdieorBetterPercentageRough",2015
86,86,"Nick Watney",91,14.49,40,276,"BirdieorBetterPercentageRough",2015
88,88,"Charl Schwartzel",67,14.48,21,145,"BirdieorBetterPercentageRough",2015
89,89,"Michael Putnam",87,14.4,35,243,"BirdieorBetterPercentageRough",2015
90,90,"SJ Park",79,14.36,27,188,"BirdieorBetterPercentageRough",2015
91,91,"Webb Simpson",81,14.35,30,209,"BirdieorBetterPercentageRough",2015
92,92,"Carl Pettersson",106,14.29,49,343,"BirdieorBetterPercentageRough",2015
92,92,"Will Wilcox",58,14.29,18,126,"BirdieorBetterPercentageRough",2015
94,94,"Russell Knox",96,14.22,33,232,"BirdieorBetterPercentageRough",2015
95,95,"Angel Cabrera",53,14.2,24,169,"BirdieorBetterPercentageRough",2015
96,96,"Jonathan Randolph",72,14.17,35,247,"BirdieorBetterPercentageRough",2015
97,97,"Whee Kim",71,14.14,28,198,"BirdieorBetterPercentageRough",2015
98,98,"Michael Thompson",83,14.13,39,276,"BirdieorBetterPercentageRough",2015
99,99,"David Lingmerth",90,14.11,34,241,"BirdieorBetterPercentageRough",2015
100,100,"Brendon Todd",96,14.1,32,227,"BirdieorBetterPercentageRough",2015
101,101,"Gonzalo Fdez Castano",81,14.08,29,206,"BirdieorBetterPercentageRough",2015
102,102,"Sergio Garcia",59,14.07,19,135,"BirdieorBetterPercentageRough",2015
103,103,"Luke Donald",71,14.02,30,214,"BirdieorBetterPercentageRough",2015
104,104,"Luke Guthrie",84,13.83,35,253,"BirdieorBetterPercentageRough",2015
105,105,"Derek Ernst",75,13.79,32,232,"BirdieorBetterPercentageRough",2015
106,106,"Alex Prugh",84,13.77,34,247,"BirdieorBetterPercentageRough",2015
107,107,"Scott Langley",94,13.72,38,277,"BirdieorBetterPercentageRough",2015
108,108,"Jim Herman",88,13.68,32,234,"BirdieorBetterPercentageRough",2015
109,109,"Kyle Reifers",96,13.67,38,278,"BirdieorBetterPercentageRough",2015
110,110,"Daniel Berger",97,13.64,39,286,"BirdieorBetterPercentageRough",2015
111,111,"Jhonattan Vegas",90,13.62,41,301,"BirdieorBetterPercentageRough",2015
112,112,"Chez Reavie",56,13.56,16,118,"BirdieorBetterPercentageRough",2015
113,113,"Kevin Chappell",86,13.52,33,244,"BirdieorBetterPercentageRough",2015
114,114,"Ricky Barnes",82,13.43,36,268,"BirdieorBetterPercentageRough",2015
115,115,"Bryce Molder",91,13.39,30,224,"BirdieorBetterPercentageRough",2015
116,116,"Harris English",105,13.37,44,329,"BirdieorBetterPercentageRough",2015
117,117,"Mark Wilson",89,13.36,37,277,"BirdieorBetterPercentageRough",2015
118,118,"Jason Bohn",95,13.33,28,210,"BirdieorBetterPercentageRough",2015
119,119,"Retief Goosen",81,13.28,32,241,"BirdieorBetterPercentageRough",2015
119,119,"Vijay Singh",78,13.28,36,271,"BirdieorBetterPercentageRough",2015
121,121,"Hunter Mahan",88,13.24,36,272,"BirdieorBetterPercentageRough",2015
122,122,"Francesco Molinari",56,13.21,14,106,"BirdieorBetterPercentageRough",2015
123,123,"Ryan Moore",81,13.19,24,182,"BirdieorBetterPercentageRough",2015
124,124,"Brian Davis",86,13.14,31,236,"BirdieorBetterPercentageRough",2015
125,125,"Kevin Streelman",95,13.13,26,198,"BirdieorBetterPercentageRough",2015
126,126,"Blayne Barber",76,13.1,30,229,"BirdieorBetterPercentageRough",2015
127,127,"Jimmy Walker",89,13.09,36,275,"BirdieorBetterPercentageRough",2015
128,128,"Greg Chalmers",58,13.08,17,130,"BirdieorBetterPercentageRough",2015
129,129,"Brendon de Jonge",106,13.07,40,306,"BirdieorBetterPercentageRough",2015
130,130,"Bo Van Pelt",81,13.04,30,230,"BirdieorBetterPercentageRough",2015
131,131,"Nick Taylor",91,13.03,43,330,"BirdieorBetterPercentageRough",2015
132,132,"David Hearn",97,12.93,38,294,"BirdieorBetterPercentageRough",2015
133,133,"Ken Duke",93,12.65,31,245,"BirdieorBetterPercentageRough",2015
134,134,"Greg Owen",58,12.58,20,159,"BirdieorBetterPercentageRough",2015
135,135,"Robert Streb",110,12.53,47,375,"BirdieorBetterPercentageRough",2015
136,136,"Ernie Els",57,12.5,20,160,"BirdieorBetterPercentageRough",2015
136,136,"Billy Horschel",99,12.5,30,240,"BirdieorBetterPercentageRough",2015
138,138,"Russell Henley",87,12.33,28,227,"BirdieorBetterPercentageRough",2015
139,139,"Robert Allenby",63,12.27,20,163,"BirdieorBetterPercentageRough",2015
140,140,"Ben Martin",93,12.25,31,253,"BirdieorBetterPercentageRough",2015
141,141,"Rickie Fowler",76,12.24,24,196,"BirdieorBetterPercentageRough",2015
142,142,"Adam Scott",51,12.21,16,131,"BirdieorBetterPercentageRough",2015
143,143,"Colt Knost",90,12.2,25,205,"BirdieorBetterPercentageRough",2015
143,143,"Nicholas Thompson",90,12.2,25,205,"BirdieorBetterPercentageRough",2015
145,145,"Johnson Wagner",68,12.11,23,190,"BirdieorBetterPercentageRough",2015
146,146,"Eric Axley",57,12,21,175,"BirdieorBetterPercentageRough",2015
146,146,"Mark Hubbard",79,12,24,200,"BirdieorBetterPercentageRough",2015
148,148,"William McGirt",103,11.86,35,295,"BirdieorBetterPercentageRough",2015
149,149,"Justin Leonard",61,11.81,17,144,"BirdieorBetterPercentageRough",2015
149,149,"John Peterson",84,11.81,28,237,"BirdieorBetterPercentageRough",2015
151,151,"David Toms",62,11.72,15,128,"BirdieorBetterPercentageRough",2015
152,152,"KJ Choi",66,11.71,24,205,"BirdieorBetterPercentageRough",2015
153,153,"Steve Wheatcroft",87,11.67,30,257,"BirdieorBetterPercentageRough",2015
154,154,"John Huh",102,11.63,30,258,"BirdieorBetterPercentageRough",2015
155,155,"Jon Curran",83,11.54,24,208,"BirdieorBetterPercentageRough",2015
156,156,"Troy Merritt",91,11.4,31,272,"BirdieorBetterPercentageRough",2015
157,157,"Jamie Donaldson",50,11.38,14,123,"BirdieorBetterPercentageRough",2015
158,158,"Chad Collins",79,11.21,25,223,"BirdieorBetterPercentageRough",2015
159,159,"John Senden",80,11.18,17,152,"BirdieorBetterPercentageRough",2015
160,160,"Cameron Tringale",96,11.16,25,224,"BirdieorBetterPercentageRough",2015
161,161,"Chad Campbell",97,11,33,300,"BirdieorBetterPercentageRough",2015
161,161,"Zach Johnson",90,11,22,200,"BirdieorBetterPercentageRough",2015
163,163,"Tyrone Van Aswegen",58,10.88,16,147,"BirdieorBetterPercentageRough",2015
164,164,"Billy Hurley III",83,10.87,25,230,"BirdieorBetterPercentageRough",2015
165,165,"Geoff Ogilvy",50,10.77,14,130,"BirdieorBetterPercentageRough",2015
166,166,"Heath Slocum",57,10.74,13,121,"BirdieorBetterPercentageRough",2015
166,166,"Lee Westwood",56,10.74,13,121,"BirdieorBetterPercentageRough",2015
168,168,"Roger Sloan",56,10.69,17,159,"BirdieorBetterPercentageRough",2015
169,169,"Tim Wilkinson",73,10.5,21,200,"BirdieorBetterPercentageRough",2015
170,170,"Zac Blair",108,10.41,28,269,"BirdieorBetterPercentageRough",2015
171,171,"Andrew Putnam",68,10.38,22,212,"BirdieorBetterPercentageRough",2015
172,172,"Davis Love III",51,10.2,15,147,"BirdieorBetterPercentageRough",2015
173,173,"Steven Alker",62,10,14,140,"BirdieorBetterPercentageRough",2015
174,174,"Byron Smith",59,9.94,18,181,"BirdieorBetterPercentageRough",2015
175,175,"Ian Poulter",68,9.87,15,152,"BirdieorBetterPercentageRough",2015
176,176,"Jim Renner",68,9.72,21,216,"BirdieorBetterPercentageRough",2015
177,177,"Chris Stroud",84,9.59,21,219,"BirdieorBetterPercentageRough",2015
178,178,"Bill Lunde",50,9.38,12,128,"BirdieorBetterPercentageRough",2015
179,179,"Graham DeLaet",65,9.25,16,173,"BirdieorBetterPercentageRough",2015
179,179,"Spencer Levin",99,9.25,21,227,"BirdieorBetterPercentageRough",2015
181,181,"Lucas Glover",79,9.01,21,233,"BirdieorBetterPercentageRough",2015
