"Approachesfrom250275yards_RANKTHISWEEK_2006","Approachesfrom250275yards_RANKLASTWEEK_2006","Approachesfrom250275yards_PLAYERNAME_2006","Approachesfrom250275yards_ROUNDS_2006","Approachesfrom250275yards_AVG_2006","Approachesfrom250275yards_TOTALDISTANCEFEET_2006","Approachesfrom250275yards_OFATTEMPTS_2006","Approachesfrom250275yards_RELATIVETOPAR_2006","stat_name","year"
1,1,"James Driscoll",80,NA,623.917,14,-6,"Approachesfrom250275yards",2006
2,2,"Jason Schultz",77,NA,1564.917,33,-27,"Approachesfrom250275yards",2006
3,3,"Robert Garrigus",85,NA,1553.167,31,-13,"Approachesfrom250275yards",2006
4,4,"Chad Campbell",91,NA,1356.25,26,-11,"Approachesfrom250275yards",2006
5,5,"JB Holmes",81,NA,1157.5,22,-17,"Approachesfrom250275yards",2006
6,6,"Jonathan Byrd",66,NA,904.833,17,-9,"Approachesfrom250275yards",2006
7,7,"Len Mattiace",59,NA,1038.25,19,-9,"Approachesfrom250275yards",2006
8,8,"Phil Mickelson",74,NA,1442.583,26,-14,"Approachesfrom250275yards",2006
8,8,"Adam Scott",70,NA,1109.25,20,-9,"Approachesfrom250275yards",2006
10,10,"Retief Goosen",68,NA,1278.917,23,-12,"Approachesfrom250275yards",2006
11,11,"Stewart Cink",93,NA,1800.75,32,-21,"Approachesfrom250275yards",2006
12,12,"Craig Barlow",77,NA,1809.083,32,-22,"Approachesfrom250275yards",2006
13,13,"Lucas Glover",105,NA,2569.25,45,-25,"Approachesfrom250275yards",2006
14,14,"Stuart Appleby",83,NA,1601.5,28,-14,"Approachesfrom250275yards",2006
14,14,"Tim Herron",82,NA,1143.333,20,-9,"Approachesfrom250275yards",2006
16,16,"Mathias Gronberg",92,NA,1662.833,29,-13,"Approachesfrom250275yards",2006
17,17,"Brandt Jobe",91,NA,1795.667,31,-15,"Approachesfrom250275yards",2006
18,18,"Bill Haas",99,NA,1751,30,-18,"Approachesfrom250275yards",2006
18,18,"Davis Love III",85,NA,1576.083,27,-7,"Approachesfrom250275yards",2006
20,20,"Kris Cox",83,NA,1520.667,26,-14,"Approachesfrom250275yards",2006
20,20,"Mike Sposa",68,NA,1287.25,22,-15,"Approachesfrom250275yards",2006
22,22,"Tiger Woods",55,NA,999.333,17,-11,"Approachesfrom250275yards",2006
23,23,"Patrick Sheehan",104,NA,2000.583,34,-16,"Approachesfrom250275yards",2006
24,24,"Thomas Levet",53,NA,1306.25,22,-8,"Approachesfrom250275yards",2006
25,25,"DJ Trahan",92,NA,2205.917,37,-21,"Approachesfrom250275yards",2006
26,26,"Nathan Green",108,NA,2809.75,47,-26,"Approachesfrom250275yards",2006
26,26,"Rod Pampling",89,NA,1434.833,24,-9,"Approachesfrom250275yards",2006
28,28,"Wes Short Jr",96,NA,1794.083,30,-19,"Approachesfrom250275yards",2006
29,29,"Michael Allen",84,NA,1319.333,22,-13,"Approachesfrom250275yards",2006
30,30,"Brett Wetterich",82,NA,1686.25,28,-13,"Approachesfrom250275yards",2006
31,31,"Lee Janzen",79,NA,1568.667,26,-12,"Approachesfrom250275yards",2006
32,32,"Charles Warren",93,NA,2053,34,-16,"Approachesfrom250275yards",2006
33,33,"Aaron Baddeley",78,NA,1394.083,23,-12,"Approachesfrom250275yards",2006
33,33,"Bo Van Pelt",102,NA,2120.333,35,-22,"Approachesfrom250275yards",2006
35,35,"Rory Sabbatini",84,NA,1274.833,21,-7,"Approachesfrom250275yards",2006
36,36,"Shaun Micheel",96,NA,1823.5,30,-14,"Approachesfrom250275yards",2006
37,37,"Jonathan Kaye",95,NA,2133.25,35,-21,"Approachesfrom250275yards",2006
37,37,"Duffy Waldorf",96,NA,2496.417,41,-24,"Approachesfrom250275yards",2006
39,39,"Chris Smith",67,NA,1768.083,29,-19,"Approachesfrom250275yards",2006
40,40,"Scott Gutschewski",53,NA,1221,20,-7,"Approachesfrom250275yards",2006
41,41,"Daniel Chopra",110,NA,1348.75,22,-14,"Approachesfrom250275yards",2006
42,42,"Robert Damron",91,NA,2340.667,38,-20,"Approachesfrom250275yards",2006
43,43,"KJ Choi",93,NA,1911.833,31,-16,"Approachesfrom250275yards",2006
43,43,"Stephen Leaney",84,NA,1972.25,32,-16,"Approachesfrom250275yards",2006
45,45,"Ben Crane",85,NA,990.917,16,-11,"Approachesfrom250275yards",2006
46,46,"Rich Beem",85,NA,1495,24,-8,"Approachesfrom250275yards",2006
47,47,"Sergio Garcia",59,NA,1315.5,21,-9,"Approachesfrom250275yards",2006
47,47,"Geoff Ogilvy",76,NA,1315.5,21,-14,"Approachesfrom250275yards",2006
49,49,"Ted Purdy",103,NA,2572.167,41,-22,"Approachesfrom250275yards",2006
50,50,"Jason Bohn",104,NA,2891.917,46,-28,"Approachesfrom250275yards",2006
50,50,"Jeff Brehaut",100,NA,2323.583,37,-14,"Approachesfrom250275yards",2006
52,52,"Charley Hoffman",100,NA,3398.333,54,-32,"Approachesfrom250275yards",2006
53,53,"Ryan Moore",68,NA,1575.833,25,-18,"Approachesfrom250275yards",2006
54,54,"Vijay Singh",103,NA,2401.167,38,-18,"Approachesfrom250275yards",2006
55,55,"Luke Donald",66,NA,1265.417,20,-10,"Approachesfrom250275yards",2006
55,55,"Jesper Parnevik",84,NA,2277,36,-24,"Approachesfrom250275yards",2006
55,55,"John Senden",96,NA,1328.667,21,-9,"Approachesfrom250275yards",2006
58,58,"Stephen Ames",63,NA,1206.167,19,-10,"Approachesfrom250275yards",2006
59,59,"Ernie Els",69,NA,1338.417,21,-10,"Approachesfrom250275yards",2006
59,59,"David Toms",76,NA,1401.833,22,-14,"Approachesfrom250275yards",2006
