"DrivingAccuracyPercentage_RANKTHISWEEK_2011","DrivingAccuracyPercentage_RANKLASTWEEK_2011","DrivingAccuracyPercentage_PLAYERNAME_2011","DrivingAccuracyPercentage_ROUNDS_2011","DrivingAccuracyPercentage_Pct_2011","DrivingAccuracyPercentage_FAIRWAYSHIT_2011","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2011","stat_name","year"
1,1,"Joe Durant",71,75.65,727,961,"DrivingAccuracyPercentage",2011
2,2,"Heath Slocum",89,74.92,923,1232,"DrivingAccuracyPercentage",2011
3,3,"Jerry Kelly",85,73.3,818,1116,"DrivingAccuracyPercentage",2011
4,4,"Brian Gay",90,72.77,871,1197,"DrivingAccuracyPercentage",2011
5,5,"Ben Curtis",66,71.91,663,922,"DrivingAccuracyPercentage",2011
6,6,"David Toms",78,71.82,739,1029,"DrivingAccuracyPercentage",2011
7,7,"Nick OHern",89,71.67,850,1186,"DrivingAccuracyPercentage",2011
8,8,"Zach Johnson",79,71.06,776,1092,"DrivingAccuracyPercentage",2011
9,9,"Billy Mayfair",94,70.41,885,1257,"DrivingAccuracyPercentage",2011
10,10,"Brian Davis",105,70.33,1029,1463,"DrivingAccuracyPercentage",2011
11,11,"Aron Price",58,70.29,511,727,"DrivingAccuracyPercentage",2011
12,12,"Chris Riley",76,70.19,704,1003,"DrivingAccuracyPercentage",2011
13,13,"Justin Hicks",60,69.88,508,727,"DrivingAccuracyPercentage",2011
14,14,"Steve Elkington",50,69.58,485,697,"DrivingAccuracyPercentage",2011
15,15,"Paul Goydos",81,69,779,1129,"DrivingAccuracyPercentage",2011
16,16,"Rocco Mediate",53,68.91,512,743,"DrivingAccuracyPercentage",2011
17,17,"Briny Baird",60,68.74,519,755,"DrivingAccuracyPercentage",2011
18,18,"Jim Furyk",87,68,818,1203,"DrivingAccuracyPercentage",2011
19,19,"Garrett Willis",71,67.85,652,961,"DrivingAccuracyPercentage",2011
20,20,"Mark Wilson",89,67.63,819,1211,"DrivingAccuracyPercentage",2011
21,21,"Jason Bohn",74,67.48,664,984,"DrivingAccuracyPercentage",2011
22,22,"Stephen Ames",69,67.44,611,906,"DrivingAccuracyPercentage",2011
23,23,"Johnson Wagner",81,67.35,724,1075,"DrivingAccuracyPercentage",2011
24,24,"Chez Reavie",92,67.32,863,1282,"DrivingAccuracyPercentage",2011
25,25,"John Merrick",71,67.31,593,881,"DrivingAccuracyPercentage",2011
26,26,"Ben Crane",76,67.06,688,1026,"DrivingAccuracyPercentage",2011
27,27,"Shane Bertsch",62,67.05,525,783,"DrivingAccuracyPercentage",2011
28,28,"John Rollins",85,66.84,772,1155,"DrivingAccuracyPercentage",2011
29,29,"David Mathis",83,66.82,719,1076,"DrivingAccuracyPercentage",2011
29,29,"John Senden",94,66.82,876,1311,"DrivingAccuracyPercentage",2011
31,31,"Boo Weekley",66,66.74,578,866,"DrivingAccuracyPercentage",2011
32,32,"Rod Pampling",72,66.7,597,895,"DrivingAccuracyPercentage",2011
33,33,"Chris DiMarco",93,66.67,828,1242,"DrivingAccuracyPercentage",2011
34,34,"Bryce Molder",82,66.46,741,1115,"DrivingAccuracyPercentage",2011
35,35,"DA Points",89,66.45,826,1243,"DrivingAccuracyPercentage",2011
36,36,"JJ Henry",96,66.43,851,1281,"DrivingAccuracyPercentage",2011
37,37,"Alex Cejka",59,66.42,544,819,"DrivingAccuracyPercentage",2011
38,38,"Graeme McDowell",50,66.31,439,662,"DrivingAccuracyPercentage",2011
39,39,"Billy Horschel",75,66.22,637,962,"DrivingAccuracyPercentage",2011
40,40,"Woody Austin",59,66.21,488,737,"DrivingAccuracyPercentage",2011
41,41,"Kent Jones",76,66.13,654,989,"DrivingAccuracyPercentage",2011
42,42,"Colt Knost",80,66.02,682,1033,"DrivingAccuracyPercentage",2011
43,43,"Brandt Jobe",100,65.87,882,1339,"DrivingAccuracyPercentage",2011
44,44,"Jason Dufner",78,65.81,714,1085,"DrivingAccuracyPercentage",2011
45,45,"Blake Adams",116,65.79,1027,1561,"DrivingAccuracyPercentage",2011
45,45,"Michael Connell",76,65.79,698,1061,"DrivingAccuracyPercentage",2011
47,47,"Justin Leonard",82,65.29,745,1141,"DrivingAccuracyPercentage",2011
48,48,"Dean Wilson",62,65.27,562,861,"DrivingAccuracyPercentage",2011
49,49,"Chris Couch",73,64.96,660,1016,"DrivingAccuracyPercentage",2011
50,50,"Brendan Steele",89,64.83,787,1214,"DrivingAccuracyPercentage",2011
51,51,"Ian Poulter",52,64.76,465,718,"DrivingAccuracyPercentage",2011
52,52,"Matt Kuchar",94,64.75,799,1234,"DrivingAccuracyPercentage",2011
53,53,"Tim Petrovic",88,64.73,758,1171,"DrivingAccuracyPercentage",2011
54,54,"Scott McCarron",65,64.63,550,851,"DrivingAccuracyPercentage",2011
55,55,"Matt McQuillan",59,64.45,495,768,"DrivingAccuracyPercentage",2011
56,56,"JP Hayes",56,64.36,484,752,"DrivingAccuracyPercentage",2011
57,57,"Luke Donald",73,64.29,603,938,"DrivingAccuracyPercentage",2011
58,58,"Vaughn Taylor",89,64.22,797,1241,"DrivingAccuracyPercentage",2011
59,59,"Tom Gillis",55,64.11,493,769,"DrivingAccuracyPercentage",2011
60,60,"Brendon de Jonge",105,64.04,901,1407,"DrivingAccuracyPercentage",2011
