"GIRPercentageLess125yards_RANKTHISWEEK_2005","GIRPercentageLess125yards_RANKLASTWEEK_2005","GIRPercentageLess125yards_PLAYERNAME_2005","GIRPercentageLess125yards_ROUNDS_2005","GIRPercentageLess125yards_Pct_2005","GIRPercentageLess125yards_GREENSHIT_2005","GIRPercentageLess125yards_TOTALHOLES_2005","GIRPercentageLess125yards_RELATIVETOPAR_2005","stat_name","year"
1,1,"Tom Lehman",69,87.85,217,247,-0.36,"GIRPercentageLess125yards",2005
2,2,"David Toms",87,86.4,305,353,-0.43,"GIRPercentageLess125yards",2005
3,3,"Joe Durant",81,86.11,341,396,-0.37,"GIRPercentageLess125yards",2005
4,4,"Luke Donald",67,86.03,154,179,-0.42,"GIRPercentageLess125yards",2005
5,5,"Paul Claxton",79,85.63,298,348,-0.36,"GIRPercentageLess125yards",2005
6,6,"Glen Hnatiuk",59,85.61,232,271,-0.4,"GIRPercentageLess125yards",2005
7,7,"Dan Forsman",52,85.31,244,286,-0.43,"GIRPercentageLess125yards",2005
8,8,"Heath Slocum",103,85.04,432,508,-0.38,"GIRPercentageLess125yards",2005
9,9,"Stuart Appleby",84,84.48,332,393,-0.41,"GIRPercentageLess125yards",2005
10,10,"Steve Elkington",67,84.47,261,309,-0.4,"GIRPercentageLess125yards",2005
10,10,"Charles Howell III",95,84.47,370,438,-0.49,"GIRPercentageLess125yards",2005
12,12,"Brian Davis",75,84.45,315,373,-0.46,"GIRPercentageLess125yards",2005
13,13,"Tommy Armour III",103,84.43,423,501,-0.37,"GIRPercentageLess125yards",2005
14,14,"Robert Allenby",95,84.35,361,428,-0.42,"GIRPercentageLess125yards",2005
15,15,"Olin Browne",99,84.34,377,447,-0.37,"GIRPercentageLess125yards",2005
16,16,"Scott Verplank",87,84.24,278,330,-0.47,"GIRPercentageLess125yards",2005
17,17,"Hidemichi Tanaka",106,84.08,449,534,-0.37,"GIRPercentageLess125yards",2005
18,18,"Stephen Leaney",89,84.03,321,382,-0.43,"GIRPercentageLess125yards",2005
19,19,"Craig Barlow",81,83.99,341,406,-0.37,"GIRPercentageLess125yards",2005
20,20,"Loren Roberts",54,83.98,173,206,-0.38,"GIRPercentageLess125yards",2005
21,21,"Chad Campbell",95,83.87,338,403,-0.44,"GIRPercentageLess125yards",2005
22,22,"Tjaart van der Walt",56,83.69,272,325,-0.36,"GIRPercentageLess125yards",2005
23,23,"Chris DiMarco",83,83.64,271,324,-0.43,"GIRPercentageLess125yards",2005
24,24,"Carl Pettersson",109,83.59,433,518,-0.42,"GIRPercentageLess125yards",2005
25,25,"John Cook",72,83.57,239,286,-0.37,"GIRPercentageLess125yards",2005
26,26,"Tim Clark",92,83.51,314,376,-0.44,"GIRPercentageLess125yards",2005
26,26,"Skip Kendall",80,83.51,309,370,-0.36,"GIRPercentageLess125yards",2005
28,28,"Vijay Singh",111,83.49,521,624,-0.48,"GIRPercentageLess125yards",2005
29,29,"Vaughn Taylor",99,83.39,462,554,-0.45,"GIRPercentageLess125yards",2005
30,30,"Jim Furyk",94,83.38,296,355,-0.43,"GIRPercentageLess125yards",2005
30,30,"Dudley Hart",84,83.38,306,367,-0.42,"GIRPercentageLess125yards",2005
32,32,"JL Lewis",98,83.37,396,475,-0.39,"GIRPercentageLess125yards",2005
33,33,"Billy Mayfair",114,83.33,430,516,-0.5,"GIRPercentageLess125yards",2005
34,34,"Tim Petrovic",97,83.18,356,428,-0.42,"GIRPercentageLess125yards",2005
