"LongestHoleOutsinyards_RANKTHISWEEK_2013","LongestHoleOutsinyards_RANKLASTWEEK_2013","LongestHoleOutsinyards_PLAYERNAME_2013","LongestHoleOutsinyards_ROUNDS_2013","LongestHoleOutsinyards_DISTANCE_2013","LongestHoleOutsinyards_TOURNAMENT_2013","LongestHoleOutsinyards_ROUNDCOURSE_2013","LongestHoleOutsinyards_HOLE_2013","stat_name","year"
1,1,"Luke List",65,255,NA,4,13,"LongestHoleOutsinyards",2013
2,2,"Michael Thompson",66,231,NA,1,8,"LongestHoleOutsinyards",2013
4,4,"Kevin Chappell",80,217,NA,2,14,"LongestHoleOutsinyards",2013
5,5,"Jerry Kelly",75,216,NA,2,14,"LongestHoleOutsinyards",2013
6,6,"Jonas Blixt",76,210,NA,1,6,"LongestHoleOutsinyards",2013
6,7,"Hunter Mahan",91,210,NA,3,17,"LongestHoleOutsinyards",2013
8,8,"Andres Gonzales",42,205,NA,3,14,"LongestHoleOutsinyards",2013
8,9,"Joey Snyder III",38,205,NA,2,8,"LongestHoleOutsinyards",2013
10,10,"Brian Stuard",78,204,NA,1,8,"LongestHoleOutsinyards",2013
11,11,"Greg Chalmers",77,199,NA,4,16,"LongestHoleOutsinyards",2013
12,12,"Bobby Gates",49,194,NA,4,13,"LongestHoleOutsinyards",2013
13,13,"Robert Allenby",58,193,NA,2,7,"LongestHoleOutsinyards",2013
14,14,"John Huh",88,188,NA,1,10,"LongestHoleOutsinyards",2013
15,15,"Chris Stroud",88,186,NA,3,13,"LongestHoleOutsinyards",2013
16,16,"Darron Stiles",51,185,NA,2,7,"LongestHoleOutsinyards",2013
17,17,"Louis Oosthuizen",30,184,NA,4,2,"LongestHoleOutsinyards",2013
18,18,"Harris English",95,181,NA,2,5,"LongestHoleOutsinyards",2013
19,19,"Chris Kirk",89,180,NA,1,3,"LongestHoleOutsinyards",2013
20,20,"John Merrick",79,179,NA,2,7,"LongestHoleOutsinyards",2013
21,21,"Brad Fritsch",81,177,NA,4,18,"LongestHoleOutsinyards",2013
21,22,"Tim Herron",45,177,NA,3,5,"LongestHoleOutsinyards",2013
23,23,"Charl Schwartzel",69,176,NA,2,2,"LongestHoleOutsinyards",2013
24,24,"Tommy Gainey",84,175,NA,1,18,"LongestHoleOutsinyards",2013
25,25,"Marc Leishman",77,172,NA,2,18,"LongestHoleOutsinyards",2013
26,26,"Keegan Bradley",88,170,NA,4,7,"LongestHoleOutsinyards",2013
27,27,"Charles Howell III",87,169,NA,1,1,"LongestHoleOutsinyards",2013
27,29,"Charley Hoffman",84,169,NA,1,10,"LongestHoleOutsinyards",2013
30,30,"James Driscoll",76,168,NA,1,15,"LongestHoleOutsinyards",2013
31,31,"Rory McIlroy",56,164,NA,4,12,"LongestHoleOutsinyards",2013
32,32,"Billy Horschel",96,163,NA,2,16,"LongestHoleOutsinyards",2013
33,33,"Eric Meierdierks",48,162,NA,3,8,"LongestHoleOutsinyards",2013
35,35,"Gary Woodland",94,161,NA,3,18,"LongestHoleOutsinyards",2013
36,36,"Zach Johnson",84,160,NA,2,11,"LongestHoleOutsinyards",2013
36,37,"George McNeill",68,160,NA,2,15,"LongestHoleOutsinyards",2013
39,39,"Jason Kokrak",78,158,NA,3,4,"LongestHoleOutsinyards",2013
39,40,"Roberto Castro",97,158,NA,3,18,"LongestHoleOutsinyards",2013
39,41,"Ryan Blaum",8,158,NA,1,15,"LongestHoleOutsinyards",2013
39,42,"Jason Dufner",78,158,NA,1,18,"LongestHoleOutsinyards",2013
43,43,"Ben Crane",62,157,NA,4,11,"LongestHoleOutsinyards",2013
44,44,"Cameron Beckman",20,156,NA,3,10,"LongestHoleOutsinyards",2013
44,45,"Mark Wilson",56,156,NA,4,9,"LongestHoleOutsinyards",2013
48,48,"Chris DiMarco",33,153,NA,2,10,"LongestHoleOutsinyards",2013
48,49,"Richard Lee",81,153,NA,4,15,"LongestHoleOutsinyards",2013
48,50,"Doug LaBelle II",72,153,NA,4,1,"LongestHoleOutsinyards",2013
51,51,"Paul Haley II",44,151,NA,1,16,"LongestHoleOutsinyards",2013
52,52,"Peter Tomasulo",36,149,NA,2,11,"LongestHoleOutsinyards",2013
52,53,"Russell Henley",80,149,NA,2,9,"LongestHoleOutsinyards",2013
52,54,"Scott Harrington",4,149,NA,3,12,"LongestHoleOutsinyards",2013
55,55,"Pat Perez",69,148,NA,2,3,"LongestHoleOutsinyards",2013
55,56,"Arjun Atwal",20,148,NA,1,13,"LongestHoleOutsinyards",2013
57,57,"David Hearn",88,147,NA,1,1,"LongestHoleOutsinyards",2013
58,58,"Nick Watney",88,146,NA,1,4,"LongestHoleOutsinyards",2013
58,59,"Chez Reavie",72,146,NA,3,3,"LongestHoleOutsinyards",2013
60,60,"Camilo Villegas",79,145,NA,2,6,"LongestHoleOutsinyards",2013
61,61,"Carl Pettersson",82,143,NA,2,7,"LongestHoleOutsinyards",2013
63,63,"Tag Ridings",69,142,NA,1,3,"LongestHoleOutsinyards",2013
63,64,"Patrick Reed",83,142,NA,2,5,"LongestHoleOutsinyards",2013
67,67,"Zack Fischer",10,139,NA,3,18,"LongestHoleOutsinyards",2013
68,68,"Nick OHern",34,138,NA,2,13,"LongestHoleOutsinyards",2013
