"SmashFactor_RANKTHISWEEK_2010","SmashFactor_RANKLASTWEEK_2010","SmashFactor_PLAYERNAME_2010","SmashFactor_ROUNDS_2010","SmashFactor_AVG_2010","SmashFactor_TOTALSMASHFACTOR_2010","SmashFactor_TOTALATTEMPTS_2010","SmashFactor_HIGHESTVALUE_2010","SmashFactor_LOWESTVALUE_2010","stat_name","year"
1,1,"Padraig Harrington",57,1.482,69.633,47,1.485,1.435,"SmashFactor",2010
1,1,"Steve Marino",81,1.482,100.76,68,1.485,1.451,"SmashFactor",2010
1,1,"Bo Van Pelt",104,1.482,117.083,79,1.485,1.445,"SmashFactor",2010
4,4,"Robert Allenby",76,1.481,91.803,62,1.5,1.439,"SmashFactor",2010
4,4,"Alex Cejka",81,1.481,87.365,59,1.485,1.435,"SmashFactor",2010
4,4,"Stewart Cink",84,1.481,103.656,70,1.485,1.421,"SmashFactor",2010
4,4,"Retief Goosen",75,1.481,77.003,52,1.5,1.439,"SmashFactor",2010
4,4,"Mathias Gronberg",61,1.481,59.224,40,1.489,1.441,"SmashFactor",2010
4,4,"Jeff Maggert",76,1.481,88.86,60,1.485,1.441,"SmashFactor",2010
4,4,"Ryan Palmer",84,1.481,108.136,73,1.514,1.437,"SmashFactor",2010
4,4,"Heath Slocum",97,1.481,117.003,79,1.491,1.433,"SmashFactor",2010
4,4,"Omar Uresti",74,1.481,81.477,55,1.487,1.439,"SmashFactor",2010
13,13,"Justin Bolli",55,1.48,56.232,38,1.485,1.447,"SmashFactor",2010
13,13,"Jason Dufner",87,1.48,97.658,66,1.485,1.441,"SmashFactor",2010
13,13,"Steve Elkington",74,1.48,76.936,52,1.485,1.441,"SmashFactor",2010
13,13,"Brad Faxon",58,1.48,68.058,46,1.487,1.443,"SmashFactor",2010
13,13,"JP Hayes",79,1.48,96.209,65,1.485,1.435,"SmashFactor",2010
13,13,"Tim Herron",79,1.48,85.824,58,1.489,1.445,"SmashFactor",2010
13,13,"JB Holmes",100,1.48,106.525,72,1.5,1.441,"SmashFactor",2010
13,13,"Martin Laird",91,1.48,112.45,76,1.487,1.429,"SmashFactor",2010
13,13,"Derek Lamely",81,1.48,85.828,58,1.485,1.433,"SmashFactor",2010
13,13,"John Mallinger",78,1.48,73.991,50,1.49,1.437,"SmashFactor",2010
13,13,"Carl Pettersson",99,1.48,133.194,90,1.485,1.437,"SmashFactor",2010
13,13,"Aron Price",70,1.48,72.497,49,1.485,1.445,"SmashFactor",2010
13,13,"Chris Riley",73,1.48,85.812,58,1.495,1.439,"SmashFactor",2010
13,13,"Rory Sabbatini",79,1.48,82.901,56,1.485,1.437,"SmashFactor",2010
13,13,"Vijay Singh",75,1.48,90.275,61,1.485,1.439,"SmashFactor",2010
13,13,"Jeev Milkha Singh",59,1.48,50.318,34,1.485,1.443,"SmashFactor",2010
13,13,"Brian Stuard",81,1.48,102.145,69,1.485,1.429,"SmashFactor",2010
13,13,"David Toms",86,1.48,102.131,69,1.485,1.439,"SmashFactor",2010
31,31,"Matt Bettencourt",91,1.479,75.419,51,1.485,1.443,"SmashFactor",2010
31,31,"KJ Choi",82,1.479,90.245,61,1.487,1.425,"SmashFactor",2010
31,31,"Tim Clark",88,1.479,100.6,68,1.485,1.445,"SmashFactor",2010
31,31,"David Duval",71,1.479,57.675,39,1.487,1.443,"SmashFactor",2010
31,31,"Dustin Johnson",83,1.479,96.131,65,1.485,1.427,"SmashFactor",2010
31,31,"Spencer Levin",110,1.479,124.23,84,1.487,1.441,"SmashFactor",2010
31,31,"Bill Lunde",79,1.479,87.251,59,1.485,1.443,"SmashFactor",2010
31,31,"David Lutterus",69,1.479,72.453,49,1.485,1.445,"SmashFactor",2010
31,31,"Jarrod Lyle",54,1.479,60.619,41,1.485,1.439,"SmashFactor",2010
31,31,"Hunter Mahan",85,1.479,109.44,74,1.485,1.435,"SmashFactor",2010
31,31,"Billy Mayfair",78,1.479,81.319,55,1.485,1.441,"SmashFactor",2010
31,31,"Shaun Micheel",70,1.479,69.493,47,1.485,1.433,"SmashFactor",2010
31,31,"Garth Mulroy",53,1.479,54.717,37,1.485,1.443,"SmashFactor",2010
31,31,"Sean OHair",84,1.479,103.538,70,1.495,1.441,"SmashFactor",2010
31,31,"Joe Ogilvie",99,1.479,119.836,81,1.5,1.439,"SmashFactor",2010
31,31,"Jeff Overton",89,1.479,103.529,70,1.5,1.437,"SmashFactor",2010
31,31,"Greg Owen",69,1.479,88.734,60,1.487,1.443,"SmashFactor",2010
31,31,"Rod Pampling",77,1.479,90.209,61,1.485,1.441,"SmashFactor",2010
31,31,"Brett Quigley",96,1.479,115.396,78,1.487,1.431,"SmashFactor",2010
31,31,"John Rollins",81,1.479,109.472,74,1.485,1.445,"SmashFactor",2010
31,31,"Chris Stroud",90,1.479,90.19,61,1.485,1.437,"SmashFactor",2010
31,31,"Kevin Sutherland",86,1.479,109.416,74,1.491,1.429,"SmashFactor",2010
31,31,"Steve Wheatcroft",74,1.479,69.519,47,1.485,1.423,"SmashFactor",2010
54,54,"Blake Adams",84,1.478,101.977,69,1.485,1.441,"SmashFactor",2010
54,54,"Jason Bohn",84,1.478,118.262,80,1.491,1.433,"SmashFactor",2010
54,54,"Craig Bowden",56,1.478,54.693,37,1.489,1.439,"SmashFactor",2010
54,54,"Angel Cabrera",64,1.478,82.742,56,1.485,1.437,"SmashFactor",2010
54,54,"Michael Connell",89,1.478,104.943,71,1.491,1.419,"SmashFactor",2010
54,54,"Jason Day",82,1.478,96.091,65,1.485,1.433,"SmashFactor",2010
54,54,"Bob Estes",79,1.478,94.562,64,1.485,1.443,"SmashFactor",2010
54,54,"Lucas Glover",75,1.478,88.67,60,1.485,1.453,"SmashFactor",2010
54,54,"Paul Goydos",78,1.478,100.536,68,1.485,1.445,"SmashFactor",2010
54,54,"Lee Janzen",77,1.478,87.225,59,1.489,1.437,"SmashFactor",2010
54,54,"Cliff Kresge",50,1.478,51.715,35,1.485,1.445,"SmashFactor",2010
54,54,"Will Ma Kenzie",72,1.478,88.664,60,1.499,1.435,"SmashFactor",2010
54,54,"Troy Merritt",86,1.478,100.526,68,1.485,1.439,"SmashFactor",2010
54,54,"Bryce Molder",84,1.478,107.89,73,1.485,1.441,"SmashFactor",2010
