"FairwayApproachRTPScore_RANKTHISWEEK_2006","FairwayApproachRTPScore_RANKLASTWEEK_2006","FairwayApproachRTPScore_PLAYERNAME_2006","FairwayApproachRTPScore_ROUNDS_2006","FairwayApproachRTPScore_AVGRTP_2006","stat_name","year"
1,1,"Tiger Woods",55,-0.203,"FairwayApproachRTPScore",2006
2,2,"Jim Furyk",89,-0.172,"FairwayApproachRTPScore",2006
3,3,"Steve Stricker",64,-0.156,"FairwayApproachRTPScore",2006
4,4,"Phil Mickelson",74,-0.144,"FairwayApproachRTPScore",2006
5,5,"Adam Scott",70,-0.143,"FairwayApproachRTPScore",2006
6,6,"Luke Donald",66,-0.133,"FairwayApproachRTPScore",2006
7,7,"Trevor Immelman",86,-0.126,"FairwayApproachRTPScore",2006
8,8,"Stewart Cink",93,-0.118,"FairwayApproachRTPScore",2006
8,8,"Brett Quigley",109,-0.118,"FairwayApproachRTPScore",2006
10,10,"Padraig Harrington",54,-0.117,"FairwayApproachRTPScore",2006
11,11,"Davis Love III",85,-0.116,"FairwayApproachRTPScore",2006
12,12,"Ernie Els",69,-0.114,"FairwayApproachRTPScore",2006
13,13,"Lucas Glover",105,-0.113,"FairwayApproachRTPScore",2006
14,14,"Jonathan Byrd",66,-0.112,"FairwayApproachRTPScore",2006
15,15,"Stephen Ames",63,-0.111,"FairwayApproachRTPScore",2006
15,15,"Charley Hoffman",100,-0.111,"FairwayApproachRTPScore",2006
17,17,"Rod Pampling",89,-0.109,"FairwayApproachRTPScore",2006
18,18,"David Howell",52,-0.108,"FairwayApproachRTPScore",2006
19,19,"Frank Lickliter II",99,-0.104,"FairwayApproachRTPScore",2006
19,19,"David Toms",76,-0.104,"FairwayApproachRTPScore",2006
19,19,"Brett Wetterich",82,-0.104,"FairwayApproachRTPScore",2006
22,22,"Jerry Kelly",100,-0.103,"FairwayApproachRTPScore",2006
22,22,"Justin Rose",98,-0.103,"FairwayApproachRTPScore",2006
24,24,"Vijay Singh",103,-0.102,"FairwayApproachRTPScore",2006
24,24,"Bubba Watson",83,-0.102,"FairwayApproachRTPScore",2006
26,26,"Richard Johnson",94,-0.101,"FairwayApproachRTPScore",2006
26,26,"Arron Oberholser",82,-0.101,"FairwayApproachRTPScore",2006
