"SmashFactor_RANKTHISWEEK_2008","SmashFactor_RANKLASTWEEK_2008","SmashFactor_PLAYERNAME_2008","SmashFactor_ROUNDS_2008","SmashFactor_AVG_2008","SmashFactor_TOTALSMASHFACTOR_2008","SmashFactor_TOTALATTEMPTS_2008","SmashFactor_HIGHESTVALUE_2008","SmashFactor_LOWESTVALUE_2008","stat_name","year"
1,1,"David Toms",70,1.478,79.795,54,1.516,1.463,"SmashFactor",2008
2,2,"Shane Bertsch",96,1.477,131.465,89,1.493,1.447,"SmashFactor",2008
2,2,"Scott Sterling",89,1.477,97.498,66,1.5,1.447,"SmashFactor",2008
4,4,"Rich Beem",90,1.476,107.734,73,1.504,1.451,"SmashFactor",2008
4,4,"Todd Demsey",80,1.476,97.433,66,1.51,1.457,"SmashFactor",2008
4,4,"Steve Flesch",95,1.476,119.525,81,1.518,1.447,"SmashFactor",2008
4,4,"Mathew Goggin",91,1.476,104.803,71,1.504,1.457,"SmashFactor",2008
4,4,"JP Hayes",67,1.476,90.051,61,1.493,1.461,"SmashFactor",2008
4,4,"John Huston",56,1.476,66.442,45,1.5,1.445,"SmashFactor",2008
4,4,"Richard Johnson",77,1.476,90.036,61,1.514,1.433,"SmashFactor",2008
4,4,"Craig Kanada",65,1.476,72.307,49,1.495,1.465,"SmashFactor",2008
4,4,"Brenden Pappas",66,1.476,63.457,43,1.497,1.453,"SmashFactor",2008
4,4,"Chris Riley",51,1.476,47.225,32,1.502,1.463,"SmashFactor",2008
4,4,"Bubba Watson",97,1.476,98.895,67,1.504,1.459,"SmashFactor",2008
4,4,"Tim Wilkinson",95,1.476,110.713,75,1.516,1.461,"SmashFactor",2008
4,4,"Jay Williamson",96,1.476,100.348,68,1.487,1.463,"SmashFactor",2008
17,17,"Robert Allenby",108,1.475,119.492,81,1.5,1.457,"SmashFactor",2008
17,17,"Briny Baird",113,1.475,125.344,85,1.502,1.447,"SmashFactor",2008
17,17,"Ben Crane",86,1.475,110.599,75,1.489,1.461,"SmashFactor",2008
17,17,"David Duval",51,1.475,45.733,31,1.491,1.461,"SmashFactor",2008
17,17,"Steve Elkington",84,1.475,91.449,62,1.5,1.461,"SmashFactor",2008
17,17,"Ernie Els",51,1.475,56.036,38,1.485,1.461,"SmashFactor",2008
17,17,"Harrison Frazar",73,1.475,76.682,52,1.5,1.463,"SmashFactor",2008
17,17,"Cody Freeman",66,1.475,73.747,50,1.491,1.447,"SmashFactor",2008
17,17,"Martin Laird",98,1.475,110.613,75,1.5,1.433,"SmashFactor",2008
17,17,"Peter Lonard",92,1.475,117.981,80,1.493,1.451,"SmashFactor",2008
17,17,"Davis Love III",78,1.475,79.636,54,1.499,1.443,"SmashFactor",2008
17,17,"David Lutterus",59,1.475,66.361,45,1.493,1.461,"SmashFactor",2008
17,17,"Jeff Maggert",86,1.475,115.085,78,1.5,1.459,"SmashFactor",2008
17,17,"Billy Mayfair",103,1.475,132.754,90,1.495,1.449,"SmashFactor",2008
17,17,"Jim McGovern",75,1.475,88.516,60,1.491,1.457,"SmashFactor",2008
17,17,"Rocco Mediate",87,1.475,101.768,69,1.516,1.461,"SmashFactor",2008
17,17,"Nick OHern",82,1.475,91.48,62,1.491,1.459,"SmashFactor",2008
17,17,"Joe Ogilvie",100,1.475,119.46,81,1.49,1.453,"SmashFactor",2008
17,17,"Ryan Palmer",69,1.475,66.375,45,1.493,1.429,"SmashFactor",2008
17,17,"Tag Ridings",88,1.475,103.237,70,1.508,1.449,"SmashFactor",2008
17,17,"John Rollins",94,1.475,109.166,74,1.499,1.449,"SmashFactor",2008
17,17,"Scott Verplank",82,1.475,106.169,72,1.5,1.445,"SmashFactor",2008
17,17,"Nick Watney",96,1.475,106.185,72,1.502,1.449,"SmashFactor",2008
40,40,"Angel Cabrera",55,1.474,54.528,37,1.493,1.459,"SmashFactor",2008
40,40,"KJ Choi",74,1.474,92.885,63,1.491,1.423,"SmashFactor",2008
40,40,"Stewart Cink",87,1.474,84.028,57,1.5,1.433,"SmashFactor",2008
40,40,"Ken Duke",116,1.474,142.955,97,1.504,1.429,"SmashFactor",2008
40,40,"Mathias Gronberg",87,1.474,97.315,66,1.502,1.457,"SmashFactor",2008
40,40,"Todd Hamilton",92,1.474,67.796,46,1.495,1.455,"SmashFactor",2008
40,40,"Mark Hensby",71,1.474,85.51,58,1.491,1.459,"SmashFactor",2008
