"FinalRoundScoringAverage_RANKTHISWEEK_2011","FinalRoundScoringAverage_RANKLASTWEEK_2011","FinalRoundScoringAverage_PLAYERNAME_2011","FinalRoundScoringAverage__2011","FinalRoundScoringAverage_AVG_2011","FinalRoundScoringAverage_TOTALSTROKES_2011","FinalRoundScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Luke Donald",NA,68.06,1089,16,"FinalRoundScoringAverage",2011
2,2,"Matt McQuillan",NA,68.14,477,7,"FinalRoundScoringAverage",2011
3,3,"Brandt Snedeker",NA,68.81,1101,16,"FinalRoundScoringAverage",2011
4,4,"Webb Simpson",NA,69.13,1590,23,"FinalRoundScoringAverage",2011
5,5,"Chris Kirk",NA,69.33,1040,15,"FinalRoundScoringAverage",2011
5,5,"Marc Turnesa",NA,69.33,416,6,"FinalRoundScoringAverage",2011
7,7,"Heath Slocum",NA,69.36,971,14,"FinalRoundScoringAverage",2011
8,8,"Kevin Na",NA,69.4,1041,15,"FinalRoundScoringAverage",2011
9,9,"Carl Pettersson",NA,69.62,1462,21,"FinalRoundScoringAverage",2011
10,10,"David Toms",NA,69.63,1114,16,"FinalRoundScoringAverage",2011
11,11,"Charl Schwartzel",NA,69.64,975,14,"FinalRoundScoringAverage",2011
12,12,"Ben Curtis",NA,69.7,697,10,"FinalRoundScoringAverage",2011
13,13,"Bryce Molder",NA,69.73,1046,15,"FinalRoundScoringAverage",2011
14,14,"Charles Howell III",NA,69.75,1674,24,"FinalRoundScoringAverage",2011
15,15,"Justin Rose",NA,69.76,1186,17,"FinalRoundScoringAverage",2011
16,16,"Nick Watney",NA,69.78,1256,18,"FinalRoundScoringAverage",2011
17,17,"Zach Johnson",NA,69.82,1187,17,"FinalRoundScoringAverage",2011
18,18,"Derek Lamely",NA,69.86,489,7,"FinalRoundScoringAverage",2011
19,19,"Jerry Kelly",NA,69.88,1188,17,"FinalRoundScoringAverage",2011
19,19,"Spencer Levin",NA,69.88,1747,25,"FinalRoundScoringAverage",2011
21,21,"Briny Baird",NA,69.91,769,11,"FinalRoundScoringAverage",2011
21,21,"Shane Bertsch",NA,69.91,769,11,"FinalRoundScoringAverage",2011
21,21,"Ian Poulter",NA,69.91,769,11,"FinalRoundScoringAverage",2011
24,24,"Jason Day",NA,70,1190,17,"FinalRoundScoringAverage",2011
24,24,"Sung Kang",NA,70,700,10,"FinalRoundScoringAverage",2011
24,24,"Billy Mayfair",NA,70,1190,17,"FinalRoundScoringAverage",2011
24,24,"Kevin Streelman",NA,70,1330,19,"FinalRoundScoringAverage",2011
28,28,"Pat Perez",NA,70.07,981,14,"FinalRoundScoringAverage",2011
28,28,"Tag Ridings",NA,70.07,981,14,"FinalRoundScoringAverage",2011
30,30,"Joe Durant",NA,70.1,701,10,"FinalRoundScoringAverage",2011
31,31,"Geoff Ogilvy",NA,70.15,912,13,"FinalRoundScoringAverage",2011
32,32,"Camilo Villegas",NA,70.17,842,12,"FinalRoundScoringAverage",2011
