"LateRound3ScoringAverage_RANKTHISWEEK_2011","LateRound3ScoringAverage_RANKLASTWEEK_2011","LateRound3ScoringAverage_PLAYERNAME_2011","LateRound3ScoringAverage__2011","LateRound3ScoringAverage_AVG_2011","LateRound3ScoringAverage_TOTALSTROKES_2011","LateRound3ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Woody Austin",NA,66,132,2,"LateRound3ScoringAverage",2011
2,2,"Michael Bradley",NA,67,201,3,"LateRound3ScoringAverage",2011
3,3,"Martin Laird",NA,67.43,472,7,"LateRound3ScoringAverage",2011
4,4,"Pat Perez",NA,67.5,270,4,"LateRound3ScoringAverage",2011
5,5,"Steve Stricker",NA,67.93,951,14,"LateRound3ScoringAverage",2011
6,6,"Ben Curtis",NA,68,136,2,"LateRound3ScoringAverage",2011
6,6,"Anthony Kim",NA,68,272,4,"LateRound3ScoringAverage",2011
8,8,"Kevin Chappell",NA,68.17,409,6,"LateRound3ScoringAverage",2011
9,9,"Webb Simpson",NA,68.21,1296,19,"LateRound3ScoringAverage",2011
10,10,"Jonathan Byrd",NA,68.43,479,7,"LateRound3ScoringAverage",2011
11,11,"Bryce Molder",NA,68.44,616,9,"LateRound3ScoringAverage",2011
12,12,"Nick Watney",NA,68.57,960,14,"LateRound3ScoringAverage",2011
13,13,"Stephen Ames",NA,68.67,412,6,"LateRound3ScoringAverage",2011
14,14,"Andres Romero",NA,68.71,481,7,"LateRound3ScoringAverage",2011
15,15,"Briny Baird",NA,68.83,413,6,"LateRound3ScoringAverage",2011
15,15,"Justin Rose",NA,68.83,413,6,"LateRound3ScoringAverage",2011
17,17,"Jason Day",NA,68.88,551,8,"LateRound3ScoringAverage",2011
18,18,"Steve Marino",NA,68.91,758,11,"LateRound3ScoringAverage",2011
19,19,"Blake Adams",NA,68.92,827,12,"LateRound3ScoringAverage",2011
20,20,"Scott Gutschewski",NA,69,207,3,"LateRound3ScoringAverage",2011
20,20,"Matt Jones",NA,69,276,4,"LateRound3ScoringAverage",2011
20,20,"Sung Kang",NA,69,138,2,"LateRound3ScoringAverage",2011
20,20,"Kevin Kisner",NA,69,69,1,"LateRound3ScoringAverage",2011
20,20,"Will Strickler",NA,69,69,1,"LateRound3ScoringAverage",2011
25,25,"George McNeill",NA,69.11,622,9,"LateRound3ScoringAverage",2011
25,25,"Kevin Na",NA,69.11,622,9,"LateRound3ScoringAverage",2011
27,27,"Joe Ogilvie",NA,69.13,553,8,"LateRound3ScoringAverage",2011
28,28,"Jimmy Walker",NA,69.2,346,5,"LateRound3ScoringAverage",2011
29,29,"Aaron Baddeley",NA,69.22,623,9,"LateRound3ScoringAverage",2011
30,30,"Cameron Beckman",NA,69.25,277,4,"LateRound3ScoringAverage",2011
31,31,"Freddie Jacobson",NA,69.33,832,12,"LateRound3ScoringAverage",2011
31,31,"Zach Johnson",NA,69.33,416,6,"LateRound3ScoringAverage",2011
31,31,"Matt McQuillan",NA,69.33,416,6,"LateRound3ScoringAverage",2011
31,31,"Shaun Micheel",NA,69.33,208,3,"LateRound3ScoringAverage",2011
35,35,"Charles Howell III",NA,69.36,971,14,"LateRound3ScoringAverage",2011
36,36,"Colt Knost",NA,69.4,347,5,"LateRound3ScoringAverage",2011
37,37,"Bill Haas",NA,69.46,903,13,"LateRound3ScoringAverage",2011
38,38,"Retief Goosen",NA,69.5,139,2,"LateRound3ScoringAverage",2011
39,39,"Brendon de Jonge",NA,69.57,974,14,"LateRound3ScoringAverage",2011
39,39,"Billy Horschel",NA,69.57,487,7,"LateRound3ScoringAverage",2011
39,39,"John Merrick",NA,69.57,487,7,"LateRound3ScoringAverage",2011
