"LaunchAngle_RANKTHISWEEK_2012","LaunchAngle_RANKLASTWEEK_2012","LaunchAngle_PLAYERNAME_2012","LaunchAngle_ROUNDS_2012","LaunchAngle_AVG_2012","LaunchAngle_TOTALVERTLAUNCHANGLE_2012","LaunchAngle_TOTALATTEMPTS_2012","LaunchAngle_LOWESTLAUNCHANGLE_2012","LaunchAngle_STEEPESTLAUNCHANGLE_2012","stat_name","year"
1,1,"David Hearn",95,14.06,1124.65,80,11.34,17.82,"LaunchAngle",2012
2,2,"David Toms",60,13.99,559.68,40,11.66,16.8,"LaunchAngle",2012
3,3,"Vaughn Taylor",81,13.4,737,55,11.15,19.59,"LaunchAngle",2012
4,4,"Billy Mayfair",90,13.38,949.83,71,9.71,17.69,"LaunchAngle",2012
5,5,"Ryan Palmer",81,13.35,907.93,68,10.6,16.51,"LaunchAngle",2012
6,6,"Bud Cauley",99,13.32,1185.87,89,9.05,17.88,"LaunchAngle",2012
7,7,"Brian Gay",91,13.16,960.57,73,10,16.94,"LaunchAngle",2012
8,8,"Jeff Maggert",83,13.14,985.73,75,8.69,19.74,"LaunchAngle",2012
9,9,"John Daly",50,13.13,394.01,30,9.93,15.27,"LaunchAngle",2012
10,10,"Troy Matteson",100,13.1,903.89,69,8.36,17,"LaunchAngle",2012
11,11,"JB Holmes",90,12.97,920.91,71,8.55,18.07,"LaunchAngle",2012
12,12,"Mark Wilson",84,12.75,854.5,67,9.68,15.61,"LaunchAngle",2012
13,13,"Jerry Kelly",84,12.68,925.46,73,9.56,16.49,"LaunchAngle",2012
14,14,"Ernie Els",80,12.67,772.65,61,9.54,16.9,"LaunchAngle",2012
15,15,"Tommy Biershenk",74,12.64,682.68,54,9.78,18.53,"LaunchAngle",2012
16,16,"Keegan Bradley",90,12.61,731.53,58,9.96,15.7,"LaunchAngle",2012
16,16,"Brandt Snedeker",81,12.61,782.01,62,8.71,16.39,"LaunchAngle",2012
18,18,"Kyle Stanley",86,12.59,667.28,53,8.84,15.14,"LaunchAngle",2012
19,19,"Tim Clark",60,12.37,680.13,55,10.32,15.91,"LaunchAngle",2012
20,20,"Harrison Frazar",56,12.32,517.38,42,9.35,15.43,"LaunchAngle",2012
20,20,"Robert Garrigus",89,12.32,813.12,66,9.15,16.76,"LaunchAngle",2012
22,22,"Ben Crane",73,12.29,810.96,66,9.04,15.04,"LaunchAngle",2012
22,22,"Zach Johnson",95,12.29,909.77,74,9.58,15.68,"LaunchAngle",2012
24,24,"Roland Thatcher",55,12.27,453.96,37,8.46,15.09,"LaunchAngle",2012
25,25,"Tommy Gainey",98,12.26,1054.14,86,7.77,16.44,"LaunchAngle",2012
26,26,"Billy Horschel",63,12.2,561.01,46,7.67,16.3,"LaunchAngle",2012
27,27,"Brian Davis",91,12.12,981.36,81,8.83,15.5,"LaunchAngle",2012
28,28,"Erik Compton",81,12.05,650.62,54,8.15,15.62,"LaunchAngle",2012
29,29,"Justin Rose",69,11.99,599.75,50,7.63,16.14,"LaunchAngle",2012
30,30,"Brendan Steele",77,11.98,730.78,61,8.86,17,"LaunchAngle",2012
31,31,"Ben Curtis",62,11.96,621.74,52,9.36,16.65,"LaunchAngle",2012
32,32,"Josh Teater",97,11.94,955.26,80,9.07,16.43,"LaunchAngle",2012
33,33,"Michael Thompson",80,11.93,727.85,61,9.56,14.98,"LaunchAngle",2012
34,34,"Bo Van Pelt",84,11.91,750.27,63,8.74,16.51,"LaunchAngle",2012
35,35,"Garth Mulroy",59,11.89,475.73,40,9.06,14.83,"LaunchAngle",2012
36,36,"Jason Day",57,11.88,499.03,42,9.38,14.93,"LaunchAngle",2012
36,36,"John Huh",99,11.88,973.78,82,8.69,15.16,"LaunchAngle",2012
38,38,"Sung Kang",75,11.87,628.92,53,7.46,15.43,"LaunchAngle",2012
39,39,"Scott Brown",65,11.86,521.92,44,8.38,15.96,"LaunchAngle",2012
39,39,"Graham DeLaet",79,11.86,735.38,62,7.64,16.05,"LaunchAngle",2012
41,41,"Robert Allenby",76,11.79,719.4,61,8.1,15.44,"LaunchAngle",2012
41,41,"Alexandre Rocha",62,11.79,566.06,48,8.74,15.14,"LaunchAngle",2012
43,43,"Chris Kirk",93,11.75,963.47,82,9.14,18.44,"LaunchAngle",2012
43,43,"Rocco Mediate",70,11.75,634.45,54,7.33,15.96,"LaunchAngle",2012
43,43,"Chez Reavie",83,11.75,704.95,60,8.74,14.37,"LaunchAngle",2012
46,46,"Daniel Chopra",55,11.74,481.2,41,9.04,16.33,"LaunchAngle",2012
46,46,"Sean OHair",84,11.74,809.98,69,7.32,15.67,"LaunchAngle",2012
48,48,"Kyle Reifers",86,11.73,774.4,66,7.94,17.02,"LaunchAngle",2012
48,48,"Heath Slocum",93,11.73,832.85,71,5.45,14.38,"LaunchAngle",2012
50,50,"Rickie Fowler",84,11.72,668,57,8.61,16.1,"LaunchAngle",2012
51,51,"Vijay Singh",99,11.71,855.05,73,8.38,16.65,"LaunchAngle",2012
52,52,"John Mallinger",74,11.66,699.35,60,8.02,17,"LaunchAngle",2012
53,53,"Jeff Overton",101,11.65,1060.44,91,3.43,16.88,"LaunchAngle",2012
53,53,"Kyle Thompson",51,11.65,395.96,34,8.29,14.85,"LaunchAngle",2012
55,55,"Scott Piercy",95,11.64,803.01,69,3.03,17.32,"LaunchAngle",2012
56,56,"Jonas Blixt",72,11.63,720.89,62,7.84,14.89,"LaunchAngle",2012
57,57,"Steve Wheatcroft",56,11.62,441.58,38,5.46,18.08,"LaunchAngle",2012
58,58,"Kevin Kisner",69,11.6,579.85,50,7.06,15.8,"LaunchAngle",2012
58,58,"Edward Loar",59,11.6,429.34,37,7.89,16.5,"LaunchAngle",2012
60,60,"Nick OHern",78,11.59,753.42,65,2.55,18.4,"LaunchAngle",2012
61,61,"John Rollins",81,11.54,796.26,69,7.96,15.38,"LaunchAngle",2012
62,62,"Tom Pernice Jr",62,11.51,552.37,48,7.39,14.62,"LaunchAngle",2012
63,63,"Mathew Goggin",65,11.48,619.93,54,8.01,14.72,"LaunchAngle",2012
64,64,"Luke Donald",63,11.45,572.34,50,9.31,16.02,"LaunchAngle",2012
65,65,"Brian Harman",101,11.43,1028.84,90,6.81,16.9,"LaunchAngle",2012
65,65,"Ryo Ishikawa",54,11.43,388.7,34,7.84,16.05,"LaunchAngle",2012
67,67,"Chris DiMarco",83,11.38,750.77,66,8.03,18.96,"LaunchAngle",2012
68,68,"DA Points",88,11.37,829.83,73,6.02,16.05,"LaunchAngle",2012
69,69,"Matt Kuchar",86,11.36,772.73,68,7.44,17.74,"LaunchAngle",2012
70,70,"DJ Trahan",73,11.35,567.75,50,6.51,14.46,"LaunchAngle",2012
71,71,"Davis Love III",64,11.33,464.36,41,8.37,14.79,"LaunchAngle",2012
72,72,"Matt Bettencourt",80,11.31,497.71,44,8.92,15.11,"LaunchAngle",2012
72,72,"Charley Hoffman",88,11.31,836.84,74,7.77,14.65,"LaunchAngle",2012
74,74,"Dustin Johnson",70,11.3,497.16,44,7.65,14.83,"LaunchAngle",2012
75,75,"Arjun Atwal",79,11.25,697.34,62,8.44,15.16,"LaunchAngle",2012
75,75,"Rory McIlroy",60,11.25,416.28,37,7.11,16,"LaunchAngle",2012
77,77,"Marc Leishman",84,11.24,719.68,64,7.71,15.11,"LaunchAngle",2012
78,78,"Camilo Villegas",79,11.21,796.07,71,5.4,14.98,"LaunchAngle",2012
79,79,"Kevin Stadler",85,11.2,660.91,59,7.8,15.08,"LaunchAngle",2012
80,80,"Stewart Cink",71,11.18,458.44,41,7.75,16.1,"LaunchAngle",2012
80,80,"Dicky Pride",62,11.18,559.02,50,7.83,13.79,"LaunchAngle",2012
82,82,"Rory Sabbatini",84,11.16,792.01,71,7.67,16,"LaunchAngle",2012
83,83,"JJ Henry",93,11.15,579.81,52,6.88,14.13,"LaunchAngle",2012
84,84,"Charlie Wi",86,11.14,735.07,66,7.92,13.89,"LaunchAngle",2012
85,85,"Hunter Mahan",88,11.12,678.38,61,8.19,15.39,"LaunchAngle",2012
86,86,"Carl Pettersson",92,11.11,844.67,76,7.47,16.14,"LaunchAngle",2012
87,87,"Justin Leonard",79,11.06,619.2,56,7.46,13.3,"LaunchAngle",2012
88,88,"Danny Lee",74,11.04,585.34,53,6.11,14.94,"LaunchAngle",2012
89,89,"Jason Dufner",83,11.02,672.15,61,5.92,17.61,"LaunchAngle",2012
90,90,"Matt Every",80,10.97,636.49,58,8.41,14.9,"LaunchAngle",2012
90,90,"Kevin Streelman",89,10.97,800.49,73,8.04,13.93,"LaunchAngle",2012
92,92,"Bill Lunde",83,10.96,701.26,64,7.62,14.22,"LaunchAngle",2012
93,93,"Will Claxton",99,10.94,907.93,83,6.78,16.28,"LaunchAngle",2012
94,94,"Chris Stroud",86,10.93,742.94,68,5.58,13.49,"LaunchAngle",2012
95,95,"Kevin Chappell",91,10.92,775.51,71,8.79,14.23,"LaunchAngle",2012
96,96,"Russell Knox",72,10.89,577.09,53,8.32,15.88,"LaunchAngle",2012
96,96,"Steve Stricker",73,10.89,533.8,49,8.05,13.12,"LaunchAngle",2012
98,98,"Geoff Ogilvy",73,10.88,576.55,53,8.15,14.7,"LaunchAngle",2012
99,99,"Patrick Sheehan",58,10.87,423.77,39,3.86,15.22,"LaunchAngle",2012
100,100,"David Mathis",83,10.85,705.06,65,8.36,17.43,"LaunchAngle",2012
101,101,"Robert Karlsson",54,10.84,412.02,38,8.32,18.29,"LaunchAngle",2012
101,101,"Pat Perez",81,10.84,618.1,57,5.88,13.51,"LaunchAngle",2012
103,103,"Cameron Beckman",81,10.82,724.72,67,6.39,16.69,"LaunchAngle",2012
104,104,"Colt Knost",79,10.81,681.01,63,8.23,14.42,"LaunchAngle",2012
105,105,"Cameron Tringale",88,10.8,734.25,68,7.8,14.2,"LaunchAngle",2012
106,106,"Roberto Castro",92,10.78,754.75,70,7.56,13.89,"LaunchAngle",2012
107,107,"KJ Choi",71,10.75,591.18,55,2.47,17.84,"LaunchAngle",2012
108,108,"Richard Lee",71,10.74,504.87,47,6.99,14.19,"LaunchAngle",2012
109,109,"Derek Lamely",64,10.73,547.18,51,7.67,17.22,"LaunchAngle",2012
110,110,"Marco Dawson",60,10.7,438.8,41,8.11,15.09,"LaunchAngle",2012
110,110,"Bryce Molder",83,10.7,738.23,69,7.96,13.6,"LaunchAngle",2012
112,112,"Brandt Jobe",57,10.69,395.66,37,7.41,13.08,"LaunchAngle",2012
112,112,"Brendon Todd",78,10.69,587.72,55,8.39,13.72,"LaunchAngle",2012
114,114,"Tiger Woods",69,10.67,405.54,38,7.42,14.78,"LaunchAngle",2012
115,115,"Jason Kokrak",79,10.65,660.47,62,6.91,14.15,"LaunchAngle",2012
