"ScoringRating_RANKTHISWEEK_2016","ScoringRating_RANKLASTWEEK_2016","ScoringRating_PLAYERNAME_2016","ScoringRating_EVENTS_2016","ScoringRating_RATING_2016","stat_name","year"
1,1,"Paul Dunne",1,9,"ScoringRating",2016
2,2,"Bubba Watson",4,8.9,"ScoringRating",2016
3,7,"Phil Mickelson",7,8.8,"ScoringRating",2016
3,3,"Michael Putnam",1,8.8,"ScoringRating",2016
3,3,"Adam Scott",6,8.8,"ScoringRating",2016
3,3,"Danny Willett",2,8.8,"ScoringRating",2016
3,3,"Bobby Wyatt",1,8.8,"ScoringRating",2016
8,7,"Martin Flores",1,8.7,"ScoringRating",2016
8,12,"Rickie Fowler",8,8.7,"ScoringRating",2016
8,7,"Hideki Matsuyama",6,8.7,"ScoringRating",2016
8,7,"Lee McCoy",1,8.7,"ScoringRating",2016
8,7,"Henrik Stenson",4,8.7,"ScoringRating",2016
13,12,"Joe Affrunti",1,8.6,"ScoringRating",2016
13,12,"Rafa Cabrera Bello",2,8.6,"ScoringRating",2016
13,12,"Sergio Garcia",2,8.6,"ScoringRating",2016
13,12,"Dustin Johnson",6,8.6,"ScoringRating",2016
13,19,"Rory McIlroy",5,8.6,"ScoringRating",2016
13,12,"Louis Oosthuizen",2,8.6,"ScoringRating",2016
13,33,"Justin Rose",6,8.6,"ScoringRating",2016
13,12,"DJ Trahan",1,8.6,"ScoringRating",2016
21,19,"Tim Clark",1,8.5,"ScoringRating",2016
21,19,"Jason Day",6,8.5,"ScoringRating",2016
21,19,"Gonzalo Fdez Castano",1,8.5,"ScoringRating",2016
21,19,"Russell Henley",7,8.5,"ScoringRating",2016
21,19,"Bryce Molder",8,8.5,"ScoringRating",2016
21,19,"Charl Schwartzel",5,8.5,"ScoringRating",2016
21,19,"Brandt Snedeker",8,8.5,"ScoringRating",2016
21,19,"Jordan Spieth",5,8.5,"ScoringRating",2016
21,19,"Kevin Streelman",6,8.5,"ScoringRating",2016
21,19,"Marc Turnesa",2,8.5,"ScoringRating",2016
31,33,"Bryson DeChambeau",2,8.4,"ScoringRating",2016
31,33,"Thongchai Jaidee",1,8.4,"ScoringRating",2016
31,19,"Jamie Lovemark",12,8.4,"ScoringRating",2016
31,33,"Graeme McDowell",4,8.4,"ScoringRating",2016
31,39,"Patrick Reed",8,8.4,"ScoringRating",2016
31,39,"Vaughn Taylor",4,8.4,"ScoringRating",2016
31,19,"Jhonattan Vegas",9,8.4,"ScoringRating",2016
31,33,"Jimmy Walker",8,8.4,"ScoringRating",2016
39,39,"Tyler Aldridge",8,8.3,"ScoringRating",2016
39,19,"Paul Casey",5,8.3,"ScoringRating",2016
39,39,"Branden Grace",4,8.3,"ScoringRating",2016
39,39,"Luke Guthrie",3,8.3,"ScoringRating",2016
39,33,"JB Holmes",8,8.3,"ScoringRating",2016
39,39,"Ryo Ishikawa",1,8.3,"ScoringRating",2016
39,39,"Hiroshi Iwata",4,8.3,"ScoringRating",2016
39,39,"Smylie Kaufman",10,8.3,"ScoringRating",2016
39,39,"Chris Kirk",8,8.3,"ScoringRating",2016
39,39,"Kevin Kisner",7,8.3,"ScoringRating",2016
39,39,"Jason Kokrak",8,8.3,"ScoringRating",2016
39,39,"Marc Leishman",6,8.3,"ScoringRating",2016
39,39,"Luke List",7,8.3,"ScoringRating",2016
39,39,"William McGirt",11,8.3,"ScoringRating",2016
39,39,"Kevin Na",8,8.3,"ScoringRating",2016
39,39,"Sean OHair",9,8.3,"ScoringRating",2016
39,39,"Patrick Rodgers",7,8.3,"ScoringRating",2016
39,39,"Johnson Wagner",6,8.3,"ScoringRating",2016
57,61,"Byeong Hun An",3,8.2,"ScoringRating",2016
57,61,"Keegan Bradley",3,8.2,"ScoringRating",2016
57,61,"Scott Brown",8,8.2,"ScoringRating",2016
57,61,"Miguel Angel Carballo",1,8.2,"ScoringRating",2016
57,39,"Kevin Chappell",9,8.2,"ScoringRating",2016
57,61,"Brice Garnett",2,8.2,"ScoringRating",2016
57,84,"Lucas Glover",11,8.2,"ScoringRating",2016
57,61,"Bill Haas",7,8.2,"ScoringRating",2016
57,61,"David Hearn",7,8.2,"ScoringRating",2016
57,61,"Charles Howell III",13,8.2,"ScoringRating",2016
57,61,"John Huh",9,8.2,"ScoringRating",2016
57,61,"Patton Kizzire",11,8.2,"ScoringRating",2016
57,61,"Brooks Koepka",6,8.2,"ScoringRating",2016
57,61,"Matt Kuchar",8,8.2,"ScoringRating",2016
57,61,"Spencer Levin",10,8.2,"ScoringRating",2016
57,61,"Nick Mason",1,8.2,"ScoringRating",2016
57,61,"Troy Merritt",4,8.2,"ScoringRating",2016
57,61,"Ryan Moore",6,8.2,"ScoringRating",2016
57,61,"Sam Saunders",2,8.2,"ScoringRating",2016
57,39,"Scott Stallings",7,8.2,"ScoringRating",2016
57,61,"Brian Stuard",4,8.2,"ScoringRating",2016
