"GreensinRegulationPercentage_RANKTHISWEEK_2016","GreensinRegulationPercentage_RANKLASTWEEK_2016","GreensinRegulationPercentage_PLAYERNAME_2016","GreensinRegulationPercentage_ROUNDS_2016","GreensinRegulationPercentage_Pct_2016","GreensinRegulationPercentage_GREENSHIT_2016","GreensinRegulationPercentage_HOLES_2016","GreensinRegulationPercentage_RELATIVEPAR_2016","stat_name","year"
1,2,"Bubba Watson",30,72.63,353,486,-0.31,"GreensinRegulationPercentage",2016
2,1,"Lucas Glover",53,72.22,689,954,-0.26,"GreensinRegulationPercentage",2016
3,3,"Russell Knox",48,72.1,584,810,-0.25,"GreensinRegulationPercentage",2016
4,4,"Sergio Garcia",28,72,324,450,-0.25,"GreensinRegulationPercentage",2016
5,5,"Rickie Fowler",42,71.23,500,702,-0.33,"GreensinRegulationPercentage",2016
6,8,"Bernd Wiesberger",23,71.11,256,360,-0.2,"GreensinRegulationPercentage",2016
7,7,"Thomas Aiken",42,70.9,536,756,-0.2,"GreensinRegulationPercentage",2016
8,9,"Henrik Stenson",30,70.56,381,540,-0.31,"GreensinRegulationPercentage",2016
9,15,"Justin Rose",35,70.49,406,576,-0.29,"GreensinRegulationPercentage",2016
10,6,"Jhonattan Vegas",49,70.41,621,882,-0.27,"GreensinRegulationPercentage",2016
11,14,"Charl Schwartzel",29,70.3,329,468,-0.26,"GreensinRegulationPercentage",2016
12,16,"Cameron Percy",22,70.2,278,396,-0.24,"GreensinRegulationPercentage",2016
13,12,"Hideki Matsuyama",40,70.12,467,666,-0.33,"GreensinRegulationPercentage",2016
14,18,"Adam Scott",39,70.06,454,648,-0.34,"GreensinRegulationPercentage",2016
15,17,"Stewart Cink",45,70,567,810,-0.26,"GreensinRegulationPercentage",2016
16,10,"Patrick Rodgers",49,69.95,617,882,-0.26,"GreensinRegulationPercentage",2016
17,13,"Graham DeLaet",50,69.89,629,900,-0.27,"GreensinRegulationPercentage",2016
18,11,"Kevin Streelman",46,69.81,578,828,-0.26,"GreensinRegulationPercentage",2016
19,24,"Greg Owen",56,69.74,703,1008,-0.24,"GreensinRegulationPercentage",2016
20,23,"Paul Casey",39,69.6,451,648,-0.27,"GreensinRegulationPercentage",2016
21,19,"Roberto Castro",55,69.49,688,990,-0.26,"GreensinRegulationPercentage",2016
22,22,"Brendan Steele",48,69.44,600,864,-0.29,"GreensinRegulationPercentage",2016
23,26,"Branden Grace",31,69.25,349,504,-0.28,"GreensinRegulationPercentage",2016
24,20,"Scott Pinckney",53,69.08,659,954,-0.23,"GreensinRegulationPercentage",2016
25,27,"Johnson Wagner",44,69.07,547,792,-0.25,"GreensinRegulationPercentage",2016
26,27,"Keegan Bradley",40,69.03,497,720,-0.24,"GreensinRegulationPercentage",2016
27,30,"Jason Dufner",53,68.78,619,900,-0.27,"GreensinRegulationPercentage",2016
28,33,"Scott Piercy",45,68.65,519,756,-0.29,"GreensinRegulationPercentage",2016
29,36,"Louis Oosthuizen",25,68.52,222,324,-0.25,"GreensinRegulationPercentage",2016
29,31,"Gary Woodland",45,68.52,555,810,-0.28,"GreensinRegulationPercentage",2016
31,20,"Jason Bohn",37,68.47,456,666,-0.29,"GreensinRegulationPercentage",2016
32,29,"Rory McIlroy",37,68.33,369,540,-0.34,"GreensinRegulationPercentage",2016
33,34,"Emiliano Grillo",47,68.31,541,792,-0.27,"GreensinRegulationPercentage",2016
34,43,"Smylie Kaufman",57,68.11,662,972,-0.3,"GreensinRegulationPercentage",2016
35,32,"Kelly Kraft",35,68.1,429,630,-0.24,"GreensinRegulationPercentage",2016
36,38,"Charles Howell III",63,67.99,771,1134,-0.3,"GreensinRegulationPercentage",2016
37,25,"Henrik Norlander",41,67.89,501,738,-0.24,"GreensinRegulationPercentage",2016
38,47,"Brice Garnett",29,67.82,354,522,-0.26,"GreensinRegulationPercentage",2016
39,48,"Brooks Koepka",39,67.81,415,612,-0.28,"GreensinRegulationPercentage",2016
40,49,"Kevin Na",52,67.8,598,882,-0.29,"GreensinRegulationPercentage",2016
