"FinalRoundScoringAverage_RANKTHISWEEK_2009","FinalRoundScoringAverage_RANKLASTWEEK_2009","FinalRoundScoringAverage_PLAYERNAME_2009","FinalRoundScoringAverage__2009","FinalRoundScoringAverage_AVG_2009","FinalRoundScoringAverage_TOTALSTROKES_2009","FinalRoundScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",NA,68.4,1026,15,"FinalRoundScoringAverage",2009
2,2,"Tim Petrovic",NA,69.06,1174,17,"FinalRoundScoringAverage",2009
3,3,"Justin Rose",NA,69.21,969,14,"FinalRoundScoringAverage",2009
4,4,"Aaron Baddeley",NA,69.36,763,11,"FinalRoundScoringAverage",2009
5,5,"Hunter Mahan",NA,69.45,1528,22,"FinalRoundScoringAverage",2009
6,6,"Ben Crane",NA,69.47,1320,19,"FinalRoundScoringAverage",2009
7,7,"Tim Clark",NA,69.5,1251,18,"FinalRoundScoringAverage",2009
7,7,"Bill Haas",NA,69.5,1112,16,"FinalRoundScoringAverage",2009
9,9,"Ernie Els",NA,69.53,1043,15,"FinalRoundScoringAverage",2009
10,10,"Greg Chalmers",NA,69.56,1113,16,"FinalRoundScoringAverage",2009
11,11,"Stephen Ames",NA,69.67,1045,15,"FinalRoundScoringAverage",2009
11,11,"Jay Williamson",NA,69.67,836,12,"FinalRoundScoringAverage",2009
13,13,"Kevin Stadler",NA,69.69,906,13,"FinalRoundScoringAverage",2009
14,14,"Kevin Streelman",NA,69.7,1394,20,"FinalRoundScoringAverage",2009
15,15,"Brian Gay",NA,69.71,1464,21,"FinalRoundScoringAverage",2009
16,16,"Matt Weibring",NA,69.73,767,11,"FinalRoundScoringAverage",2009
17,17,"Jerry Kelly",NA,69.74,1325,19,"FinalRoundScoringAverage",2009
18,18,"Jim Furyk",NA,69.75,1395,20,"FinalRoundScoringAverage",2009
18,18,"Tim Herron",NA,69.75,1116,16,"FinalRoundScoringAverage",2009
18,18,"Rory Sabbatini",NA,69.75,1116,16,"FinalRoundScoringAverage",2009
21,21,"Nick OHern",NA,69.83,1257,18,"FinalRoundScoringAverage",2009
22,22,"Mathew Goggin",NA,69.85,908,13,"FinalRoundScoringAverage",2009
23,23,"Matt Kuchar",NA,69.88,1188,17,"FinalRoundScoringAverage",2009
24,24,"Tag Ridings",NA,69.9,699,10,"FinalRoundScoringAverage",2009
25,25,"Harrison Frazar",NA,69.94,1189,17,"FinalRoundScoringAverage",2009
25,25,"Greg Owen",NA,69.94,1259,18,"FinalRoundScoringAverage",2009
25,25,"DJ Trahan",NA,69.94,1259,18,"FinalRoundScoringAverage",2009
28,28,"Andres Romero",NA,70,700,10,"FinalRoundScoringAverage",2009
28,28,"Brian Vranesh",NA,70,420,6,"FinalRoundScoringAverage",2009
28,28,"Nick Watney",NA,70,1330,19,"FinalRoundScoringAverage",2009
31,31,"Kevin Na",NA,70.05,1401,20,"FinalRoundScoringAverage",2009
32,32,"Jason Day",NA,70.07,981,14,"FinalRoundScoringAverage",2009
33,33,"Jeff Quinney",NA,70.08,911,13,"FinalRoundScoringAverage",2009
33,33,"Jimmy Walker",NA,70.08,911,13,"FinalRoundScoringAverage",2009
35,35,"Charles Howell III",NA,70.1,1472,21,"FinalRoundScoringAverage",2009
35,35,"Zach Johnson",NA,70.1,1472,21,"FinalRoundScoringAverage",2009
37,37,"Chris DiMarco",NA,70.11,1332,19,"FinalRoundScoringAverage",2009
37,37,"Dustin Johnson",NA,70.11,1262,18,"FinalRoundScoringAverage",2009
39,39,"Brandt Snedeker",NA,70.13,1052,15,"FinalRoundScoringAverage",2009
40,40,"JJ Henry",NA,70.15,1403,20,"FinalRoundScoringAverage",2009
40,40,"Corey Pavin",NA,70.15,912,13,"FinalRoundScoringAverage",2009
42,42,"Scott Verplank",NA,70.16,1333,19,"FinalRoundScoringAverage",2009
43,43,"Matt Jones",NA,70.17,842,12,"FinalRoundScoringAverage",2009
44,44,"John Senden",NA,70.2,1404,20,"FinalRoundScoringAverage",2009
