"BounceBack_RANKTHISWEEK_2008","BounceBack_RANKLASTWEEK_2008","BounceBack_PLAYERNAME_2008","BounceBack_ROUNDS_2008","BounceBack_Pct_2008","stat_name","year"
1,1,"Phil Mickelson",80,26.21,"BounceBack",2008
2,2,"Greg Kraft",63,23.98,"BounceBack",2008
3,3,"DJ Trahan",94,23.55,"BounceBack",2008
4,4,"Padraig Harrington",52,23.49,"BounceBack",2008
5,5,"Brandt Jobe",52,23.46,"BounceBack",2008
6,6,"Stewart Cink",87,23.25,"BounceBack",2008
7,7,"John Riegger",73,22.96,"BounceBack",2008
8,8,"Robert Garrigus",90,22.92,"BounceBack",2008
9,9,"Jeff Gove",50,22.6,"BounceBack",2008
9,9,"Dudley Hart",74,22.6,"BounceBack",2008
11,11,"Camilo Villegas",79,22.58,"BounceBack",2008
12,12,"Harrison Frazar",73,22.42,"BounceBack",2008
13,13,"Tim Herron",97,22.06,"BounceBack",2008
14,14,"Brenden Pappas",66,22.04,"BounceBack",2008
15,15,"Bob Sowards",61,21.94,"BounceBack",2008
16,16,"Carlos Franco",73,21.92,"BounceBack",2008
17,17,"Angel Cabrera",55,21.84,"BounceBack",2008
18,18,"Ryan Moore",72,21.82,"BounceBack",2008
19,19,"Anthony Kim",81,21.78,"BounceBack",2008
20,20,"Joe Ogilvie",100,21.65,"BounceBack",2008
20,20,"Rod Pampling",83,21.65,"BounceBack",2008
22,22,"Steve Flesch",95,21.63,"BounceBack",2008
22,22,"Jeff Overton",103,21.63,"BounceBack",2008
24,24,"Troy Matteson",94,21.58,"BounceBack",2008
25,25,"Brian Davis",108,21.33,"BounceBack",2008
26,26,"Lucas Glover",91,21.25,"BounceBack",2008
26,26,"Frank Lickliter II",107,21.25,"BounceBack",2008
26,26,"Tag Ridings",88,21.25,"BounceBack",2008
29,29,"Kevin Sutherland",98,21.14,"BounceBack",2008
30,30,"Michael Allen",91,21.07,"BounceBack",2008
31,31,"Sergio Garcia",72,21.05,"BounceBack",2008
32,32,"Brandt Snedeker",85,21.03,"BounceBack",2008
33,33,"John Senden",93,21.01,"BounceBack",2008
34,34,"Mark Wilson",107,21,"BounceBack",2008
35,35,"Richard Johnson",77,20.93,"BounceBack",2008
36,36,"Alejandro Canizares",52,20.75,"BounceBack",2008
37,37,"Scott McCarron",63,20.74,"BounceBack",2008
38,38,"Ryan Palmer",69,20.69,"BounceBack",2008
39,39,"Stephen Ames",83,20.61,"BounceBack",2008
40,40,"James Driscoll",85,20.45,"BounceBack",2008
41,41,"Gavin Coles",54,20.44,"BounceBack",2008
42,42,"Steve Marino",119,20.38,"BounceBack",2008
