"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2016","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2016","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2016","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2016","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2016","stat_name","year"
1,1,"Byeong Hun An",7,277,"NonWGCFedExCupSeasonPointsforNonMembers",2016
2,2,"Lee Westwood",4,270,"NonWGCFedExCupSeasonPointsforNonMembers",2016
3,3,"Rafa Cabrera Bello",4,189,"NonWGCFedExCupSeasonPointsforNonMembers",2016
4,4,"Kiradech Aphibarnrat",5,152,"NonWGCFedExCupSeasonPointsforNonMembers",2016
5,5,"Bobby Wyatt",3,136,"NonWGCFedExCupSeasonPointsforNonMembers",2016
6,6,"Matthew Fitzpatrick",7,134,"NonWGCFedExCupSeasonPointsforNonMembers",2016
7,7,"Bryson DeChambeau",5,123,"NonWGCFedExCupSeasonPointsforNonMembers",2016
8,8,"Soren Kjeldsen",5,94,"NonWGCFedExCupSeasonPointsforNonMembers",2016
9,9,"Rodolfo Cazaubon",3,93,"NonWGCFedExCupSeasonPointsforNonMembers",2016
10,10,"Ollie Schniederjans",7,82,"NonWGCFedExCupSeasonPointsforNonMembers",2016
11,11,"Andy Sullivan",7,82,"NonWGCFedExCupSeasonPointsforNonMembers",2016
12,12,"Ryan Ruffels",6,80,"NonWGCFedExCupSeasonPointsforNonMembers",2016
13,13,"Bernd Wiesberger",7,78,"NonWGCFedExCupSeasonPointsforNonMembers",2016
14,14,"Rafael Campos",2,75,"NonWGCFedExCupSeasonPointsforNonMembers",2016
15,15,"Chris Wood",5,74,"NonWGCFedExCupSeasonPointsforNonMembers",2016
16,16,"Hunter Stewart",7,64,"NonWGCFedExCupSeasonPointsforNonMembers",2016
17,17,"Paul Dunne",3,58,"NonWGCFedExCupSeasonPointsforNonMembers",2016
18,18,"Thongchai Jaidee",6,50,"NonWGCFedExCupSeasonPointsforNonMembers",2016
19,31,"Martin Kaymer",6,46,"NonWGCFedExCupSeasonPointsforNonMembers",2016
20,19,"Greg Yates",1,44,"NonWGCFedExCupSeasonPointsforNonMembers",2016
21,20,"Scott Hend",3,44,"NonWGCFedExCupSeasonPointsforNonMembers",2016
22,21,"Trey Mullinax",2,43,"NonWGCFedExCupSeasonPointsforNonMembers",2016
23,22,"Ryan Blaum",1,40,"NonWGCFedExCupSeasonPointsforNonMembers",2016
24,23,"Paul Peterson",1,40,"NonWGCFedExCupSeasonPointsforNonMembers",2016
25,24,"Daisuke Kataoka",1,34,"NonWGCFedExCupSeasonPointsforNonMembers",2016
26,25,"Martin Flores",1,33,"NonWGCFedExCupSeasonPointsforNonMembers",2016
27,26,"Gonzalo Fdez Castano",2,30,"NonWGCFedExCupSeasonPointsforNonMembers",2016
28,27,"James Driscoll",1,29,"NonWGCFedExCupSeasonPointsforNonMembers",2016
29,28,"Brandon Hagy",2,27,"NonWGCFedExCupSeasonPointsforNonMembers",2016
30,29,"Victor Dubuisson",3,26,"NonWGCFedExCupSeasonPointsforNonMembers",2016
31,30,"Nick Mason",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2016
32,32,"Gregory Bourdy",1,20,"NonWGCFedExCupSeasonPointsforNonMembers",2016
32,32,"George Coetzee",2,20,"NonWGCFedExCupSeasonPointsforNonMembers",2016
34,34,"Benjamin Taylor",1,19,"NonWGCFedExCupSeasonPointsforNonMembers",2016
35,35,"Dean Burmester",1,17,"NonWGCFedExCupSeasonPointsforNonMembers",2016
36,54,"Matt Dobyns",5,15,"NonWGCFedExCupSeasonPointsforNonMembers",2016
37,36,"Curtis Reed",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2016
38,37,"Jorge Fernandez Valdes",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2016
38,37,"Adam Svensson",2,13,"NonWGCFedExCupSeasonPointsforNonMembers",2016
40,39,"Andrew Dodt",2,12,"NonWGCFedExCupSeasonPointsforNonMembers",2016
40,39,"Prayad Marksaeng",1,12,"NonWGCFedExCupSeasonPointsforNonMembers",2016
42,41,"Blake Adams",4,11,"NonWGCFedExCupSeasonPointsforNonMembers",2016
43,42,"Austin Connelly",3,9,"NonWGCFedExCupSeasonPointsforNonMembers",2016
44,43,"Matt Atkins",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2016
45,44,"Ben Leong",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2016
46,45,"Danny Chia",2,2,"NonWGCFedExCupSeasonPointsforNonMembers",2016
47,46,"Yusaku Miyazato",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
48,47,"SSP Chawrasia",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
48,47,"Hideto Tanihara",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
50,49,"Mardan Mamat",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
51,50,"Arie Ahmad Irawan",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
51,50,"Richard Lee",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
53,52,"Thomas Pieters",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
54,53,"Jin Park",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
55,55,"Satoshi Kodaira",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2016
