"ClubHeadSpeed_RANKTHISWEEK_2016","ClubHeadSpeed_RANKLASTWEEK_2016","ClubHeadSpeed_PLAYERNAME_2016","ClubHeadSpeed_ROUNDS_2016","ClubHeadSpeed_AVG_2016","ClubHeadSpeed_TOTALCLUBHEADSPEED_2016","ClubHeadSpeed_TOTALATTEMPTS_2016","ClubHeadSpeed_FASTESTSPEED_2016","ClubHeadSpeed_SLOWESTSPEED_2016","stat_name","year"
1,1,"Andrew Loupe",50,125.2,5884.37,47,128.92,121.67,"ClubHeadSpeed",2016
2,2,"Gary Woodland",45,124.8,4243.1,34,128.47,121.68,"ClubHeadSpeed",2016
3,3,"Tony Finau",49,124.64,4113.09,33,127.75,120.89,"ClubHeadSpeed",2016
4,4,"Hudson Swafford",52,124.51,4357.98,35,128.44,121.11,"ClubHeadSpeed",2016
5,5,"Ollie Schniederjans",23,124.18,1986.9,16,127.01,121.33,"ClubHeadSpeed",2016
6,6,"Jhonattan Vegas",49,123.83,4457.72,36,126.85,120.7,"ClubHeadSpeed",2016
7,7,"Sergio Garcia",28,122.36,1713.1,14,127.62,115.85,"ClubHeadSpeed",2016
8,8,"Luke List",51,122.23,5500.36,45,126.4,119.14,"ClubHeadSpeed",2016
9,9,"Brooks Koepka",39,122.21,3421.84,28,129.06,117.23,"ClubHeadSpeed",2016
10,10,"Dustin Johnson",37,121.74,3043.38,25,124.19,118.92,"ClubHeadSpeed",2016
11,11,"Bubba Watson",30,121.3,2183.4,18,123.22,119.2,"ClubHeadSpeed",2016
12,12,"JB Holmes",39,120.92,3869.29,32,126.15,117.12,"ClubHeadSpeed",2016
13,13,"Jamie Lovemark",57,120.8,6523.33,54,126.7,116.96,"ClubHeadSpeed",2016
14,14,"Charlie Beljan",26,120.74,1569.65,13,124,118.28,"ClubHeadSpeed",2016
15,15,"Derek Ernst",36,120.62,2653.55,22,124.77,115.7,"ClubHeadSpeed",2016
16,16,"Jason Kokrak",52,120.44,4937.98,41,124.41,116.57,"ClubHeadSpeed",2016
17,17,"Smylie Kaufman",57,120.15,5046.4,42,124.18,117,"ClubHeadSpeed",2016
18,18,"Rory McIlroy",37,119.5,2987.58,25,125.15,116.75,"ClubHeadSpeed",2016
19,20,"Patrick Rodgers",49,119.29,4771.7,40,124,116.03,"ClubHeadSpeed",2016
20,19,"Adam Scott",39,119.23,3219.17,27,123.06,116.54,"ClubHeadSpeed",2016
21,21,"John Senden",48,119.12,2382.33,20,122.61,116.52,"ClubHeadSpeed",2016
22,24,"Henrik Stenson",30,119.09,1309.99,11,122.47,114.99,"ClubHeadSpeed",2016
23,22,"Charles Howell III",63,119.05,7023.78,59,123.53,115.26,"ClubHeadSpeed",2016
24,23,"Brendan Steele",48,118.83,4277.97,36,123.69,115.38,"ClubHeadSpeed",2016
25,25,"Graham DeLaet",50,118.46,5449.35,46,122.54,115.03,"ClubHeadSpeed",2016
26,26,"Patrick Reed",53,118.29,4968.38,42,120.86,115.03,"ClubHeadSpeed",2016
27,27,"Justin Rose",35,118.26,3311.38,28,122.39,113.17,"ClubHeadSpeed",2016
