"PuttsPerRound_RANKTHISWEEK_2006","PuttsPerRound_RANKLASTWEEK_2006","PuttsPerRound_PLAYERNAME_2006","PuttsPerRound_ROUNDS_2006","PuttsPerRound_AVG_2006","PuttsPerRound_TOTALPUTTS_2006","PuttsPerRound_TOTALROUNDS_2006","PuttsPerRound_LOWTOTALPUTTS_2006","stat_name","year"
1,1,"Aaron Baddeley",78,27.96,2125,76,22,"PuttsPerRound",2006
2,2,"Brian Gay",107,28.05,3001,107,23,"PuttsPerRound",2006
3,3,"Daniel Chopra",110,28.21,3019,107,22,"PuttsPerRound",2006
4,4,"Steve Stricker",64,28.26,1752,62,23,"PuttsPerRound",2006
5,5,"Paul Azinger",87,28.38,2469,87,24,"PuttsPerRound",2006
6,6,"Rod Pampling",89,28.44,2389,84,23,"PuttsPerRound",2006
7,7,"Ben Crane",85,28.46,2277,80,22,"PuttsPerRound",2006
8,8,"Michael Allen",84,28.48,2392,84,23,"PuttsPerRound",2006
9,9,"Brad Faxon",78,28.5,2223,78,22,"PuttsPerRound",2006
10,10,"Luke Donald",66,28.54,1798,63,24,"PuttsPerRound",2006
11,11,"Harrison Frazar",95,28.55,2598,91,23,"PuttsPerRound",2006
12,12,"Nathan Green",108,28.56,2970,104,22,"PuttsPerRound",2006
13,13,"Doug Barron",74,28.58,2086,73,22,"PuttsPerRound",2006
13,13,"Shigeki Maruyama",94,28.58,2629,92,22,"PuttsPerRound",2006
13,13,"Jesper Parnevik",84,28.58,2401,84,23,"PuttsPerRound",2006
16,16,"Todd Fischer",101,28.59,2830,99,23,"PuttsPerRound",2006
17,17,"Chris Riley",86,28.61,2346,82,21,"PuttsPerRound",2006
18,18,"Stuart Appleby",83,28.63,2233,78,22,"PuttsPerRound",2006
18,18,"Greg Chalmers",71,28.63,1918,67,23,"PuttsPerRound",2006
20,20,"Marco Dawson",87,28.67,2494,87,23,"PuttsPerRound",2006
20,20,"Vaughn Taylor",88,28.67,2523,88,21,"PuttsPerRound",2006
22,22,"Ryan Moore",68,28.69,1865,65,24,"PuttsPerRound",2006
23,23,"Mark OMeara",52,28.7,1435,50,24,"PuttsPerRound",2006
23,23,"Joe Ogilvie",95,28.7,2612,91,23,"PuttsPerRound",2006
25,25,"Shane Bertsch",104,28.71,2928,102,21,"PuttsPerRound",2006
26,26,"Woody Austin",107,28.72,3073,107,22,"PuttsPerRound",2006
26,26,"Ernie Els",69,28.72,1838,64,23,"PuttsPerRound",2006
