"Par5GoingfortheGreen_RANKTHISWEEK_2010","Par5GoingfortheGreen_RANKLASTWEEK_2010","Par5GoingfortheGreen_PLAYERNAME_2010","Par5GoingfortheGreen_ROUNDS_2010","Par5GoingfortheGreen_Pct_2010","Par5GoingfortheGreen_ATTEMPTS_2010","Par5GoingfortheGreen_NONATTEMPTS_2010","stat_name","year"
1,1,"Dustin Johnson",83,72,144,56,"Par5GoingfortheGreen",2010
2,2,"Graham DeLaet",88,69.03,156,70,"Par5GoingfortheGreen",2010
3,3,"JB Holmes",100,67.78,183,87,"Par5GoingfortheGreen",2010
4,4,"Garth Mulroy",53,65.41,87,46,"Par5GoingfortheGreen",2010
5,5,"Angel Cabrera",64,65.38,102,54,"Par5GoingfortheGreen",2010
6,6,"Chris Couch",66,65.08,123,66,"Par5GoingfortheGreen",2010
7,7,"Charles Warren",64,64.71,110,60,"Par5GoingfortheGreen",2010
8,8,"Rory McIlroy",54,64.52,80,44,"Par5GoingfortheGreen",2010
9,9,"Brett Wetterich",54,64.38,103,57,"Par5GoingfortheGreen",2010
10,10,"Phil Mickelson",76,64.21,122,68,"Par5GoingfortheGreen",2010
11,11,"Martin Laird",91,64.2,156,87,"Par5GoingfortheGreen",2010
12,12,"Robert Garrigus",71,63.69,114,65,"Par5GoingfortheGreen",2010
13,13,"John Daly",63,63.43,85,49,"Par5GoingfortheGreen",2010
14,14,"Charley Hoffman",85,63.18,151,88,"Par5GoingfortheGreen",2010
15,15,"Bubba Watson",77,62.38,131,79,"Par5GoingfortheGreen",2010
16,16,"Lucas Glover",75,62.37,116,70,"Par5GoingfortheGreen",2010
17,17,"Aaron Baddeley",94,62.32,172,104,"Par5GoingfortheGreen",2010
18,18,"Mathias Gronberg",61,61.49,91,57,"Par5GoingfortheGreen",2010
19,19,"DJ Trahan",92,61.39,159,100,"Par5GoingfortheGreen",2010
20,20,"Boo Weekley",88,60.93,131,84,"Par5GoingfortheGreen",2010
21,21,"Nick Watney",91,60.81,135,87,"Par5GoingfortheGreen",2010
22,22,"James Driscoll",78,60.44,136,89,"Par5GoingfortheGreen",2010
23,23,"Henrik Bjornstad",72,60.22,112,74,"Par5GoingfortheGreen",2010
24,24,"Martin Flores",75,59.8,122,82,"Par5GoingfortheGreen",2010
25,25,"Marc Leishman",87,59.52,125,85,"Par5GoingfortheGreen",2010
25,25,"Camilo Villegas",78,59.52,100,68,"Par5GoingfortheGreen",2010
27,27,"Bo Van Pelt",104,59.02,157,109,"Par5GoingfortheGreen",2010
28,28,"Scott Piercy",88,58.66,149,105,"Par5GoingfortheGreen",2010
29,29,"Ted Purdy",86,58.65,139,98,"Par5GoingfortheGreen",2010
30,30,"Retief Goosen",75,58.33,91,65,"Par5GoingfortheGreen",2010
31,31,"Ryan Moore",80,58.2,110,79,"Par5GoingfortheGreen",2010
32,32,"Matt Every",60,57.86,92,67,"Par5GoingfortheGreen",2010
33,33,"Matt Bettencourt",91,57.46,131,97,"Par5GoingfortheGreen",2010
34,34,"Kevin Stadler",86,57.26,134,100,"Par5GoingfortheGreen",2010
35,35,"Bill Haas",87,57.14,136,102,"Par5GoingfortheGreen",2010
35,35,"Hunter Mahan",85,57.14,120,90,"Par5GoingfortheGreen",2010
37,37,"Scott McCarron",90,57.09,149,112,"Par5GoingfortheGreen",2010
38,38,"Rory Sabbatini",79,57.01,126,95,"Par5GoingfortheGreen",2010
39,39,"Tom Gillis",97,56.99,163,123,"Par5GoingfortheGreen",2010
40,40,"John Rollins",81,56.96,131,99,"Par5GoingfortheGreen",2010
41,41,"Troy Matteson",84,56.61,137,105,"Par5GoingfortheGreen",2010
42,42,"Davis Love III",79,56.5,113,87,"Par5GoingfortheGreen",2010
43,43,"Nicholas Thompson",88,56.38,137,106,"Par5GoingfortheGreen",2010
44,44,"Mark Calcavecchia",50,56.07,60,47,"Par5GoingfortheGreen",2010
45,45,"Alex Prugh",88,56.05,139,109,"Par5GoingfortheGreen",2010
46,46,"John Senden",103,55.8,154,122,"Par5GoingfortheGreen",2010
47,47,"Mathew Goggin",85,55.74,131,104,"Par5GoingfortheGreen",2010
48,48,"Cameron Percy",73,55.56,105,84,"Par5GoingfortheGreen",2010
49,49,"Andres Romero",73,55.26,126,102,"Par5GoingfortheGreen",2010
50,50,"Jason Day",82,55.19,117,95,"Par5GoingfortheGreen",2010
51,51,"Paul Stankowski",62,55.13,86,70,"Par5GoingfortheGreen",2010
52,52,"Cameron Tringale",55,54.93,78,64,"Par5GoingfortheGreen",2010
53,53,"Will Ma Kenzie",72,54.81,114,94,"Par5GoingfortheGreen",2010
54,54,"Jarrod Lyle",54,54.35,75,63,"Par5GoingfortheGreen",2010
55,55,"Daniel Chopra",74,54.29,114,96,"Par5GoingfortheGreen",2010
56,56,"Kevin Streelman",90,54.03,134,114,"Par5GoingfortheGreen",2010
57,57,"Adam Scott",70,53.45,93,81,"Par5GoingfortheGreen",2010
58,58,"Sergio Garcia",58,53.39,63,55,"Par5GoingfortheGreen",2010
59,59,"Troy Merritt",86,53.36,127,111,"Par5GoingfortheGreen",2010
60,60,"Sean OHair",84,53.33,112,98,"Par5GoingfortheGreen",2010
61,61,"Roland Thatcher",72,53.3,113,99,"Par5GoingfortheGreen",2010
62,62,"Matt Jones",89,53.23,132,116,"Par5GoingfortheGreen",2010
62,62,"Aron Price",70,53.23,99,87,"Par5GoingfortheGreen",2010
64,64,"Paul Casey",64,53.17,67,59,"Par5GoingfortheGreen",2010
65,65,"Rod Pampling",77,53.1,120,106,"Par5GoingfortheGreen",2010
66,66,"Derek Lamely",81,53.06,104,92,"Par5GoingfortheGreen",2010
67,67,"Jimmy Walker",82,53.02,114,101,"Par5GoingfortheGreen",2010
68,68,"John Merrick",109,52.86,148,132,"Par5GoingfortheGreen",2010
69,69,"Robert Allenby",76,52.69,98,88,"Par5GoingfortheGreen",2010
70,70,"Steve Lowery",67,52.35,89,81,"Par5GoingfortheGreen",2010
71,71,"YE Yang",72,52.27,92,84,"Par5GoingfortheGreen",2010
72,72,"James Nitties",92,52.19,131,120,"Par5GoingfortheGreen",2010
73,73,"Michael Letzig",84,52.07,126,116,"Par5GoingfortheGreen",2010
74,74,"George McNeill",79,51.85,112,104,"Par5GoingfortheGreen",2010
75,75,"Ernie Els",72,51.74,89,83,"Par5GoingfortheGreen",2010
76,76,"Stewart Cink",84,51.5,103,97,"Par5GoingfortheGreen",2010
77,77,"Kris Blanks",91,51.48,122,115,"Par5GoingfortheGreen",2010
78,78,"Jason Dufner",87,51.36,113,107,"Par5GoingfortheGreen",2010
