"DrivingDistance_RANKTHISWEEK_2006","DrivingDistance_RANKLASTWEEK_2006","DrivingDistance_PLAYERNAME_2006","DrivingDistance_ROUNDS_2006","DrivingDistance_AVG_2006","DrivingDistance_TOTALDISTANCE_2006","DrivingDistance_TOTALDRIVES_2006","stat_name","year"
1,1,"Bubba Watson",83,319.6,50490,158,"DrivingDistance",2006
2,2,"JB Holmes",81,318.8,49098,154,"DrivingDistance",2006
3,3,"Robert Garrigus",85,309.8,51426,166,"DrivingDistance",2006
4,4,"Brett Wetterich",82,307.8,50472,164,"DrivingDistance",2006
5,5,"John Daly",51,307.1,30099,98,"DrivingDistance",2006
6,6,"Tiger Woods",55,306.4,31865,104,"DrivingDistance",2006
7,7,"Ryan Hietala",61,305.9,36096,118,"DrivingDistance",2006
8,8,"Tag Ridings",103,305.3,61054,200,"DrivingDistance",2006
9,9,"Harrison Frazar",95,304.6,55439,182,"DrivingDistance",2006
10,10,"Charley Hoffman",100,304.4,59657,196,"DrivingDistance",2006
11,11,"Scott Gutschewski",53,303.3,30933,102,"DrivingDistance",2006
12,12,"Alex Aragon",63,302.6,36914,122,"DrivingDistance",2006
13,13,"Camilo Villegas",95,302.1,56183,186,"DrivingDistance",2006
14,14,"Davis Love III",85,301.9,45884,152,"DrivingDistance",2006
15,15,"Fred Couples",52,301.5,30150,100,"DrivingDistance",2006
16,16,"Adam Scott",70,301.1,40949,136,"DrivingDistance",2006
17,17,"Phil Mickelson",74,300.7,41498,138,"DrivingDistance",2006
18,18,"Nick Watney",97,300.6,57113,190,"DrivingDistance",2006
19,19,"Matt Hansen",68,300.5,39670,132,"DrivingDistance",2006
20,20,"Charles Warren",93,300.1,54018,180,"DrivingDistance",2006
21,21,"Chris Couch",75,299.7,44959,150,"DrivingDistance",2006
22,22,"Jason Gore",86,299.6,50333,168,"DrivingDistance",2006
23,23,"Lucas Glover",105,299.4,60477,202,"DrivingDistance",2006
24,24,"Chris Smith",67,299.2,40095,134,"DrivingDistance",2006
24,24,"Roger Tambellini",64,299.2,36501,122,"DrivingDistance",2006
26,26,"Jeff Overton",95,299.1,55629,186,"DrivingDistance",2006
27,27,"Bubba Dickerson",98,298.8,57369,192,"DrivingDistance",2006
28,28,"Troy Matteson",101,298.7,60346,202,"DrivingDistance",2006
29,29,"Daniel Chopra",110,298.5,63885,214,"DrivingDistance",2006
30,30,"Kris Cox",83,298.4,48348,162,"DrivingDistance",2006
30,30,"Pat Perez",50,298.4,29844,100,"DrivingDistance",2006
32,32,"Jon Mills",68,298.2,39362,132,"DrivingDistance",2006
33,33,"Jonathan Byrd",66,298.1,39350,132,"DrivingDistance",2006
34,34,"Retief Goosen",68,297.6,35711,120,"DrivingDistance",2006
35,35,"David Duval",71,297.4,41035,138,"DrivingDistance",2006
35,35,"Bo Van Pelt",102,297.4,60663,204,"DrivingDistance",2006
37,37,"Brandt Jobe",91,297.2,52303,176,"DrivingDistance",2006
38,38,"Jimmy Walker",60,296.9,34441,116,"DrivingDistance",2006
39,39,"Henrik Bjornstad",97,296.8,56392,190,"DrivingDistance",2006
40,40,"Brian Bateman",69,296.7,38573,130,"DrivingDistance",2006
40,40,"Bill Haas",99,296.7,56973,192,"DrivingDistance",2006
40,40,"Will Ma Kenzie",91,296.7,52226,176,"DrivingDistance",2006
43,43,"James Driscoll",80,296.4,47418,160,"DrivingDistance",2006
44,44,"John Senden",96,296.2,55096,186,"DrivingDistance",2006
45,45,"Mathew Goggin",72,296,41438,140,"DrivingDistance",2006
46,46,"JJ Henry",96,295.9,55032,186,"DrivingDistance",2006
47,47,"Ryan Palmer",101,295.8,58568,198,"DrivingDistance",2006
48,48,"Rich Beem",85,295.6,49077,166,"DrivingDistance",2006
48,48,"Nicholas Thompson",96,295.6,54984,186,"DrivingDistance",2006
50,50,"John Rollins",93,295.5,53786,182,"DrivingDistance",2006
51,51,"Charles Howell III",96,295.4,54939,186,"DrivingDistance",2006
51,51,"Paul Stankowski",70,295.4,41360,140,"DrivingDistance",2006
53,53,"Geoff Ogilvy",76,295.3,41336,140,"DrivingDistance",2006
54,54,"Ernie Els",69,295.1,37768,128,"DrivingDistance",2006
54,54,"Mathias Gronberg",92,295.1,52528,178,"DrivingDistance",2006
54,54,"Greg Owen",79,295.1,45441,154,"DrivingDistance",2006
57,57,"Hunter Mahan",98,295,57812,196,"DrivingDistance",2006
58,58,"Trevor Immelman",86,294.9,50715,172,"DrivingDistance",2006
59,59,"Tim Herron",82,294.8,47753,162,"DrivingDistance",2006
60,60,"Padraig Harrington",54,294.7,29466,100,"DrivingDistance",2006
61,61,"Eric Axley",91,294.6,52441,178,"DrivingDistance",2006
61,61,"Jonathan Kaye",95,294.6,54199,184,"DrivingDistance",2006
63,63,"Craig Barlow",77,294.1,42936,146,"DrivingDistance",2006
64,64,"Robert Allenby",79,293.9,45253,154,"DrivingDistance",2006
65,65,"Vijay Singh",103,293.7,58748,200,"DrivingDistance",2006
66,66,"Danny Ellis",68,293.6,37587,128,"DrivingDistance",2006
67,67,"Kevin Sutherland",100,293.5,56347,192,"DrivingDistance",2006
68,68,"Carlos Franco",86,293.4,50472,172,"DrivingDistance",2006
69,69,"Kenny Perry",73,293.1,42206,144,"DrivingDistance",2006
69,69,"Jason Schultz",77,293.1,43970,150,"DrivingDistance",2006
71,71,"Sergio Garcia",59,292.7,32198,110,"DrivingDistance",2006
71,71,"Bob May",65,292.7,36291,124,"DrivingDistance",2006
71,71,"Sean OHair",100,292.7,57378,196,"DrivingDistance",2006
74,74,"Ryan Moore",68,292.2,37988,130,"DrivingDistance",2006
75,75,"Stewart Cink",93,292,51399,176,"DrivingDistance",2006
75,75,"John Huston",74,292,42055,144,"DrivingDistance",2006
77,77,"Marco Dawson",87,291.9,50793,174,"DrivingDistance",2006
77,77,"Ian Leggatt",80,291.9,44375,152,"DrivingDistance",2006
79,79,"Michael Allen",84,291.8,49016,168,"DrivingDistance",2006
80,80,"Wes Short Jr",96,291.6,54814,188,"DrivingDistance",2006
81,81,"DJ Trahan",92,291.5,52473,180,"DrivingDistance",2006
82,82,"Justin Rose",98,291.4,55367,190,"DrivingDistance",2006
83,83,"Chad Campbell",91,290.9,50610,174,"DrivingDistance",2006
84,84,"Freddie Jacobson",56,290.7,32554,112,"DrivingDistance",2006
