"ConsecutiveBirdiesStreak_RANKTHISWEEK_2007","ConsecutiveBirdiesStreak_RANKLASTWEEK_2007","ConsecutiveBirdiesStreak_PLAYERNAME_2007","ConsecutiveBirdiesStreak_EVENTS_2007","ConsecutiveBirdiesStreak_NUMBEROFHOLES_2007","stat_name","year"
1,1,"Stephen Ames",23,7,"ConsecutiveBirdiesStreak",2007
1,1,"Anthony Kim",26,7,"ConsecutiveBirdiesStreak",2007
1,1,"Mark Wilson",25,7,"ConsecutiveBirdiesStreak",2007
4,4,"Bob Estes",28,6,"ConsecutiveBirdiesStreak",2007
4,4,"Jeff Maggert",26,6,"ConsecutiveBirdiesStreak",2007
4,4,"David Toms",22,6,"ConsecutiveBirdiesStreak",2007
7,7,"Tommy Armour III",24,5,"ConsecutiveBirdiesStreak",2007
7,7,"Arjun Atwal",12,5,"ConsecutiveBirdiesStreak",2007
7,7,"Woody Austin",27,5,"ConsecutiveBirdiesStreak",2007
7,7,"Jason Bohn",17,5,"ConsecutiveBirdiesStreak",2007
7,7,"Craig Bowden",25,5,"ConsecutiveBirdiesStreak",2007
7,7,"Jeff Brehaut",21,5,"ConsecutiveBirdiesStreak",2007
7,7,"Chad Campbell",28,5,"ConsecutiveBirdiesStreak",2007
7,7,"KJ Choi",25,5,"ConsecutiveBirdiesStreak",2007
7,7,"Jose Coceres",17,5,"ConsecutiveBirdiesStreak",2007
7,7,"John Daly",24,5,"ConsecutiveBirdiesStreak",2007
7,7,"Ernie Els",16,5,"ConsecutiveBirdiesStreak",2007
7,7,"Steve Flesch",31,5,"ConsecutiveBirdiesStreak",2007
7,7,"Robert Gamez",30,5,"ConsecutiveBirdiesStreak",2007
7,7,"Robert Garrigus",28,5,"ConsecutiveBirdiesStreak",2007
7,7,"Tom Gillis",3,5,"ConsecutiveBirdiesStreak",2007
7,7,"Jason Gore",27,5,"ConsecutiveBirdiesStreak",2007
7,7,"Paul Goydos",19,5,"ConsecutiveBirdiesStreak",2007
7,7,"JP Hayes",28,5,"ConsecutiveBirdiesStreak",2007
7,7,"Charley Hoffman",30,5,"ConsecutiveBirdiesStreak",2007
7,7,"JB Holmes",24,5,"ConsecutiveBirdiesStreak",2007
7,7,"Freddie Jacobson",20,5,"ConsecutiveBirdiesStreak",2007
7,7,"Craig Kanada",34,5,"ConsecutiveBirdiesStreak",2007
7,7,"Danny King",1,5,"ConsecutiveBirdiesStreak",2007
7,7,"Brad Lardon",3,5,"ConsecutiveBirdiesStreak",2007
7,7,"Stephen Leaney",26,5,"ConsecutiveBirdiesStreak",2007
7,7,"Jarrod Lyle",24,5,"ConsecutiveBirdiesStreak",2007
7,7,"Daisuke Maruyama",28,5,"ConsecutiveBirdiesStreak",2007
7,7,"Parker McLachlin",28,5,"ConsecutiveBirdiesStreak",2007
7,7,"Phil Mickelson",22,5,"ConsecutiveBirdiesStreak",2007
7,7,"Ryan Moore",28,5,"ConsecutiveBirdiesStreak",2007
7,7,"Kevin Na",27,5,"ConsecutiveBirdiesStreak",2007
7,7,"Jose Maria Olazabal",16,5,"ConsecutiveBirdiesStreak",2007
7,7,"Tom Pernice Jr",31,5,"ConsecutiveBirdiesStreak",2007
7,7,"Dicky Pride",25,5,"ConsecutiveBirdiesStreak",2007
7,7,"Adam Scott",19,5,"ConsecutiveBirdiesStreak",2007
7,7,"Henrik Stenson",15,5,"ConsecutiveBirdiesStreak",2007
7,7,"Kevin Sutherland",25,5,"ConsecutiveBirdiesStreak",2007
7,7,"Johnson Wagner",33,5,"ConsecutiveBirdiesStreak",2007
7,7,"Lee Williams",2,5,"ConsecutiveBirdiesStreak",2007
46,46,"Steve Allan",18,4,"ConsecutiveBirdiesStreak",2007
46,46,"Michael Allen",22,4,"ConsecutiveBirdiesStreak",2007
46,46,"Billy Andrade",27,4,"ConsecutiveBirdiesStreak",2007
46,46,"Stuart Appleby",24,4,"ConsecutiveBirdiesStreak",2007
46,46,"Briny Baird",31,4,"ConsecutiveBirdiesStreak",2007
46,46,"Craig Barlow",16,4,"ConsecutiveBirdiesStreak",2007
46,46,"Rich Beem",29,4,"ConsecutiveBirdiesStreak",2007
46,46,"David Branshaw",30,4,"ConsecutiveBirdiesStreak",2007
46,46,"DJ Brigman",22,4,"ConsecutiveBirdiesStreak",2007
46,46,"Bart Bryant",25,4,"ConsecutiveBirdiesStreak",2007
46,46,"Jonathan Byrd",23,4,"ConsecutiveBirdiesStreak",2007
46,46,"Tom Byrum",20,4,"ConsecutiveBirdiesStreak",2007
46,46,"Angel Cabrera",14,4,"ConsecutiveBirdiesStreak",2007
46,46,"Mark Calcavecchia",28,4,"ConsecutiveBirdiesStreak",2007
46,46,"Alex Cejka",25,4,"ConsecutiveBirdiesStreak",2007
46,46,"Daniel Chopra",34,4,"ConsecutiveBirdiesStreak",2007
