"ScoringAverageBeforeCut_RANKTHISWEEK_2014","ScoringAverageBeforeCut_RANKLASTWEEK_2014","ScoringAverageBeforeCut_PLAYERNAME_2014","ScoringAverageBeforeCut__2014","ScoringAverageBeforeCut_AVG_2014","ScoringAverageBeforeCut_TOTALSTROKES_2014","ScoringAverageBeforeCut_TOTALROUNDS_2014","stat_name","year"
1,1,"Rory McIlroy",NA,69.13,2212,32,"ScoringAverageBeforeCut",2014
2,2,"Sergio Garcia",NA,69.4,2082,30,"ScoringAverageBeforeCut",2014
3,3,"Adam Scott",NA,69.47,2362,34,"ScoringAverageBeforeCut",2014
4,4,"Ryan Palmer",NA,69.54,3338,48,"ScoringAverageBeforeCut",2014
5,5,"Jim Furyk",NA,69.63,2855,41,"ScoringAverageBeforeCut",2014
5,5,"Dustin Johnson",NA,69.63,2228,32,"ScoringAverageBeforeCut",2014
7,7,"Matt Kuchar",NA,69.74,3208,46,"ScoringAverageBeforeCut",2014
8,8,"Chris Kirk",NA,69.98,3849,55,"ScoringAverageBeforeCut",2014
9,9,"Zach Johnson",NA,70.06,3573,51,"ScoringAverageBeforeCut",2014
10,10,"Harris English",NA,70.11,3856,55,"ScoringAverageBeforeCut",2014
11,11,"Russell Knox",NA,70.13,3787,54,"ScoringAverageBeforeCut",2014
12,12,"Chris Stroud",NA,70.14,3577,51,"ScoringAverageBeforeCut",2014
13,13,"Bill Haas",NA,70.15,3788,54,"ScoringAverageBeforeCut",2014
14,14,"Keegan Bradley",NA,70.2,3580,51,"ScoringAverageBeforeCut",2014
15,15,"Robert Streb",NA,70.22,2879,41,"ScoringAverageBeforeCut",2014
16,16,"Jordan Spieth",NA,70.23,3722,53,"ScoringAverageBeforeCut",2014
17,17,"Ryan Moore",NA,70.26,3232,46,"ScoringAverageBeforeCut",2014
18,18,"Charles Howell III",NA,70.29,4147,59,"ScoringAverageBeforeCut",2014
19,19,"Tim Wilkinson",NA,70.3,3515,50,"ScoringAverageBeforeCut",2014
20,20,"Jason Day",NA,70.32,1969,28,"ScoringAverageBeforeCut",2014
20,20,"Kevin Na",NA,70.32,3938,56,"ScoringAverageBeforeCut",2014
22,22,"Brian Harman",NA,70.33,4642,66,"ScoringAverageBeforeCut",2014
23,23,"Brendon Todd",NA,70.35,4221,60,"ScoringAverageBeforeCut",2014
24,24,"Brooks Koepka",NA,70.38,2252,32,"ScoringAverageBeforeCut",2014
24,24,"Bubba Watson",NA,70.38,2745,39,"ScoringAverageBeforeCut",2014
26,26,"Paul Casey",NA,70.41,2253,32,"ScoringAverageBeforeCut",2014
27,27,"Kevin Chappell",NA,70.43,3944,56,"ScoringAverageBeforeCut",2014
27,27,"Jason Kokrak",NA,70.43,2817,40,"ScoringAverageBeforeCut",2014
27,27,"Scott Langley",NA,70.43,4085,58,"ScoringAverageBeforeCut",2014
27,27,"Marc Leishman",NA,70.43,3240,46,"ScoringAverageBeforeCut",2014
27,27,"Camilo Villegas",NA,70.43,4085,58,"ScoringAverageBeforeCut",2014
32,32,"Justin Rose",NA,70.44,2536,36,"ScoringAverageBeforeCut",2014
33,33,"Seung Yul Noh",NA,70.45,3875,55,"ScoringAverageBeforeCut",2014
34,34,"Jim Herman",NA,70.46,2889,41,"ScoringAverageBeforeCut",2014
34,34,"John Senden",NA,70.46,3946,56,"ScoringAverageBeforeCut",2014
36,36,"Jhonattan Vegas",NA,70.49,3172,45,"ScoringAverageBeforeCut",2014
37,37,"Retief Goosen",NA,70.5,3666,52,"ScoringAverageBeforeCut",2014
38,38,"Ricky Barnes",NA,70.51,3737,53,"ScoringAverageBeforeCut",2014
39,39,"Hideki Matsuyama",NA,70.52,3103,44,"ScoringAverageBeforeCut",2014
40,40,"Jamie Lovemark",NA,70.53,2821,40,"ScoringAverageBeforeCut",2014
40,40,"Charl Schwartzel",NA,70.53,2398,34,"ScoringAverageBeforeCut",2014
42,42,"Stewart Cink",NA,70.55,3598,51,"ScoringAverageBeforeCut",2014
43,43,"Scott Brown",NA,70.56,4375,62,"ScoringAverageBeforeCut",2014
