"ProximitytoHolefrom30yards_RANKTHISWEEK_2005","ProximitytoHolefrom30yards_RANKLASTWEEK_2005","ProximitytoHolefrom30yards_PLAYERNAME_2005","ProximitytoHolefrom30yards_ROUNDS_2005","ProximitytoHolefrom30yards_AVGDTP_2005","ProximitytoHolefrom30yards_TOTALDISTANCEFEET_2005","ProximitytoHolefrom30yards_OFSHOTS_2005","ProximitytoHolefrom30yards_SCRAMBLINGRANK_2005","stat_name","year"
1,1,"Brian Davis",75,NA,359.25,40,17,"ProximitytoHolefrom30yards",2005
2,2,"Phil Mickelson",81,NA,506.25,54,9,"ProximitytoHolefrom30yards",2005
3,3,"Kirk Triplett",55,NA,258.167,27,50,"ProximitytoHolefrom30yards",2005
4,4,"Mark Calcavecchia",92,NA,672.25,67,110,"ProximitytoHolefrom30yards",2005
5,5,"Corey Pavin",77,NA,680.167,66,4,"ProximitytoHolefrom30yards",2005
5,5,"Ian Poulter",62,NA,257.5,25,180,"ProximitytoHolefrom30yards",2005
5,5,"Rory Sabbatini",81,NA,620.667,60,108,"ProximitytoHolefrom30yards",2005
8,8,"Todd Fischer",99,NA,858.833,81,82,"ProximitytoHolefrom30yards",2005
9,9,"Billy Mayfair",114,NA,801.75,75,54,"ProximitytoHolefrom30yards",2005
10,10,"Craig Barlow",81,NA,543,50,172,"ProximitytoHolefrom30yards",2005
10,10,"Tim Herron",100,NA,792.667,73,20,"ProximitytoHolefrom30yards",2005
10,10,"Brett Quigley",96,NA,875.75,81,28,"ProximitytoHolefrom30yards",2005
10,10,"David Toms",87,NA,594.25,55,118,"ProximitytoHolefrom30yards",2005
10,10,"Scott Verplank",87,NA,652.167,60,111,"ProximitytoHolefrom30yards",2005
10,10,"Jay Williamson",53,NA,357.583,33,31,"ProximitytoHolefrom30yards",2005
16,16,"Ben Crane",78,NA,580.333,53,43,"ProximitytoHolefrom30yards",2005
16,16,"Chris DiMarco",83,NA,522.75,48,27,"ProximitytoHolefrom30yards",2005
16,16,"Omar Uresti",84,NA,599.417,55,47,"ProximitytoHolefrom30yards",2005
19,19,"Shigeki Maruyama",99,NA,591.833,54,29,"ProximitytoHolefrom30yards",2005
20,20,"Ryuji Imada",78,NA,742.083,67,32,"ProximitytoHolefrom30yards",2005
20,20,"Charlie Wi",67,NA,522.75,47,36,"ProximitytoHolefrom30yards",2005
22,22,"Charles Howell III",95,NA,638.25,57,68,"ProximitytoHolefrom30yards",2005
23,23,"Mark Brooks",72,NA,777.5,69,79,"ProximitytoHolefrom30yards",2005
23,23,"Tim Clark",92,NA,631.25,56,86,"ProximitytoHolefrom30yards",2005
23,23,"Justin Leonard",78,NA,515.75,46,64,"ProximitytoHolefrom30yards",2005
26,26,"Doug Barron",70,NA,702.25,62,52,"ProximitytoHolefrom30yards",2005
26,26,"Padraig Harrington",50,NA,454.083,40,170,"ProximitytoHolefrom30yards",2005
26,26,"Rocco Mediate",73,NA,577.083,51,38,"ProximitytoHolefrom30yards",2005
29,29,"JP Hayes",63,NA,399.25,35,55,"ProximitytoHolefrom30yards",2005
29,29,"Vijay Singh",111,NA,1063,93,2,"ProximitytoHolefrom30yards",2005
31,31,"Stuart Appleby",84,NA,620.75,54,58,"ProximitytoHolefrom30yards",2005
31,31,"Matt Gogel",78,NA,759.25,66,106,"ProximitytoHolefrom30yards",2005
31,31,"Stephen Leaney",89,NA,688,60,51,"ProximitytoHolefrom30yards",2005
31,31,"Justin Rose",99,NA,757.167,66,18,"ProximitytoHolefrom30yards",2005
31,31,"Steve Stricker",62,NA,622.5,54,16,"ProximitytoHolefrom30yards",2005
31,31,"Duffy Waldorf",86,NA,656.917,57,148,"ProximitytoHolefrom30yards",2005
37,37,"John Elliott",58,NA,742,64,199,"ProximitytoHolefrom30yards",2005
37,37,"Jose Maria Olazabal",55,NA,359.583,31,5,"ProximitytoHolefrom30yards",2005
37,37,"Chris Riley",67,NA,508.167,44,83,"ProximitytoHolefrom30yards",2005
40,40,"Jason Bohn",91,NA,734.833,63,69,"ProximitytoHolefrom30yards",2005
40,40,"Paul Gow",78,NA,721.417,62,75,"ProximitytoHolefrom30yards",2005
40,40,"Mark Wilson",74,NA,560.167,48,36,"ProximitytoHolefrom30yards",2005
43,43,"Jonathan Byrd",103,NA,965.417,82,99,"ProximitytoHolefrom30yards",2005
43,43,"Fred Couples",72,NA,270.333,23,168,"ProximitytoHolefrom30yards",2005
43,43,"Brandt Jobe",96,NA,832.667,71,124,"ProximitytoHolefrom30yards",2005
43,43,"Kenny Perry",82,NA,422.75,36,70,"ProximitytoHolefrom30yards",2005
43,43,"Phillip Price",77,NA,459.75,39,22,"ProximitytoHolefrom30yards",2005
48,48,"Sergio Garcia",73,NA,453.333,38,56,"ProximitytoHolefrom30yards",2005
48,48,"Jerry Kelly",101,NA,788.917,66,71,"ProximitytoHolefrom30yards",2005
48,48,"Joe Ogilvie",103,NA,847.417,71,77,"ProximitytoHolefrom30yards",2005
48,48,"Greg Owen",84,NA,764.417,64,101,"ProximitytoHolefrom30yards",2005
48,48,"Adam Scott",72,NA,332.833,28,150,"ProximitytoHolefrom30yards",2005
53,53,"Thomas Levet",54,NA,443.083,37,195,"ProximitytoHolefrom30yards",2005
54,54,"Daniel Chopra",108,NA,1308.75,108,23,"ProximitytoHolefrom30yards",2005
54,54,"Jim Furyk",94,NA,605.917,50,3,"ProximitytoHolefrom30yards",2005
54,54,"Geoff Ogilvy",97,NA,712.083,59,92,"ProximitytoHolefrom30yards",2005
54,54,"Brenden Pappas",51,NA,591.25,49,197,"ProximitytoHolefrom30yards",2005
58,58,"Justin Bolli",65,NA,704.417,58,144,"ProximitytoHolefrom30yards",2005
58,58,"Todd Hamilton",94,NA,643.583,53,181,"ProximitytoHolefrom30yards",2005
58,58,"Neal Lancaster",95,NA,852.833,70,90,"ProximitytoHolefrom30yards",2005
58,58,"Bernhard Langer",67,NA,560.417,46,41,"ProximitytoHolefrom30yards",2005
58,58,"Rod Pampling",89,NA,793.417,65,134,"ProximitytoHolefrom30yards",2005
63,63,"Arjun Atwal",65,NA,844.333,69,162,"ProximitytoHolefrom30yards",2005
63,63,"Woody Austin",100,NA,769.75,63,119,"ProximitytoHolefrom30yards",2005
63,63,"Zach Johnson",96,NA,894,73,109,"ProximitytoHolefrom30yards",2005
63,63,"Heath Slocum",103,NA,894,73,40,"ProximitytoHolefrom30yards",2005
67,67,"Billy Andrade",83,NA,766.083,62,104,"ProximitytoHolefrom30yards",2005
67,67,"Briny Baird",98,NA,825.917,67,135,"ProximitytoHolefrom30yards",2005
67,67,"James Driscoll",73,NA,713.667,58,65,"ProximitytoHolefrom30yards",2005
67,67,"Bob Estes",92,NA,774.917,63,23,"ProximitytoHolefrom30yards",2005
67,67,"Jeff Hart",63,NA,519.333,42,49,"ProximitytoHolefrom30yards",2005
67,67,"Rob Rashell",65,NA,542.917,44,166,"ProximitytoHolefrom30yards",2005
73,73,"Glen Hnatiuk",59,NA,607.917,49,173,"ProximitytoHolefrom30yards",2005
73,73,"Bo Van Pelt",112,NA,809.75,65,114,"ProximitytoHolefrom30yards",2005
75,75,"Steve Allan",102,NA,1040.667,83,117,"ProximitytoHolefrom30yards",2005
75,75,"Fred Funk",102,NA,638.667,51,11,"ProximitytoHolefrom30yards",2005
75,75,"Len Mattiace",86,NA,1316.583,105,106,"ProximitytoHolefrom30yards",2005
75,75,"Kevin Na",88,NA,738.667,59,13,"ProximitytoHolefrom30yards",2005
75,75,"Jeff Sluman",94,NA,947.5,76,44,"ProximitytoHolefrom30yards",2005
75,75,"Hideto Tanihara",50,NA,562,45,190,"ProximitytoHolefrom30yards",2005
75,75,"Roland Thatcher",75,NA,786.583,63,133,"ProximitytoHolefrom30yards",2005
82,82,"Danny Briggs",70,NA,817.25,65,149,"ProximitytoHolefrom30yards",2005
82,82,"Jesper Parnevik",84,NA,945.333,75,57,"ProximitytoHolefrom30yards",2005
82,82,"Tom Pernice Jr",111,NA,1021,81,8,"ProximitytoHolefrom30yards",2005
82,82,"Joey Sindelar",104,NA,1054.75,84,76,"ProximitytoHolefrom30yards",2005
82,82,"Kevin Sutherland",89,NA,791.667,63,6,"ProximitytoHolefrom30yards",2005
87,87,"Michael Allen",90,NA,847.417,67,147,"ProximitytoHolefrom30yards",2005
