"ApexHeight_RANKTHISWEEK_2007","ApexHeight_RANKLASTWEEK_2007","ApexHeight_PLAYERNAME_2007","ApexHeight_ROUNDS_2007","ApexHeight_AVG_2007","ApexHeight_TOTALAPEXHEIGHT_2007","ApexHeight_TOTALATTEMPTS_2007","ApexHeight_HIGHESTAPEXPOINT_2007","ApexHeight_LOWESTAPEXPOINT_2007","stat_name","year"
1,1,"Paul Stankowski",52,NA,NA,23,NA,NA,"ApexHeight",2007
2,2,"Andrew Buckle",77,NA,NA,51,NA,NA,"ApexHeight",2007
3,3,"Geoff Ogilvy",84,NA,NA,47,NA,NA,"ApexHeight",2007
4,4,"Anthony Kim",93,NA,NA,53,NA,NA,"ApexHeight",2007
5,5,"JB Holmes",71,NA,NA,34,NA,NA,"ApexHeight",2007
6,6,"Darron Stiles",65,NA,NA,33,NA,NA,"ApexHeight",2007
7,7,"Robert Garrigus",95,NA,NA,55,NA,NA,"ApexHeight",2007
8,8,"Alex Cejka",80,NA,NA,46,NA,NA,"ApexHeight",2007
9,9,"Bill Haas",93,NA,NA,50,NA,NA,"ApexHeight",2007
10,10,"Padraig Harrington",64,NA,NA,34,NA,NA,"ApexHeight",2007
11,11,"Charles Warren",101,NA,NA,62,NA,NA,"ApexHeight",2007
12,12,"Rocco Mediate",72,NA,NA,54,NA,NA,"ApexHeight",2007
13,13,"John Daly",59,NA,NA,21,NA,NA,"ApexHeight",2007
14,14,"Robert Allenby",90,NA,NA,51,NA,NA,"ApexHeight",2007
15,15,"Henrik Stenson",52,NA,NA,28,NA,NA,"ApexHeight",2007
16,16,"Davis Love III",66,NA,NA,41,NA,NA,"ApexHeight",2007
17,17,"Kevin Stadler",95,NA,NA,48,NA,NA,"ApexHeight",2007
18,18,"Charley Hoffman",97,NA,NA,59,NA,NA,"ApexHeight",2007
19,19,"Kent Jones",97,NA,NA,61,NA,NA,"ApexHeight",2007
20,20,"Joe Ogilvie",102,NA,NA,68,NA,NA,"ApexHeight",2007
21,21,"Billy Andrade",88,NA,NA,56,NA,NA,"ApexHeight",2007
22,22,"Vijay Singh",102,NA,NA,66,NA,NA,"ApexHeight",2007
23,23,"Bryce Molder",56,NA,NA,27,NA,NA,"ApexHeight",2007
24,24,"Scott Gutschewski",67,NA,NA,27,NA,NA,"ApexHeight",2007
25,25,"Jason Gore",86,NA,NA,48,NA,NA,"ApexHeight",2007
26,26,"Kirk Triplett",77,NA,NA,57,NA,NA,"ApexHeight",2007
27,27,"Brett Quigley",79,NA,NA,36,NA,NA,"ApexHeight",2007
28,28,"Harrison Frazar",88,NA,NA,40,NA,NA,"ApexHeight",2007
29,29,"Brian Bateman",55,NA,NA,33,NA,NA,"ApexHeight",2007
30,30,"Joey Sindelar",75,NA,NA,48,NA,NA,"ApexHeight",2007
31,31,"Camilo Villegas",82,NA,NA,40,NA,NA,"ApexHeight",2007
32,32,"Kenny Perry",83,NA,NA,53,NA,NA,"ApexHeight",2007
33,33,"Dicky Pride",71,NA,NA,42,NA,NA,"ApexHeight",2007
34,34,"Brian Davis",101,NA,NA,57,NA,NA,"ApexHeight",2007
34,34,"Steve Marino",106,NA,NA,54,NA,NA,"ApexHeight",2007
36,36,"Mark Brooks",53,NA,NA,27,NA,NA,"ApexHeight",2007
37,37,"Brandt Snedeker",105,NA,NA,60,NA,NA,"ApexHeight",2007
37,37,"Mark Wilson",87,NA,NA,62,NA,NA,"ApexHeight",2007
