"Approaches_RANKTHISWEEK_2008","Approaches_RANKLASTWEEK_2008","Approaches_PLAYERNAME_2008","Approaches_ROUNDS_2008","Approaches_AVGRTP_2008","stat_name","year"
1,1,"Pat Perez",93,-0.238,"Approaches",2008
2,2,"Rocco Mediate",87,-0.217,"Approaches",2008
3,3,"Charles Howell III",101,-0.211,"Approaches",2008
4,4,"Gavin Coles",54,-0.167,"Approaches",2008
4,4,"Sergio Garcia",72,-0.167,"Approaches",2008
6,6,"Padraig Harrington",52,-0.13,"Approaches",2008
6,6,"Ian Poulter",51,-0.13,"Approaches",2008
8,8,"Dean Wilson",109,-0.107,"Approaches",2008
9,9,"Ben Curtis",80,-0.1,"Approaches",2008
9,9,"JJ Henry",108,-0.1,"Approaches",2008
11,11,"Steve Marino",119,-0.095,"Approaches",2008
12,12,"Anthony Kim",81,-0.086,"Approaches",2008
13,13,"Shane Bertsch",96,-0.083,"Approaches",2008
14,14,"Steve Stricker",75,-0.074,"Approaches",2008
15,15,"Brian Davis",108,-0.073,"Approaches",2008
16,16,"KJ Choi",74,-0.067,"Approaches",2008
17,17,"Adam Scott",51,-0.063,"Approaches",2008
18,18,"Vijay Singh",82,-0.061,"Approaches",2008
19,19,"Stephen Ames",83,-0.054,"Approaches",2008
19,19,"Daniel Chopra",84,-0.054,"Approaches",2008
21,21,"Ron Whittaker",54,-0.05,"Approaches",2008
22,22,"Carl Pettersson",110,-0.048,"Approaches",2008
23,23,"Phil Mickelson",80,-0.029,"Approaches",2008
24,24,"Briny Baird",113,0,"Approaches",2008
24,24,"Rich Beem",90,0,"Approaches",2008
24,24,"Chris DiMarco",87,0,"Approaches",2008
24,24,"Brian Gay",102,0,"Approaches",2008
24,24,"Zach Johnson",85,0,"Approaches",2008
24,24,"Greg Kraft",63,0,"Approaches",2008
24,24,"Ryan Moore",72,0,"Approaches",2008
24,24,"Kevin Na",97,0,"Approaches",2008
24,24,"Tim Petrovic",97,0,"Approaches",2008
24,24,"Bob Tway",70,0,"Approaches",2008
34,34,"Joe Ogilvie",100,0.021,"Approaches",2008
35,35,"Kenny Perry",97,0.024,"Approaches",2008
35,35,"John Rollins",94,0.024,"Approaches",2008
37,37,"Parker McLachlin",88,0.027,"Approaches",2008
38,38,"Ben Crane",86,0.028,"Approaches",2008
39,39,"Harrison Frazar",73,0.032,"Approaches",2008
40,40,"Justin Bolli",87,0.033,"Approaches",2008
