"MoneyLeaders_RANKTHISWEEK_2014","MoneyLeaders_RANKLASTWEEK_2014","MoneyLeaders_PLAYERNAME_2014","MoneyLeaders_EVENTS_2014","MoneyLeaders_MONEY_2014","MoneyLeaders_YTDVICTORIES_2014","stat_name","year"
1,1,"Rory McIlroy",17,8280096,3,"MoneyLeaders",2014
2,2,"Bubba Watson",21,6336978,2,"MoneyLeaders",2014
3,3,"Jim Furyk",21,5987395,NA,"MoneyLeaders",2014
4,4,"Jimmy Walker",27,5787016,3,"MoneyLeaders",2014
5,5,"Sergio Garcia",16,4939606,NA,"MoneyLeaders",2014
6,6,"Chris Kirk",28,4854777,2,"MoneyLeaders",2014
7,7,"Billy Horschel",27,4814787,2,"MoneyLeaders",2014
8,8,"Rickie Fowler",26,4806117,NA,"MoneyLeaders",2014
9,9,"Matt Kuchar",24,4695515,1,"MoneyLeaders",2014
10,10,"Martin Kaymer",19,4532537,2,"MoneyLeaders",2014
11,11,"Jordan Spieth",27,4342748,NA,"MoneyLeaders",2014
12,12,"Dustin Johnson",17,4249180,1,"MoneyLeaders",2014
13,13,"Adam Scott",17,4098588,1,"MoneyLeaders",2014
14,14,"Patrick Reed",28,4026076,2,"MoneyLeaders",2014
15,15,"Justin Rose",19,3926768,1,"MoneyLeaders",2014
16,16,"Jason Day",15,3789574,1,"MoneyLeaders",2014
17,17,"Webb Simpson",25,3539601,1,"MoneyLeaders",2014
18,18,"Brendon Todd",29,3396747,1,"MoneyLeaders",2014
19,19,"Zach Johnson",26,3353417,1,"MoneyLeaders",2014
20,20,"Kevin Na",27,3153107,NA,"MoneyLeaders",2014
21,21,"Ryan Moore",24,3098263,1,"MoneyLeaders",2014
22,22,"Hunter Mahan",25,3097983,1,"MoneyLeaders",2014
23,23,"Harris English",28,2947322,1,"MoneyLeaders",2014
24,24,"Ryan Palmer",23,2924300,NA,"MoneyLeaders",2014
25,25,"John Senden",27,2856685,1,"MoneyLeaders",2014
26,26,"Bill Haas",28,2841521,NA,"MoneyLeaders",2014
27,27,"Hideki Matsuyama",24,2837477,1,"MoneyLeaders",2014
28,28,"Keegan Bradley",26,2828638,NA,"MoneyLeaders",2014
29,29,"Gary Woodland",25,2734153,NA,"MoneyLeaders",2014
30,30,"Graham DeLaet",24,2616518,NA,"MoneyLeaders",2014
31,31,"Russell Henley",29,2590493,1,"MoneyLeaders",2014
32,32,"Marc Leishman",24,2558657,NA,"MoneyLeaders",2014
33,33,"Matt Every",26,2540370,1,"MoneyLeaders",2014
34,34,"Brian Harman",32,2414334,1,"MoneyLeaders",2014
35,35,"JB Holmes",24,2365204,1,"MoneyLeaders",2014
36,36,"Kevin Stadler",26,2300307,1,"MoneyLeaders",2014
37,37,"Cameron Tringale",31,2169723,NA,"MoneyLeaders",2014
38,38,"Phil Mickelson",21,2158019,NA,"MoneyLeaders",2014
39,39,"Seung Yul Noh",27,2115234,1,"MoneyLeaders",2014
40,40,"Kevin Streelman",24,2107994,1,"MoneyLeaders",2014
41,41,"Graeme McDowell",17,2077387,NA,"MoneyLeaders",2014
42,42,"Tim Clark",26,2066344,1,"MoneyLeaders",2014
43,43,"George McNeill",24,2014357,NA,"MoneyLeaders",2014
44,44,"Charl Schwartzel",18,1997482,NA,"MoneyLeaders",2014
45,45,"Charles Howell III",29,1997044,NA,"MoneyLeaders",2014
46,46,"Charley Hoffman",25,1977296,NA,"MoneyLeaders",2014
47,47,"Matt Jones",25,1928154,1,"MoneyLeaders",2014
48,48,"Freddie Jacobson",27,1901789,NA,"MoneyLeaders",2014
49,49,"Henrik Stenson",15,1894235,NA,"MoneyLeaders",2014
50,50,"Angel Cabrera",23,1868559,1,"MoneyLeaders",2014
51,51,"Will Ma Kenzie",27,1853822,NA,"MoneyLeaders",2014
52,52,"Brian Stuard",29,1852531,NA,"MoneyLeaders",2014
