"DrivingDistanceAllDrives_RANKTHISWEEK_2013","DrivingDistanceAllDrives_RANKLASTWEEK_2013","DrivingDistanceAllDrives_PLAYERNAME_2013","DrivingDistanceAllDrives_ROUNDS_2013","DrivingDistanceAllDrives_ALLDRIVES_2013","DrivingDistanceAllDrives_TOTALDISTANCE_2013","DrivingDistanceAllDrives_OFDRIVES_2013","stat_name","year"
85,85,"Bo Van Pelt",72,281.1,211920,754,"DrivingDistanceAllDrives",2013
86,86,"Aaron Baddeley",68,281,230382,820,"DrivingDistanceAllDrives",2013
86,86,"Erik Compton",74,281,254278,905,"DrivingDistanceAllDrives",2013
86,86,"Henrik Norlander",70,281,231304,823,"DrivingDistanceAllDrives",2013
86,86,"Brendan Steele",86,281,301221,1072,"DrivingDistanceAllDrives",2013
90,90,"Marc Leishman",77,280.9,251383,895,"DrivingDistanceAllDrives",2013
91,91,"Chris Kirk",89,280.8,318145,1133,"DrivingDistanceAllDrives",2013
92,92,"Bud Cauley",67,280.7,219253,781,"DrivingDistanceAllDrives",2013
93,93,"John Senden",79,280.6,238516,850,"DrivingDistanceAllDrives",2013
94,94,"Steve Stricker",51,280.5,138298,493,"DrivingDistanceAllDrives",2013
95,95,"Tiger Woods",61,280.3,168736,602,"DrivingDistanceAllDrives",2013
96,96,"Sangmoon Bae",83,280.1,280633,1002,"DrivingDistanceAllDrives",2013
97,97,"David Lingmerth",68,279.9,221657,792,"DrivingDistanceAllDrives",2013
98,98,"DJ Trahan",48,279.8,147748,528,"DrivingDistanceAllDrives",2013
99,99,"Fabian Gomez",65,279.6,218062,780,"DrivingDistanceAllDrives",2013
99,99,"Brandt Snedeker",79,279.6,227332,813,"DrivingDistanceAllDrives",2013
99,99,"Kevin Streelman",86,279.6,264488,946,"DrivingDistanceAllDrives",2013
99,99,"YE Yang",56,279.6,159943,572,"DrivingDistanceAllDrives",2013
103,103,"Vaughn Taylor",50,279.5,156528,560,"DrivingDistanceAllDrives",2013
103,103,"Camilo Villegas",79,279.5,249322,892,"DrivingDistanceAllDrives",2013
105,105,"Stewart Cink",71,279.4,217400,778,"DrivingDistanceAllDrives",2013
105,105,"James Driscoll",76,279.4,245041,877,"DrivingDistanceAllDrives",2013
107,107,"Rickie Fowler",75,279.3,231505,829,"DrivingDistanceAllDrives",2013
107,107,"Cameron Tringale",80,279.3,291550,1044,"DrivingDistanceAllDrives",2013
109,109,"Roberto Castro",97,279.2,326658,1170,"DrivingDistanceAllDrives",2013
110,110,"Will Claxton",67,279.1,217980,781,"DrivingDistanceAllDrives",2013
111,111,"John Merrick",79,279,265376,951,"DrivingDistanceAllDrives",2013
111,111,"Geoff Ogilvy",57,279,162350,582,"DrivingDistanceAllDrives",2013
113,113,"Robert Karlsson",56,278.9,144184,517,"DrivingDistanceAllDrives",2013
114,114,"Jonas Blixt",76,278.8,261202,937,"DrivingDistanceAllDrives",2013
114,114,"Brendon de Jonge",110,278.8,376974,1352,"DrivingDistanceAllDrives",2013
116,116,"Tim Herron",45,278.7,170592,612,"DrivingDistanceAllDrives",2013
116,116,"Ryan Moore",72,278.7,222650,799,"DrivingDistanceAllDrives",2013
118,118,"JJ Henry",83,278.4,288142,1035,"DrivingDistanceAllDrives",2013
118,118,"Brandt Jobe",62,278.4,206595,742,"DrivingDistanceAllDrives",2013
118,118,"George McNeill",68,278.4,249146,895,"DrivingDistanceAllDrives",2013
121,121,"Tom Gillis",69,278.2,232571,836,"DrivingDistanceAllDrives",2013
122,122,"Chad Campbell",78,278.1,279461,1005,"DrivingDistanceAllDrives",2013
123,123,"Luke Guthrie",82,277.9,251815,906,"DrivingDistanceAllDrives",2013
123,123,"Rod Pampling",46,277.9,136172,490,"DrivingDistanceAllDrives",2013
125,125,"Daniel Summerhays",83,277.8,301686,1086,"DrivingDistanceAllDrives",2013
126,126,"Alistair Presnell",59,277.7,177758,640,"DrivingDistanceAllDrives",2013
127,127,"Stuart Appleby",88,277.2,304971,1100,"DrivingDistanceAllDrives",2013
127,127,"Ricky Barnes",74,277.2,251149,906,"DrivingDistanceAllDrives",2013
129,129,"William McGirt",75,276.8,274062,990,"DrivingDistanceAllDrives",2013
130,130,"Ben Crane",62,276.2,211872,767,"DrivingDistanceAllDrives",2013
131,131,"David Hearn",88,275.9,281095,1019,"DrivingDistanceAllDrives",2013
132,132,"Chez Reavie",72,275.6,257414,934,"DrivingDistanceAllDrives",2013
133,133,"John Huh",88,275.2,289271,1051,"DrivingDistanceAllDrives",2013
134,134,"Ted Potter Jr",65,275,212036,771,"DrivingDistanceAllDrives",2013
135,135,"KJ Choi",85,274.9,241326,878,"DrivingDistanceAllDrives",2013
135,135,"DA Points",87,274.9,260562,948,"DrivingDistanceAllDrives",2013
137,137,"Casey Wittenberg",72,274.8,233848,851,"DrivingDistanceAllDrives",2013
138,138,"Zach Johnson",84,274.7,257377,937,"DrivingDistanceAllDrives",2013
139,139,"David Mathis",71,274.6,237220,864,"DrivingDistanceAllDrives",2013
139,139,"Graeme McDowell",53,274.6,142269,518,"DrivingDistanceAllDrives",2013
141,141,"Robert Allenby",58,274.3,198860,725,"DrivingDistanceAllDrives",2013
141,141,"Ben Curtis",59,274.3,177442,647,"DrivingDistanceAllDrives",2013
141,141,"DH Lee",65,274.3,221648,808,"DrivingDistanceAllDrives",2013
