"ConsecutiveFairwaysHit_RANKTHISWEEK_2016","ConsecutiveFairwaysHit_RANKLASTWEEK_2016","ConsecutiveFairwaysHit_PLAYERNAME_2016","ConsecutiveFairwaysHit_EVENTS_2016","ConsecutiveFairwaysHit_BESTSTREAK_2016","ConsecutiveFairwaysHit_CURRENTSTREAK_2016","stat_name","year"
1,1,"Jason Gore",15,35,4,"ConsecutiveFairwaysHit",2016
2,2,"Brian Stuard",8,31,NA,"ConsecutiveFairwaysHit",2016
3,3,"Jim Herman",17,27,NA,"ConsecutiveFairwaysHit",2016
4,4,"Andrew Landry",9,26,4,"ConsecutiveFairwaysHit",2016
4,4,"Kevin Streelman",15,26,1,"ConsecutiveFairwaysHit",2016
6,6,"Billy Hurley III",8,25,17,"ConsecutiveFairwaysHit",2016
7,7,"Bubba Watson",8,24,4,"ConsecutiveFairwaysHit",2016
8,8,"Tyler Aldridge",18,23,NA,"ConsecutiveFairwaysHit",2016
8,8,"Si Woo Kim",19,23,1,"ConsecutiveFairwaysHit",2016
8,8,"Colt Knost",15,23,3,"ConsecutiveFairwaysHit",2016
8,8,"Danny Lee",16,23,NA,"ConsecutiveFairwaysHit",2016
12,12,"Thomas Aiken",13,22,4,"ConsecutiveFairwaysHit",2016
12,12,"Alex Cejka",15,22,1,"ConsecutiveFairwaysHit",2016
12,12,"Adam Scott",10,22,NA,"ConsecutiveFairwaysHit",2016
15,15,"Jason Bohn",11,21,4,"ConsecutiveFairwaysHit",2016
15,15,"Bill Haas",12,21,NA,"ConsecutiveFairwaysHit",2016
15,15,"Geoff Ogilvy",14,21,NA,"ConsecutiveFairwaysHit",2016
18,18,"Scott Brown",17,20,NA,"ConsecutiveFairwaysHit",2016
18,18,"Marc Leishman",12,20,NA,"ConsecutiveFairwaysHit",2016
18,18,"Henrik Norlander",13,20,NA,"ConsecutiveFairwaysHit",2016
18,18,"Camilo Villegas",16,20,NA,"ConsecutiveFairwaysHit",2016
22,22,"Zac Blair",18,19,NA,"ConsecutiveFairwaysHit",2016
22,22,"Ken Duke",9,19,8,"ConsecutiveFairwaysHit",2016
22,22,"Brice Garnett",9,19,4,"ConsecutiveFairwaysHit",2016
22,22,"Emiliano Grillo",13,19,NA,"ConsecutiveFairwaysHit",2016
26,26,"Shane Bertsch",9,18,NA,"ConsecutiveFairwaysHit",2016
26,26,"Tim Clark",7,18,4,"ConsecutiveFairwaysHit",2016
26,26,"Austin Connelly",3,18,NA,"ConsecutiveFairwaysHit",2016
26,26,"Tim Herron",7,18,10,"ConsecutiveFairwaysHit",2016
26,26,"Justin Hicks",10,18,6,"ConsecutiveFairwaysHit",2016
26,26,"Mark Hubbard",20,18,NA,"ConsecutiveFairwaysHit",2016
26,26,"Arie Ahmad Irawan",1,18,1,"ConsecutiveFairwaysHit",2016
26,26,"Jerry Kelly",12,18,10,"ConsecutiveFairwaysHit",2016
26,26,"Spencer Levin",19,18,3,"ConsecutiveFairwaysHit",2016
26,26,"Peter Malnati",19,18,3,"ConsecutiveFairwaysHit",2016
26,26,"Graeme McDowell",11,18,3,"ConsecutiveFairwaysHit",2016
26,26,"Brendon Todd",18,18,NA,"ConsecutiveFairwaysHit",2016
38,38,"Mark Brooks",1,17,4,"ConsecutiveFairwaysHit",2016
38,38,"Robert Garrigus",11,17,NA,"ConsecutiveFairwaysHit",2016
38,38,"Brian Harman",18,17,1,"ConsecutiveFairwaysHit",2016
38,38,"Will Ma Kenzie",17,17,NA,"ConsecutiveFairwaysHit",2016
38,38,"Troy Merritt",14,17,3,"ConsecutiveFairwaysHit",2016
38,38,"Martin Piller",12,17,3,"ConsecutiveFairwaysHit",2016
38,38,"Kyle Reifers",19,17,NA,"ConsecutiveFairwaysHit",2016
38,38,"Henrik Stenson",8,17,3,"ConsecutiveFairwaysHit",2016
38,38,"Daniel Summerhays",15,17,NA,"ConsecutiveFairwaysHit",2016
38,38,"Mark Wilson",13,17,NA,"ConsecutiveFairwaysHit",2016
48,48,"Angel Cabrera",13,16,4,"ConsecutiveFairwaysHit",2016
48,48,"Chad Campbell",18,16,7,"ConsecutiveFairwaysHit",2016
48,48,"Russell Henley",14,16,NA,"ConsecutiveFairwaysHit",2016
48,48,"Whee Kim",18,16,1,"ConsecutiveFairwaysHit",2016
48,48,"Lucas Lee",9,16,NA,"ConsecutiveFairwaysHit",2016
48,48,"Billy Mayfair",3,16,3,"ConsecutiveFairwaysHit",2016
48,48,"Ryan Moore",11,16,NA,"ConsecutiveFairwaysHit",2016
48,48,"Chez Reavie",16,16,3,"ConsecutiveFairwaysHit",2016
48,48,"Brandt Snedeker",14,16,2,"ConsecutiveFairwaysHit",2016
48,48,"Darron Stiles",10,16,8,"ConsecutiveFairwaysHit",2016
48,48,"Steve Stricker",8,16,3,"ConsecutiveFairwaysHit",2016
48,48,"Michael Thompson",14,16,NA,"ConsecutiveFairwaysHit",2016
48,48,"Harold Varner III",18,16,NA,"ConsecutiveFairwaysHit",2016
61,61,"Keegan Bradley",14,15,4,"ConsecutiveFairwaysHit",2016
61,61,"Paul Casey",11,15,NA,"ConsecutiveFairwaysHit",2016
61,61,"Greg Chalmers",5,15,NA,"ConsecutiveFairwaysHit",2016
61,61,"Chris DiMarco",2,15,1,"ConsecutiveFairwaysHit",2016
61,61,"Jason Dufner",15,15,1,"ConsecutiveFairwaysHit",2016
